PLAYER_ID,player_proj,team_proj,opponent_proj,market,projection_mean,projection_sd,projected_minutes,pred_rate,start_prob,is_starter,may_not_play,injury_prob,game_date_proj,player_key,player_odds,team_odds,opponent_odds,game_date_odds,book,line,over_odds,under_odds,p_over_model,p_over_imp,p_under_imp,edge_over
1642846,Ace Bailey,UTA,CHI,PTS,10.8721455681324,5.26561180766183,26.52,0.40996024,0.7,1,0,0.0,2025-11-18,ace bailey,Ace Bailey,UTA,@LAL,2025-11-18,mgm,11.5,-105.0,-125.0,0.45254389653086613,0.5121951219512195,0.5555555555555556,-0.05965122542035339
1642846,Ace Bailey,UTA,CHI,PTS,10.8721455681324,5.26561180766183,26.52,0.40996024,0.7,1,0,0.0,2025-11-18,ace bailey,Ace Bailey,UTA,@LAL,2025-11-18,draftkings,12.5,-101.0,-127.0,0.37860439629482234,0.5024875621890548,0.5594713656387665,-0.12388316589423243
1642846,Ace Bailey,UTA,CHI,PTS,10.8721455681324,5.26561180766183,26.52,0.40996024,0.7,1,0,0.0,2025-11-18,ace bailey,Ace Bailey,UTA,@LAL,2025-11-18,fanduel,11.5,-128.0,-104.0,0.45254389653086613,0.5614035087719298,0.5098039215686274,-0.10885961224106366
1642846,Ace Bailey,UTA,CHI,PTS,10.8721455681324,5.26561180766183,26.52,0.40996024,0.7,1,0,0.0,2025-11-18,ace bailey,Ace Bailey,UTA,@LAL,2025-11-18,caesars,11.5,-127.0,-106.0,0.45254389653086613,0.5594713656387665,0.5145631067961165,-0.10692746910790041
201143,Al Horford,GSW,NOP,PTS,6.353025009632111,4.3619734187074775,22.36,0.28412455,0.7,0,0,0.0,2025-11-18,al horford,Al Horford,GSW,@ORL,2025-11-18,mgm,6.5,100.0,-130.0,0.4865603388217825,0.5,0.5652173913043478,-0.013439661178217488
201143,Al Horford,GSW,NOP,PTS,6.353025009632111,4.3619734187074775,22.36,0.28412455,0.7,0,0,0.0,2025-11-18,al horford,Al Horford,GSW,@ORL,2025-11-18,draftkings,5.5,107.0,-137.0,0.5775224890664215,0.4830917874396135,0.5780590717299579,0.09443070162680794
201143,Al Horford,GSW,NOP,PTS,6.353025009632111,4.3619734187074775,22.36,0.28412455,0.7,0,0,0.0,2025-11-18,al horford,Al Horford,GSW,@ORL,2025-11-18,fanduel,5.5,102.0,-136.0,0.5775224890664215,0.49504950495049505,0.576271186440678,0.0824729841159264
201143,Al Horford,GSW,NOP,PTS,6.353025009632111,4.3619734187074775,22.36,0.28412455,0.7,0,0,0.0,2025-11-18,al horford,Al Horford,GSW,@ORL,2025-11-18,caesars,5.5,105.0,-139.0,0.5775224890664215,0.4878048780487805,0.5815899581589958,0.08971761101764097
1629014,Anfernee Simons,BOS,LAC,PTS,13.087503881454468,4.83756279192205,22.12,0.5916593,0.7,0,0,0.0,2025-11-18,anfernee simons,Anfernee Simons,BOS,@BKN,2025-11-18,mgm,12.5,-110.0,-125.0,0.548331208861104,0.5238095238095238,0.5555555555555556,0.024521685051580144
1629014,Anfernee Simons,BOS,LAC,PTS,13.087503881454468,4.83756279192205,22.12,0.5916593,0.7,0,0,0.0,2025-11-18,anfernee simons,Anfernee Simons,BOS,@BKN,2025-11-18,draftkings,11.5,-111.0,-115.0,0.6286053798395097,0.5260663507109005,0.5348837209302325,0.10253902912860924
