book,name,team,opponent,game_date,prop_type,line,odds_over,odds_under,mkt_p_over,mkt_p_under,model_p_over,pick_side,pick_edge_bp,pick_prob,pick_odds,bet_flag,kelly_frac,pred_mean,resid_sd_used
hardrock,Devin Booker,PHX,LAC,2025-11-06,3pm,2.5,130.0,-190.0,0.3988995873452545,0.6011004126547456,0.18482046478087577,Under,21.407912256437868,0.8151795352191242,-190.0,True,0.02,1.273360241788228,1.3672685805138958
draftkings,Grayson Allen,PHX,LAC,2025-11-06,3pm,3.5,122.0,-158.0,0.4238123398383599,0.57618766016164,0.051706132838387264,Under,37.21062069999728,0.9482938671616128,-158.0,True,0.02,1.273360241788228,1.3672685805138958
caesars,Grayson Allen,PHX,LAC,2025-11-06,3pm,3.5,120.0,-164.0,0.4225352112676056,0.5774647887323944,0.051706132838387264,Under,37.08290784292184,0.9482938671616128,-164.0,True,0.02,1.273360241788228,1.3672685805138958
hardrock,Grayson Allen,PHX,LAC,2025-11-06,3pm,3.5,115.0,-165.0,0.42759177087535294,0.572408229124647,0.051706132838387264,Under,37.58856380369659,0.9482938671616128,-165.0,True,0.02,1.273360241788228,1.3672685805138958
draftkings,Jalen Green,PHX,LAC,2025-11-06,3pm,1.5,-139.0,107.0,0.5462570956657111,0.45374290433428893,0.43417253356206365,Under,11.208456210364742,0.5658274664379364,107.0,True,0.02,1.273360241788228,1.3672685805138958
fanduel,Jalen Green,PHX,LAC,2025-11-06,3pm,1.5,-138.0,104.0,0.5418848167539267,0.4581151832460733,0.43417253356206365,Under,10.771228319186305,0.5658274664379364,104.0,True,0.02,1.273360241788228,1.3672685805138958
caesars,Jalen Green,PHX,LAC,2025-11-06,3pm,1.5,-137.0,100.0,0.5362035225048923,0.4637964774951076,0.43417253356206365,Under,10.203098894282874,0.5658274664379364,100.0,True,0.02,1.273360241788228,1.3672685805138958
hardrock,Jalen Green,PHX,LAC,2025-11-06,3pm,1.5,-130.0,-110.0,0.5190114068441064,0.4809885931558936,0.43417253356206365,Under,8.483887328204275,0.5658274664379364,-110.0,True,0.02,1.273360241788228,1.3672685805138958
draftkings,John Collins,LAC,PHX,2025-11-06,3pm,1.5,113.0,-147.0,0.44098480655585515,0.559015193444145,0.3293252541166039,Under,11.165955243925119,0.6706747458833962,-147.0,True,0.02,0.8959720458323901,1.3672685805138958
fanduel,John Collins,LAC,PHX,2025-11-06,3pm,1.5,116.0,-154.0,0.4329742261011864,0.5670257738988136,0.3293252541166039,Under,10.364897198458255,0.6706747458833962,-154.0,True,0.02,0.8959720458323901,1.3672685805138958
caesars,John Collins,LAC,PHX,2025-11-06,3pm,1.5,115.0,-157.0,0.43225969220418803,0.567740307795812,0.3293252541166039,Under,10.293443808758418,0.6706747458833962,-157.0,True,0.02,0.8959720458323901,1.3672685805138958
hardrock,John Collins,LAC,PHX,2025-11-06,3pm,1.5,130.0,-185.0,0.40112596762843067,0.5988740323715693,0.3293252541166039,Under,7.180071351182682,0.6706747458833962,-185.0,True,0.02,0.8959720458323901,1.3672685805138958
draftkings,Kris Dunn,LAC,PHX,2025-11-06,3pm,1.5,127.0,-165.0,0.4143538425455398,0.5856461574544601,0.3293252541166039,Under,8.502858842893602,0.6706747458833962,-165.0,True,0.02,0.8959720458323901,1.3672685805138958
fanduel,Kris Dunn,LAC,PHX,2025-11-06,3pm,1.5,124.0,-166.0,0.4170324846356453,0.5829675153643546,0.3293252541166039,Under,8.77072305190415,0.6706747458833962,-166.0,True,0.02,0.8959720458323901,1.3672685805138958
caesars,Kris Dunn,LAC,PHX,2025-11-06,3pm,1.5,120.0,-170.0,0.4192546583850932,0.5807453416149069,0.3293252541166039,Under,8.992940426848929,0.6706747458833962,-170.0,True,0.02,0.8959720458323901,1.3672685805138958
draftkings,Royce O'Neale,PHX,LAC,2025-11-06,3pm,2.5,114.0,-148.0,0.43915568777447234,0.5608443122255278,0.18482046478087577,Under,25.433522299359645,0.8151795352191242,-148.0,True,0.02,1.273360241788228,1.3672685805138958
fanduel,Royce O'Neale,PHX,LAC,2025-11-06,3pm,2.5,122.0,-162.0,0.421465800141561,0.5785341998584389,0.18482046478087577,Under,23.664533536068532,0.8151795352191242,-162.0,True,0.02,1.273360241788228,1.3672685805138958
caesars,Royce O'Neale,PHX,LAC,2025-11-06,3pm,2.5,110.0,-150.0,0.4424778761061947,0.5575221238938053,0.18482046478087577,Under,25.765741132531893,0.8151795352191242,-150.0,True,0.02,1.273360241788228,1.3672685805138958
hardrock,Royce O'Neale,PHX,LAC,2025-11-06,3pm,2.5,-105.0,-130.0,0.4753937007874017,0.5246062992125985,0.18482046478087577,Under,29.057323600652573,0.8151795352191242,-130.0,True,0.02,1.273360241788228,1.3672685805138958
hardrock,Ryan Dunn,PHX,LAC,2025-11-06,3pm,1.5,145.0,-210.0,0.3759854457246817,0.6240145542753184,0.43417253356206365,Over,5.818708783738197,0.43417253356206365,145.0,True,0.02,1.273360241788228,1.3672685805138958
draftkings,Bradley Beal,LAC,PHX,2025-11-06,ast,3.5,115.0,-149.0,0.43734082725915513,0.5626591727408448,0.2248761300732136,Under,21.246469718594163,0.7751238699267864,-149.0,True,0.02,1.766511109772603,2.293496186447802
