PLAYER_ID,player_proj,team_proj,opponent_proj,market,projection_mean,projection_sd,projected_minutes,pred_rate,start_prob,is_starter,may_not_play,injury_prob,game_date_proj,player_key,player_odds,team_odds,opponent_odds,game_date_odds,book,line,over_odds,under_odds,p_over_model,p_over_imp,p_under_imp,edge_over
203083,Andre Drummond,PHI,DET,PTS,8.761915862560272,5.241053429059365,27.0,0.3245154,0.7,0,0,0.0,2025-11-17,andre drummond,Andre Drummond,PHI,LAC,2025-11-17,mgm,10.5,-120.0,-110.0,0.3700847937272911,0.5454545454545454,0.5238095238095238,-0.17536975172725433
203083,Andre Drummond,PHI,DET,PTS,8.761915862560272,5.241053429059365,27.0,0.3245154,0.7,0,0,0.0,2025-11-17,andre drummond,Andre Drummond,PHI,LAC,2025-11-17,draftkings,11.5,-106.0,-120.0,0.30068544690009014,0.5145631067961165,0.5454545454545454,-0.21387765989602636
203083,Andre Drummond,PHI,DET,PTS,8.761915862560272,5.241053429059365,27.0,0.3245154,0.7,0,0,0.0,2025-11-17,andre drummond,Andre Drummond,PHI,LAC,2025-11-17,fanduel,11.5,102.0,-130.0,0.30068544690009014,0.49504950495049505,0.5652173913043478,-0.1943640580504049
203083,Andre Drummond,PHI,DET,PTS,8.761915862560272,5.241053429059365,27.0,0.3245154,0.7,0,0,0.0,2025-11-17,andre drummond,Andre Drummond,PHI,LAC,2025-11-17,caesars,11.5,-107.0,-125.0,0.30068544690009014,0.5169082125603864,0.5555555555555556,-0.2162227656602963
203083,Andre Drummond,PHI,DET,PTS,8.761915862560272,5.241053429059365,27.0,0.3245154,0.7,0,0,0.0,2025-11-17,andre drummond,Andre Drummond,PHI,LAC,2025-11-17,betrivers,11.5,-109.0,100.0,0.30068544690009014,0.5215311004784688,0.5,-0.2208456535783787
1629614,Andrew Nembhard,IND,TOR,PTS,20.40391480445862,6.32693940141519,30.16,0.6765224,0.7,0,0,0.0,2025-11-17,andrew nembhard,Andrew Nembhard,IND,@DET,2025-11-17,mgm,17.5,-110.0,-118.0,0.67687438277065,0.5238095238095238,0.5412844036697247,0.1530648589611262
1629614,Andrew Nembhard,IND,TOR,PTS,20.40391480445862,6.32693940141519,30.16,0.6765224,0.7,0,0,0.0,2025-11-17,andrew nembhard,Andrew Nembhard,IND,@DET,2025-11-17,draftkings,16.5,-121.0,-106.0,0.7313927073806656,0.5475113122171946,0.5145631067961165,0.18388139516347102
1629614,Andrew Nembhard,IND,TOR,PTS,20.40391480445862,6.32693940141519,30.16,0.6765224,0.7,0,0,0.0,2025-11-17,andrew nembhard,Andrew Nembhard,IND,@DET,2025-11-17,fanduel,17.5,-102.0,-125.0,0.67687438277065,0.504950495049505,0.5555555555555556,0.17192388772114509
1629614,Andrew Nembhard,IND,TOR,PTS,20.40391480445862,6.32693940141519,30.16,0.6765224,0.7,0,0,0.0,2025-11-17,andrew nembhard,Andrew Nembhard,IND,@DET,2025-11-17,caesars,17.5,-110.0,-122.0,0.67687438277065,0.5238095238095238,0.5495495495495496,0.1530648589611262
1629614,Andrew Nembhard,IND,TOR,PTS,20.40391480445862,6.32693940141519,30.16,0.6765224,0.7,0,0,0.0,2025-11-17,andrew nembhard,Andrew Nembhard,IND,@DET,2025-11-17,betrivers,18.5,107.0,100.0,0.6182629857125279,0.4830917874396135,0.5,0.1351711982729144
