name,team,opponent,game_date,game_id,PTS_roll5_mean,PTS_roll5_std,REB_roll5_mean,REB_roll5_std,AST_roll5_mean,AST_roll5_std,STL_roll5_mean,STL_roll5_std,BLK_roll5_mean,BLK_roll5_std,TOV_roll5_mean,TOV_roll5_std,MIN_roll5_mean,MIN_roll5_std,FGM_roll5_mean,FGM_roll5_std,FGA_roll5_mean,FGA_roll5_std,FG_PCT_roll5_mean,FG_PCT_roll5_std,FG3M_roll5_mean,FG3M_roll5_std,FG3A_roll5_mean,FG3A_roll5_std,FTM_roll5_mean,FTM_roll5_std,FTA_roll5_mean,FTA_roll5_std,FT_PCT_roll5_mean,FT_PCT_roll5_std,PLUS_MINUS_roll5_mean,PLUS_MINUS_roll5_std,PTS_roll10_mean,PTS_roll10_std,REB_roll10_mean,REB_roll10_std,AST_roll10_mean,AST_roll10_std,STL_roll10_mean,STL_roll10_std,BLK_roll10_mean,BLK_roll10_std,TOV_roll10_mean,TOV_roll10_std,MIN_roll10_mean,MIN_roll10_std,FGM_roll10_mean,FGM_roll10_std,FGA_roll10_mean,FGA_roll10_std,FG_PCT_roll10_mean,FG_PCT_roll10_std,FG3M_roll10_mean,FG3M_roll10_std,FG3A_roll10_mean,FG3A_roll10_std,FTM_roll10_mean,FTM_roll10_std,FTA_roll10_mean,FTA_roll10_std,FT_PCT_roll10_mean,FT_PCT_roll10_std,PLUS_MINUS_roll10_mean,PLUS_MINUS_roll10_std,PTS_trend10,REB_trend10,AST_trend10,STL_trend10,BLK_trend10,TOV_trend10,MIN_trend10,FGM_trend10,FGA_trend10,FG_PCT_trend10,FG3M_trend10,FG3A_trend10,FTM_trend10,FTA_trend10,FT_PCT_trend10,PLUS_MINUS_trend10
Chris Youngblood,OKC,DAL,2025-10-27,22500119,2.3333333333333335,2.0816659994661326,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,5.507570547286102,0.3333333333333333,0.5773502691896258,1.3333333333333333,1.5275252316519465,,,0.3333333333333333,0.5773502691896258,1.3333333333333333,1.5275252316519465,1.3333333333333333,2.3094010767585034,1.3333333333333333,2.3094010767585034,,,2.6666666666666665,4.618802153517007,2.3333333333333335,2.0816659994661326,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,5.507570547286102,0.3333333333333333,0.5773502691896258,1.3333333333333333,1.5275252316519465,,,0.3333333333333333,0.5773502691896258,1.3333333333333333,1.5275252316519465,1.3333333333333333,2.3094010767585034,1.3333333333333333,2.3094010767585034,,,2.6666666666666665,4.618802153517007,2.0,0.4999999999999998,0.0,0.0,0.0,0.0,5.499999999999999,1.7346906304869078e-16,1.4999999999999996,,1.7346906304869078e-16,1.4999999999999996,1.9999999999999991,1.9999999999999991,,1.3877525043895262e-15
Chris Youngblood,OKC,SAC,2025-10-28,22500126,1.75,2.0615528128088303,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,5.315072906367325,0.25,0.5,1.0,1.4142135623730951,,,0.25,0.5,1.0,1.4142135623730951,1.0,2.0,1.0,2.0,,,2.75,3.774917217635375,1.75,2.0615528128088303,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,5.315072906367325,0.25,0.5,1.0,1.4142135623730951,,,0.25,0.5,1.0,1.4142135623730951,1.0,2.0,1.0,2.0,,,2.75,3.774917217635375,0.10000000000000037,0.10000000000000002,0.0,0.0,0.0,0.0,0.5000000000000013,-0.09999999999999996,0.2000000000000001,,-0.09999999999999996,0.2000000000000001,0.4000000000000001,0.4000000000000001,,0.10000000000000074
Chris Youngblood,OKC,WAS,2025-10-30,22500140,1.4,1.9493588689617927,0.2,0.447213595499958,0.2,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.636809247747852,0.2,0.447213595499958,0.8,1.3038404810405297,,,0.2,0.447213595499958,0.8,1.3038404810405297,0.8,1.788854381999832,0.8,1.788854381999832,,,2.0,3.6742346141747673,1.4,1.9493588689617927,0.2,0.447213595499958,0.2,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.636809247747852,0.2,0.447213595499958,0.8,1.3038404810405297,,,0.2,0.447213595499958,0.8,1.3038404810405297,0.8,1.788854381999832,0.8,1.788854381999832,,,2.0,3.6742346141747673,-0.3,-4.973883742554424e-18,0.2,0.0,0.0,0.0,1.8663415059782812e-17,-0.1,-0.10000000000000003,,-0.1,-0.10000000000000003,-1.9895534970217697e-17,-1.9895534970217697e-17,,-0.7000000000000002
Chris Youngblood,OKC,NOP,2025-11-02,22500148,1.4,1.9493588689617927,0.4,0.5477225575051662,0.2,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,5.2,4.08656334834051,0.2,0.447213595499958,1.0,1.224744871391589,0.3333333333333333,0.5773502691896258,0.2,0.447213595499958,1.0,1.224744871391589,0.8,1.788854381999832,0.8,1.788854381999832,,,3.6,4.277849927241488,1.1666666666666667,1.834847859269718,0.3333333333333333,0.5163977794943223,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,4.226897995772629,0.16666666666666666,0.408248290463863,0.8333333333333334,1.1690451944500122,0.3333333333333333,0.5773502691896258,0.16666666666666666,0.408248290463863,0.8333333333333334,1.1690451944500122,0.6666666666666666,1.632993161855452,0.6666666666666666,1.632993161855452,,,3.0,4.09878030638384,-0.3714285714285712,0.11428571428571424,0.08571428571428572,0.0,0.0,0.0,0.2857142857142855,-0.08571428571428574,-0.02857142857142864,-0.5000000000000001,-0.08571428571428574,-0.02857142857142864,-0.11428571428571431,-0.11428571428571431,,0.45714285714285724
Christian Braun,DEN,GSW,2025-10-23,22500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Braun,DEN,PHX,2025-10-25,22500104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Braun,DEN,MIN,2025-10-27,22500008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Braun,DEN,NOP,2025-10-29,22500134,11.0,7.810249675906654,3.3333333333333335,0.5773502691896258,2.3333333333333335,0.5773502691896258,1.3333333333333333,1.1547005383792517,0.0,0.0,1.0,1.0,32.0,5.5677643628300215,4.0,1.7320508075688772,8.666666666666666,1.5275252316519468,0.454,0.13524422353653406,0.3333333333333333,0.5773502691896258,1.6666666666666667,1.1547005383792517,2.6666666666666665,4.618802153517007,2.6666666666666665,4.618802153517007,,,4.333333333333333,16.65332799572906,11.0,7.810249675906654,3.3333333333333335,0.5773502691896258,2.3333333333333335,0.5773502691896258,1.3333333333333333,1.1547005383792517,0.0,0.0,1.0,1.0,32.0,5.5677643628300215,4.0,1.7320508075688772,8.666666666666666,1.5275252316519468,0.454,0.13524422353653406,0.3333333333333333,0.5773502691896258,1.6666666666666667,1.1547005383792517,2.6666666666666665,4.618802153517007,2.6666666666666665,4.618802153517007,,,4.333333333333333,16.65332799572906,0.5000000000000021,-0.5000000000000003,-2.468831436720043e-16,1.0000000000000002,0.0,-1.0,-5.499999999999998,3.594306905690695e-16,0.9999999999999986,-0.04799999999999996,0.4999999999999998,0.9999999999999998,1.3877525043895262e-15,1.3877525043895262e-15,,4.0000000000000036
Christian Braun,DEN,POR,2025-10-31,22500026,12.5,7.047458170621991,4.0,1.4142135623730951,2.75,0.9574271077563381,1.0,1.1547005383792515,0.25,0.5,1.0,0.816496580927726,30.75,5.188127472091127,5.0,2.449489742783178,9.75,2.5,0.49425,0.1366537595531129,0.5,0.5773502691896257,2.0,1.1547005383792515,2.0,4.0,2.0,4.0,,,8.75,16.214705259938174,12.5,7.047458170621991,4.0,1.4142135623730951,2.75,0.9574271077563381,1.0,1.1547005383792515,0.25,0.5,1.0,0.816496580927726,30.75,5.188127472091127,5.0,2.449489742783178,9.75,2.5,0.49425,0.1366537595531129,0.5,0.5773502691896257,2.0,1.1547005383792515,2.0,4.0,2.0,4.0,,,8.75,16.214705259938174,2.0000000000000004,0.5999999999999998,0.4999999999999997,2.493335465025045e-16,0.29999999999999993,-0.4000000000000003,-3.6999999999999997,1.2000000000000006,1.7000000000000008,0.029100000000000025,0.39999999999999997,0.8,-0.7999999999999997,-0.7999999999999997,,6.900000000000001
Christian Braun,DEN,SAC,2025-11-03,22500162,11.0,6.96419413859206,3.8,1.3038404810405297,2.4,1.1401754250991378,0.8,1.0954451150103321,0.4,0.5477225575051661,1.6,1.51657508881031,30.6,4.505552130427524,4.4,2.5099800796022267,9.0,2.7386127875258306,0.462,0.13858571354941315,0.4,0.5477225575051661,2.2,1.0954451150103321,1.8,3.492849839314596,2.0,3.464101615137755,,,6.8,14.703741020570241,11.0,6.96419413859206,3.8,1.3038404810405297,2.4,1.1401754250991378,0.8,1.0954451150103321,0.4,0.5477225575051661,1.6,1.51657508881031,30.6,4.505552130427524,4.4,2.5099800796022267,9.0,2.7386127875258306,0.462,0.13858571354941315,0.4,0.5477225575051661,2.2,1.0954451150103321,1.8,3.492849839314596,2.0,3.464101615137755,,,6.8,14.703741020570241,-0.5000000000000008,0.09999999999999949,-0.10000000000000026,-0.20000000000000007,0.3000000000000001,0.39999999999999974,-2.0000000000000067,-2.1599109821266925e-16,0.10000000000000064,-0.017700000000000066,0.1,0.6,-0.6,-0.4,,1.5000000000000002
