player,team,opponent,game_date,market,book,line,over_odds,under_odds
Zaccharie Risacher,ATL,ORL,2025-11-04,PTS,mgm,10.5,100.0,-135.0
Jalen Suggs,ORL,@ATL,2025-11-04,PTS,mgm,10.5,-110.0,-120.0
Cole Anthony,MIL,@TOR,2025-11-04,PTS,mgm,8.5,-125.0,-105.0
Moussa Diabate,CHA,@NOP,2025-11-04,PTS,mgm,9.5,-125.0,-105.0
Luguentz Dort,OKC,@LAC,2025-11-04,PTS,mgm,8.5,-125.0,-105.0
Ryan Dunn,PHX,@GSW,2025-11-04,PTS,mgm,9.5,-130.0,100.0
AJ Green,MIL,@TOR,2025-11-04,PTS,mgm,9.5,-110.0,-118.0
Ryan Kalkbrenner,CHA,@NOP,2025-11-04,PTS,mgm,9.5,-130.0,-105.0
Kyle Kuzma,MIL,@TOR,2025-11-04,PTS,mgm,8.5,-135.0,100.0
Jared McCain,PHI,@CHI,2025-11-04,PTS,mgm,8.5,-130.0,100.0
Jakob Poeltl,TOR,MIL,2025-11-04,PTS,mgm,8.5,100.0,-135.0
Bobby Portis,MIL,@TOR,2025-11-04,PTS,mgm,9.5,-105.0,-125.0
Cason Wallace,OKC,@LAC,2025-11-04,PTS,mgm,8.5,-130.0,-105.0
Draymond Green,GSW,PHX,2025-11-04,PTS,mgm,8.5,-120.0,-110.0
Luke Kennard,ATL,ORL,2025-11-04,PTS,mgm,7.5,-135.0,100.0
Jalen Smith,CHI,PHI,2025-11-04,PTS,mgm,8.5,-110.0,-118.0
Patrick Williams,CHI,PHI,2025-11-04,PTS,mgm,8.5,-110.0,-118.0
Saddiq Bey,NOP,CHA,2025-11-04,PTS,mgm,7.5,-125.0,-105.0
Alex Caruso,OKC,@LAC,2025-11-04,PTS,mgm,6.5,-135.0,100.0
Buddy Hield,GSW,PHX,2025-11-04,PTS,mgm,7.5,-105.0,-125.0
Sion James,CHA,@NOP,2025-11-04,PTS,mgm,7.5,-125.0,-105.0
Yves Missi,NOP,CHA,2025-11-04,PTS,mgm,7.5,-135.0,100.0
Moses Moody,GSW,PHX,2025-11-04,PTS,mgm,7.5,-130.0,-105.0
