stat,feature,importance,importance_norm
AST,AST_roll5,0.8181909322738647,0.38914618577775284
AST,AST_roll10,0.2758365869522095,0.13119279556434477
AST,MIN_roll10,0.10280127823352814,0.04889411962373671
AST,ORtg_g_roll5,0.08636226505041122,0.04107543204627663
AST,MIN_roll5,0.07805270701646805,0.03712325818702698
AST,USG%,0.06709063053131104,0.031909499290252774
AST,REB_roll10,0.06639009714126587,0.03157631312796127
AST,TS%,0.0648382306098938,0.030838217754744088
AST,BPM,0.05993400886654854,0.028505682511011602
AST,REB_roll5,0.051669079810380936,0.024574734988783625
AST,PER,0.04812097176909447,0.022887191584755967
AST,WS/48,0.042461466044187546,0.02019542982186991
AST,PTS_roll10,0.04220212250947952,0.020072081415823326
AST,VORP,0.039959654211997986,0.019005523537618467
AST,Pace_g_roll5,0.039514314383268356,0.01879371198008455
AST,usage_share_roll5,0.036356084048748016,0.01729160136017021
AST,PTS_roll5,0.03343774378299713,0.015903586731283486
AST,DRtg_g_roll5,0.03221694380044937,0.015322952507575184
AST,days_rest,0.031938254833221436,0.015190403069128472
AST,HOME,0.03032865561544895,0.014424849001587966
AST,TS_game_roll10,0.03012508898973465,0.014328029087282373
AST,TS_game_roll5,0.024701347574591637,0.011748401030928815
PTS,USG%,8.822807312011719,0.5374798698285602
PTS,ORtg_g_roll5,0.8899663090705872,0.05421618755062618
PTS,TS%,0.8417105674743652,0.0512764781367861
PTS,PER,0.7621511816978455,0.04642977041683093
PTS,PTS_roll5,0.6314572095870972,0.038467975873066204
PTS,BPM,0.46010950207710266,0.028029581349532748
PTS,Pace_g_roll5,0.34196561574935913,0.020832330134715388
PTS,usage_share_roll5,0.3384585976600647,0.020618684799454112
PTS,WS/48,0.26981422305107117,0.016436912691717553
PTS,PTS_roll10,0.26766592264175415,0.016306039582567777
PTS,days_rest,0.25396737456321716,0.015471532653229259
PTS,AST_roll5,0.2464350163936615,0.01501266613316335
PTS,VORP,0.24423682689666748,0.01487875381218425
PTS,REB_roll5,0.24187323451042175,0.014734765251269226
PTS,MIN_roll5,0.23874367773532867,0.014544114621757224
PTS,TS_game_roll10,0.23667925596237183,0.014418351346355137
PTS,REB_roll10,0.236502543091774,0.014407586109472239
PTS,AST_roll10,0.2351289987564087,0.014323910652843962
PTS,DRtg_g_roll5,0.23492620885372162,0.01431155681957477
PTS,MIN_roll10,0.22473286092281342,0.013690584477635168
PTS,HOME,0.20327317714691162,0.012383274045191435
PTS,TS_game_roll5,0.19253438711166382,0.01172907371346673
REB,REB_roll10,0.769669771194458,0.1803729626727019
REB,REB_roll5,0.7435014247894287,0.17424038173218298
REB,PER,0.34240373969078064,0.08024269533463967
REB,MIN_roll5,0.30948111414909363,0.07252724160348654
REB,MIN_roll10,0.3010675311088562,0.07055550910669733
REB,WS/48,0.23463986814022064,0.054988112774525005
REB,usage_share_roll5,0.23161685466766357,0.05427966622166325
REB,BPM,0.1376238465309143,0.03225230074278511
REB,TS%,0.12403589487075806,0.02906794923344589
REB,AST_roll10,0.12346336245536804,0.028933775628277807
REB,USG%,0.11730969697237015,0.0274916573120777
REB,AST_roll5,0.11472763866186142,0.026886549089446904
REB,PTS_roll10,0.09186404198408127,0.02152843990487426
REB,VORP,0.08881169557571411,0.02081311914604266
REB,PTS_roll5,0.07925369590520859,0.018573191345424622
REB,Pace_g_roll5,0.07845783978700638,0.01838668158335023
REB,ORtg_g_roll5,0.06964519619941711,0.01632142880564895
REB,days_rest,0.06895210593938828,0.01615900233616843
REB,DRtg_g_roll5,0.06847546249628067,0.016047300417775023
REB,HOME,0.06104767322540283,0.014306589781812876
REB,TS_game_roll10,0.0579717680811882,0.013585748007162975
REB,TS_game_roll5,0.0530814528465271,0.012439697219809897
