stat,feature,importance,importance_norm
AST,AST_roll5,0.7834351062774658,0.38405314248789973
AST,AST_roll10,0.2593703269958496,0.1271477220674753
AST,MIN_roll10,0.09877465665340424,0.04842100766475999
AST,ORtg_g_roll5,0.0886441171169281,0.04345484580539646
AST,MIN_roll5,0.07921558618545532,0.03883282044010215
AST,USG%,0.06465040892362595,0.03169272414689654
AST,REB_roll10,0.06444530934095383,0.03159218086179606
AST,TS%,0.06272494047880173,0.030748826942047353
AST,BPM,0.05751553922891617,0.02819509032178621
AST,PER,0.04903865233063698,0.02403957696054859
AST,REB_roll5,0.04853350296616554,0.023791944196460645
AST,PTS_roll10,0.04209141805768013,0.02063392519341452
AST,VORP,0.04102235659956932,0.020109853181309995
AST,WS/48,0.03918839618563652,0.019210814761247353
AST,Pace_g_roll5,0.03880273550748825,0.01902175737258803
AST,usage_share_roll5,0.03580918535590172,0.017554268446319823
AST,PTS_roll5,0.033733028918504715,0.01653650143831903
AST,DRtg_g_roll5,0.03293710574507713,0.016146326434053206
AST,days_rest,0.03203603997826576,0.01570460875181085
AST,HOME,0.03155197948217392,0.015467314107763482
AST,TS_game_roll10,0.030844813212752342,0.015120649239344102
AST,TS_game_roll5,0.025548076257109642,0.01252409917866056
PTS,USG%,8.639543533325195,0.5334566076800616
PTS,ORtg_g_roll5,0.872428297996521,0.05386889232030867
PTS,TS%,0.8184851408004761,0.05053812217784039
PTS,PER,0.7847825288772583,0.04845712322723986
PTS,PTS_roll5,0.6407773494720459,0.03956539020945431
PTS,BPM,0.44734323024749756,0.027621621577109352
PTS,Pace_g_roll5,0.34609338641166687,0.0213698563058937
PTS,usage_share_roll5,0.31769371032714844,0.019616292034260376
PTS,PTS_roll10,0.28801262378692627,0.017783605888640457
PTS,WS/48,0.28636667132377625,0.01768197503117585
PTS,days_rest,0.24995845556259155,0.015433916068716972
PTS,REB_roll10,0.24784156680107117,0.01530320681385868
PTS,VORP,0.24702505767345428,0.015252790702442818
PTS,MIN_roll5,0.24216365814208984,0.014952619091225647
PTS,DRtg_g_roll5,0.23441682755947113,0.01447428387051227
PTS,REB_roll5,0.2307065725326538,0.01424519074162192
PTS,AST_roll5,0.23006804287433624,0.014205764137182077
PTS,AST_roll10,0.22955846786499023,0.014174299956835546
PTS,TS_game_roll10,0.22735752165317535,0.014038400496949481
PTS,MIN_roll10,0.22651338577270508,0.013986278546121902
PTS,TS_game_roll5,0.1970447450876236,0.012166710066355727
PTS,HOME,0.19121995568275452,0.011807053056192333
REB,REB_roll10,0.8633250594139099,0.20408000789982392
REB,REB_roll5,0.6672683954238892,0.1577344916894417
REB,PER,0.35434556007385254,0.08376317113768494
REB,MIN_roll10,0.3101925551891327,0.07332591406120002
REB,MIN_roll5,0.28718483448028564,0.06788715635016353
REB,WS/48,0.23465010523796082,0.05546855707300692
REB,usage_share_roll5,0.23371140658855438,0.055246659624650134
REB,BPM,0.1458984613418579,0.03448870019298641
REB,TS%,0.11668458580970764,0.027582879628211963
REB,USG%,0.11145857721567154,0.026347511948882147
REB,AST_roll10,0.09938753396272659,0.023494057649649246
REB,AST_roll5,0.09827964752912521,0.02323216617591516
REB,PTS_roll10,0.09817186743021011,0.02320668821347426
REB,VORP,0.08302917331457138,0.01962713135821268
REB,PTS_roll5,0.07789207249879837,0.01841278044411218
REB,Pace_g_roll5,0.0718829408288002,0.016992291573423263
REB,days_rest,0.07091276347637177,0.0167629529256117
REB,ORtg_g_roll5,0.06953385472297668,0.016436994926110275
REB,DRtg_g_roll5,0.06717526912689209,0.015879452709731054
REB,TS_game_roll10,0.05970904976129532,0.014114525246433262
REB,TS_game_roll5,0.05509745329618454,0.013024397451846225
REB,HOME,0.05453530326485634,0.01289151171942902
