game_id,team_home,team_away,sim_home_win_prob,sim_avg_home_pts,sim_avg_away_pts,sim_avg_total,sim_avg_margin
2025-11-23_ATL_CHA,ATL,CHA,0.4514,116.83396968204696,118.95322191730612,235.78719159935306,-2.119252235259149
2025-11-23_BOS_ORL,BOS,ORL,0.1978,111.0175127892991,125.3234177655082,236.34093055480727,-14.305904976209108
2025-11-23_CLE_LAC,CLE,LAC,0.2434,114.04778555625863,125.85641609567377,239.9042016519324,-11.80863053941513
2025-11-23_OKC_POR,OKC,POR,0.8994,140.78611989748435,118.80219947774899,259.58831937523337,21.983920419735355
2025-11-23_PHI_MIA,PHI,MIA,0.1412,118.98329137453526,137.30530492902298,256.2885963035582,-18.322013554487725
2025-11-23_PHX_SAS,PHX,SAS,0.3562,120.68478188638552,127.05089044644528,247.73567233283083,-6.366108560059741
2025-11-23_TOR_BKN,TOR,BKN,0.961,139.71142312880653,110.36598683738005,250.07740996618656,29.34543629142649
2025-11-23_UTA_LAL,UTA,LAL,0.11,116.00259617861197,136.39644193463292,252.3990381132449,-20.393845756020927
