Player,Team,Opponent,Market,Line,OverOdds,UnderOdds,POverImp,PUnderImp,POverFair,PUnderFair,ProjMins,ProjMean,ProjSD,POverModel,PUnderModel
Alex Sarr,WAS,ATL,AST,3.5,107,-141,0.4830917874396135,0.5850622406639004,0.4522679077448533,0.5477320922551466,30.6,3.5921932563185694,2.0517847161192035,0.5179197237499922,0.4820802762500078
Alex Sarr,WAS,ATL,PTS,17.5,-111,-115,0.5260663507109005,0.5348837209302325,0.4958445875753168,0.5041554124246831,30.6,19.726597702503206,6.354673954470342,0.6369760104754986,0.36302398952450143
Alex Sarr,WAS,ATL,REB,8.5,-102,-129,0.504950495049505,0.5633187772925764,0.47268091306459453,0.5273190869354056,30.6,8.302781867980958,2.9743953997540395,0.47356738818910193,0.5264326118108981
Andre Drummond,PHI,ORL,AST,0.5,100,-135,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,31.8,1.1214167699217796,2.075061244330897,0.6177089358550608,0.3822910641449392
Andre Drummond,PHI,ORL,PTS,10.5,-125,-105,0.5555555555555556,0.5121951219512195,0.5203045685279188,0.4796954314720812,31.8,10.543463498353958,6.13458552852787,0.5028264798009728,0.49717352019902716
Andre Drummond,PHI,ORL,REB,12.5,-129,-104,0.5633187772925764,0.5098039215686274,0.5249341737812177,0.47506582621878246,31.8,13.182595431804657,3.34415930268573,0.5808684588410327,0.41913154115896734
Anthony Black,ORL,@PHI,AST,2.5,-165,123,0.6226415094339622,0.4484304932735426,0.5813255391421123,0.4186744608578877,28.92,3.387140716016293,1.9455319187042128,0.6758009748927818,0.3241990251072182
Anthony Black,ORL,@PHI,PTS,12.5,-105,-130,0.5121951219512195,0.5652173913043478,0.4753937007874017,0.5246062992125985,28.92,14.532427489757538,5.82886975393867,0.6363363263726016,0.3636636736273984
Anthony Black,ORL,@PHI,REB,3.5,107,-150,0.4830917874396135,0.6,0.44603033006244425,0.5539696699375557,28.92,2.968944662511349,2.632141980994652,0.4200530128038089,0.5799469871961911
Austin Reaves,LAL,LAC,AST,4.5,-105,-130,0.5121951219512195,0.5652173913043478,0.4753937007874017,0.5246062992125985,33.4,4.356563502550125,2.2418730559819946,0.47449281677433963,0.5255071832256604
Austin Reaves,LAL,LAC,PTS,22.5,-102,-125,0.504950495049505,0.5555555555555556,0.47614107883817425,0.5238589211618258,33.4,22.05495821237564,6.860599564166868,0.47413906129936545,0.5258609387006346
Austin Reaves,LAL,LAC,REB,4.5,110,-145,0.47619047619047616,0.5918367346938775,0.4458598726114649,0.554140127388535,33.4,5.406317242980003,3.0749179753797926,0.6159057254377045,0.3840942745622955
Bilal Coulibaly,WAS,ATL,AST,2.5,-175,130,0.6363636363636364,0.43478260869565216,0.5940959409594095,0.4059040590405904,25.4,2.7224049121141434,1.7134040054463315,0.5516388396281124,0.44836116037188756
Bilal Coulibaly,WAS,ATL,PTS,10.5,102,-130,0.49504950495049505,0.5652173913043478,0.4669102720259846,0.5330897279740154,25.4,9.646414130926132,5.031564649424185,0.43264418977903885,0.5673558102209612
Bilal Coulibaly,WAS,ATL,REB,3.5,-154,117,0.6062992125984252,0.4608294930875576,0.5681594069842565,0.43184059301574346,25.4,4.067008900642395,2.3776305664213395,0.5942442112623866,0.4057557887376134
Bogdan Bogdanovic,LAC,@LAL,AST,2.5,140,-190,0.4166666666666667,0.6551724137931034,0.38873994638069703,0.6112600536193029,29.2,6.571724617481231,2.1226291970639957,0.9724600765775009,0.027539923422499113
Bogdan Bogdanovic,LAC,@LAL,PTS,8.5,-106,-125,0.5145631067961165,0.5555555555555556,0.4808467741935484,0.5191532258064516,29.2,25.84699308872223,6.627011085125219,0.9955727253772623,0.004427274622737731
Bogdan Bogdanovic,LAC,@LAL,REB,2.5,125,-167,0.4444444444444444,0.6254681647940075,0.41540256709451573,0.5845974329054843,29.2,10.92221449613571,3.056386632690025,0.9970708743209953,0.002929125679004718
Brook Lopez,LAC,@LAL,AST,0.5,115,-155,0.46511627906976744,0.6078431372549019,0.43348916277093075,0.5665108372290693,13.72,1.067970529794693,0.9509585986564016,0.7248334470431956,0.27516655295680437
Brook Lopez,LAC,@LAL,PTS,5.5,-112,-118,0.5283018867924528,0.5412844036697247,0.4939310568053083,0.5060689431946916,13.72,5.329791963100433,3.0506253865850077,0.47775276884892914,0.5222472311510709
Brook Lopez,LAC,@LAL,REB,1.5,-185,135,0.6491228070175439,0.425531914893617,0.6040291767974991,0.3959708232025009,13.72,1.5193801751732827,1.316735680014065,0.5058715596884865,0.4941284403115135
Bub Carrington,WAS,ATL,AST,3.5,-150,110,0.6,0.47619047619047616,0.5575221238938053,0.4424778761061947,21.4,3.0498360663652417,1.5160306636462642,0.3832577226302878,0.6167422773697122
Bub Carrington,WAS,ATL,PTS,7.5,100,-128,0.5,0.5614035087719298,0.4710743801652893,0.5289256198347108,21.4,5.425366520881653,4.1591477499751175,0.30895585959316285,0.6910441404068371
Bub Carrington,WAS,ATL,REB,3.5,120,-160,0.45454545454545453,0.6153846153846154,0.4248366013071895,0.5751633986928104,21.4,2.8769842147827145,2.0026496992053024,0.3778639207209238,0.6221360792790762
CJ McCollum,WAS,ATL,AST,3.5,110,-145,0.47619047619047616,0.5918367346938775,0.4458598726114649,0.554140127388535,32.2,3.638179856538773,2.1488567170361206,0.5256358739124741,0.4743641260875259
CJ McCollum,WAS,ATL,PTS,17.5,-110,-116,0.5238095238095238,0.5370370370370371,0.4937655860349127,0.5062344139650873,32.2,17.60656327009201,6.470823110840221,0.5065695927288147,0.49343040727118526
CJ McCollum,WAS,ATL,REB,3.5,125,-165,0.4444444444444444,0.6226415094339622,0.4165029469548134,0.5834970530451867,32.2,3.6236980080604555,2.92946342597788,0.5168405259071804,0.48315947409281956
Cam Whitmore,WAS,ATL,AST,1.5,175,-235,0.36363636363636365,0.7014925373134329,0.3414012738853503,0.6585987261146496,20.8,1.5275735497474672,1.388505256647449,0.5079218510691952,0.4920781489308048
Cam Whitmore,WAS,ATL,PTS,10.5,-130,-105,0.5652173913043478,0.5121951219512195,0.5246062992125985,0.4753937007874017,20.8,11.550707340240479,4.550920728262727,0.5912951971753176,0.40870480282468236
Cam Whitmore,WAS,ATL,REB,3.5,118,-157,0.45871559633027525,0.6108949416342413,0.4288622634582652,0.5711377365417348,20.8,3.245438241958618,1.9791734481812662,0.44882907623885726,0.5511709237611427
Corey Kispert,WAS,ATL,AST,1.5,-145,110,0.5918367346938775,0.47619047619047616,0.554140127388535,0.4458598726114649,17.4,1.3074918642640112,1.1756675970278765,0.43496646598879174,0.5650335340112083
Corey Kispert,WAS,ATL,PTS,8.5,106,-136,0.4854368932038835,0.576271186440678,0.45722256664600125,0.5427774333539988,17.4,6.789183193445205,3.65679606332754,0.3199474202747632,0.6800525797252368
