Player,Team,Opponent,Market,Line,OverOdds_American,UnderOdds_American,POverImp,PUnderImp,POverFair,PUnderFair,ProjMins,ProjMean,ProjSD,POverModel,PUnderModel,OverDecimal,UnderDecimal
AJ Green,MIL,@MIA,AST,1.5,-135,100,0.574468085106383,0.5,0.5346534653465347,0.4653465346534653,30.4,1.4011432290077208,1.9923305722259412,0.480213138664404,0.5197868613355959,1.7407407407407407,2.0
AJ Green,MIL,@MIA,PTS,9.5,103,-131,0.4926108374384236,0.5670995670995671,0.4648542048175799,0.53514579518242,30.4,10.040180587768557,5.875915021042988,0.5366236940148332,0.4633763059851667,2.0300000000000002,1.7633587786259541
AJ Green,MIL,@MIA,REB,2.5,107,-141,0.4830917874396135,0.5850622406639004,0.4522679077448533,0.5477320922551466,30.4,2.7829150199890136,2.755878732108201,0.5408830867346741,0.4591169132653259,2.0700000000000003,1.7092198581560285
Aaron Holiday,HOU,@GSW,AST,1.5,-165,125,0.6226415094339622,0.4444444444444444,0.5834970530451867,0.4165029469548134,20.12,1.8293207690119744,1.3667973897593082,0.5952004960857916,0.4047995039142084,1.606060606060606,2.25
Aaron Holiday,HOU,@GSW,PTS,10.5,-110,-121,0.5238095238095238,0.5475113122171946,0.488938053097345,0.5110619469026548,20.12,12.231121163368226,4.56068385466057,0.6478695058580559,0.3521304941419441,1.9090909090909092,1.8264462809917354
Aaron Holiday,HOU,@GSW,REB,1.5,-175,130,0.6363636363636364,0.4347826086956521,0.5940959409594095,0.4059040590405904,20.12,1.1034620183706283,1.8207480273869776,0.4137969526163618,0.5862030473836382,1.5714285714285714,2.3
Ajay Mitchell,OKC,MIN,AST,3.5,-136,102,0.576271186440678,0.495049504950495,0.5379072681704261,0.4620927318295739,27.4,4.215254935622215,1.900435222000528,0.6466767559788947,0.3533232440211052,1.7352941176470589,2.02
Ajay Mitchell,OKC,MIN,PTS,16.5,-117,-114,0.5391705069124424,0.5327102803738317,0.5030135004821601,0.4969864995178399,27.4,16.696845602989196,5.747649059489642,0.5136603129325512,0.4863396870674488,1.8547008547008548,1.8771929824561404
Ajay Mitchell,OKC,MIN,REB,3.5,-105,-130,0.5121951219512195,0.5652173913043478,0.4753937007874017,0.5246062992125985,27.4,4.041851359605789,2.5364544473143167,0.5845804454059458,0.4154195545940542,1.9523809523809523,1.7692307692307692
Alex Caruso,OKC,MIN,AST,2.5,-155,115,0.6078431372549019,0.4651162790697674,0.5665108372290693,0.4334891627709307,14.6,2.901861232519149,1.2663989324811866,0.6245018520483947,0.3754981479516053,1.6451612903225805,2.15
Alex Caruso,OKC,MIN,PTS,7.5,-105,-130,0.5121951219512195,0.5652173913043478,0.4753937007874017,0.5246062992125985,14.6,4.207093304395675,2.9974197132748057,0.1359755546095751,0.8640244453904249,1.9523809523809523,1.7692307692307692
Alex Caruso,OKC,MIN,REB,2.5,100,-130,0.5,0.5652173913043478,0.4693877551020409,0.5306122448979592,14.6,1.8796170204877851,1.4177621115098318,0.3308457350535401,0.6691542649464599,2.0,1.7692307692307692
Alperen Sengun,HOU,@GSW,AST,6.5,100,-135,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,36.24,6.4324696612358085,2.478596661419125,0.4891320055951351,0.5108679944048649,2.0,1.7407407407407407
Alperen Sengun,HOU,@GSW,PTS,23.5,-105,-125,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,36.24,32.7291415643692,7.7922553225203615,0.8818724767097689,0.1181275232902311,1.9523809523809523,1.8
Alperen Sengun,HOU,@GSW,REB,10.5,-118,-110,0.5412844036697247,0.5238095238095238,0.5082034454470877,0.4917965545529122,36.24,14.772385790348052,3.676160173768446,0.8774202554755888,0.1225797445244112,1.847457627118644,1.9090909090909092
Amen Thompson,HOU,@GSW,AST,4.5,-160,120,0.6153846153846154,0.4545454545454545,0.5751633986928104,0.4248366013071895,37.92,5.108061332702637,2.5372933567931617,0.5946990443123188,0.4053009556876812,1.625,2.2
Amen Thompson,HOU,@GSW,PTS,18.5,-130,-105,0.5652173913043478,0.5121951219512195,0.5246062992125985,0.4753937007874017,37.92,18.39251259326935,7.407881597111263,0.4942116020669086,0.5057883979330914,1.7692307692307692,1.9523809523809523
Amen Thompson,HOU,@GSW,REB,7.5,107,-145,0.4830917874396135,0.5918367346938775,0.4494175914885811,0.5505824085114189,37.92,6.580588624477387,3.4811349975725,0.3958466040831456,0.6041533959168544,2.0700000000000003,1.6896551724137931
Andrew Nembhard,IND,@TOR,AST,5.5,-148,112,0.5967741935483871,0.4716981132075472,0.5585303332383936,0.4414696667616063,32.96,6.279719071388245,2.293978713658154,0.6330333769329864,0.3669666230670135,1.6756756756756757,2.12
Andrew Nembhard,IND,@TOR,PTS,15.5,-122,-104,0.5495495495495496,0.5098039215686274,0.5187593796898449,0.4812406203101549,32.96,17.983706722259523,6.601199796160909,0.6466347748517002,0.3533652251482998,1.819672131147541,1.9615384615384617
Andrew Nembhard,IND,@TOR,REB,2.5,125,-167,0.4444444444444444,0.6254681647940075,0.4154025670945157,0.5845974329054843,32.96,3.0427828097343443,2.984028667630402,0.5721678191182895,0.4278321808817105,2.25,1.5988023952095807
Andrew Wiggins,MIA,MIL,AST,2.5,154,-210,0.3937007874015748,0.6774193548387096,0.3675598766895898,0.6324401233104102,34.4,3.117841237783432,2.275873744679961,0.6069868693208773,0.3930131306791227,2.54,1.4761904761904763
