game_date,book,player,team,opponent,market,line,lineup_status,over_odds,under_odds,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-04,caesars,Jonathan Kuminga,GSW,PHX,REB,,EXPECTED,-115,-117.0,0.5348837209302325,0.5391705069124424,0.49800439034124927,0.5019956096587508,,,,0.0,20.2,4.590747356414795,0.0,0.9
2025-11-04,caesars,Jordan Poole,NOP,CHA,AST,,EXPECTED,-115,-117.0,0.5348837209302325,0.5391705069124424,0.49800439034124927,0.5019956096587508,,,,0.0,25.0,3.746307611465454,0.0,0.9
2025-11-04,caesars,Jordan Poole,NOP,CHA,REB,,EXPECTED,-115,-117.0,0.5348837209302325,0.5391705069124424,0.49800439034124927,0.5019956096587508,,,,0.0,25.0,2.601377010345459,0.0,0.9
2025-11-04,betrivers,Josh Giddey,CHI,PHI,AST,,EXPECTED,-114,,0.5327102803738317,,,,,,,0.0,31.2,9.10069751739502,0.0,0.9
2025-11-04,betrivers,Josh Giddey,CHI,PHI,REB,,EXPECTED,-125,,0.5555555555555556,,,,,,,0.0,31.2,9.527085304260254,0.0,0.9
2025-11-04,betrivers,Kawhi Leonard,LAC,OKC,AST,,EXPECTED,-118,,0.5412844036697247,,,,,,,0.0,33.4,4.131577491760254,0.0,0.9
2025-11-04,betrivers,Kawhi Leonard,LAC,OKC,REB,,EXPECTED,-122,,0.5495495495495496,,,,,,,0.0,33.4,6.324544429779053,0.0,0.9
2025-11-04,caesars,Kevin Huerter,CHI,PHI,AST,,EXPECTED,-120,-113.0,0.5454545454545454,0.5305164319248826,0.5069416898056327,0.49305831019436736,,,,0.0,32.8,3.533841609954834,0.0,0.9
2025-11-04,caesars,Kevin Huerter,CHI,PHI,REB,,EXPECTED,-120,-113.0,0.5454545454545454,0.5305164319248826,0.5069416898056327,0.49305831019436736,,,,0.0,32.8,3.222519636154175,0.0,0.9
2025-11-04,mgm,Kris Dunn,LAC,OKC,AST,,EXPECTED,-115,-115.0,0.5348837209302325,0.5348837209302325,0.5,0.5,,,,0.0,25.0,2.5627927780151367,0.0,0.9
2025-11-04,mgm,Kris Dunn,LAC,OKC,REB,,EXPECTED,-115,-115.0,0.5348837209302325,0.5348837209302325,0.5,0.5,,,,0.0,25.0,3.2291903495788574,0.0,0.9
2025-11-04,caesars,Kristaps Porzingis,ATL,ORL,AST,,EXPECTED,-127,-107.0,0.5594713656387665,0.5169082125603864,0.519771442128989,0.4802285578710111,,,,0.0,30.0,2.0174262523651123,0.0,0.9
2025-11-04,betrivers,Kristaps Porzingis,ATL,ORL,REB,,EXPECTED,-117,,0.5391705069124424,,,,,,,0.0,30.0,2.5395894050598145,0.0,0.9
2025-11-04,mgm,Kyle Kuzma,MIL,@TOR,AST,,EXPECTED,-110,-120.0,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,,,,0.0,26.4,1.707590103149414,0.0,0.9
2025-11-04,betrivers,Kyle Kuzma,MIL,@TOR,REB,,EXPECTED,-112,,0.5283018867924528,,,,,,,0.0,26.4,2.9967267513275146,0.0,0.9
2025-11-04,betrivers,LaMelo Ball,CHA,@NOP,AST,,EXPECTED,-121,-110.0,0.5475113122171946,0.5238095238095238,0.5110619469026548,0.48893805309734506,,,,0.0,30.4,8.137030601501465,0.0,0.9
2025-11-04,betrivers,LaMelo Ball,CHA,@NOP,REB,,EXPECTED,-121,-110.0,0.5475113122171946,0.5238095238095238,0.5110619469026548,0.48893805309734506,,,,0.0,30.4,4.651181221008301,0.0,0.9
2025-11-04,mgm,Luguentz Dort,OKC,@LAC,AST,,EXPECTED,105,-140.0,0.4878048780487805,0.5833333333333334,0.4554079696394686,0.5445920303605313,,,,0.0,29.0,1.8960168361663818,0.0,0.9
2025-11-04,betrivers,Luguentz Dort,OKC,@LAC,REB,,EXPECTED,-121,,0.5475113122171946,,,,,,,0.0,29.0,3.586989641189575,0.0,0.9
2025-11-04,draftkings,Luke Kennard,ATL,ORL,AST,,EXPECTED,-101,-129.0,0.5024875621890548,0.5633187772925764,0.4714623506869421,0.528537649313058,,,,0.0,20.4,1.9687094688415527,0.0,0.9
2025-11-04,caesars,Luke Kennard,ATL,ORL,REB,,EXPECTED,-113,-120.0,0.5305164319248826,0.5454545454545454,0.49305831019436736,0.5069416898056327,,,,0.0,20.4,3.1834208965301514,0.0,0.9
2025-11-04,caesars,Mark Williams,PHX,@GSW,AST,,EXPECTED,-121,-112.0,0.5475113122171946,0.5283018867924528,0.5089278628680263,0.49107213713197356,,,,0.0,31.4,2.0541796684265137,0.0,0.9
2025-11-04,caesars,Mark Williams,PHX,@GSW,REB,,EXPECTED,-117,-115.0,0.5391705069124424,0.5348837209302325,0.5019956096587508,0.49800439034124927,,,,0.0,31.4,11.571163177490234,0.0,0.9
2025-11-04,mgm,Matas Buzelis,CHI,PHI,AST,,EXPECTED,-115,-115.0,0.5348837209302325,0.5348837209302325,0.5,0.5,,,,0.0,30.2,1.7871439456939697,0.0,0.9
2025-11-04,betrivers,Matas Buzelis,CHI,PHI,REB,,EXPECTED,-120,,0.5454545454545454,,,,,,,0.0,30.2,5.4618754386901855,0.0,0.9
