Player,Team,Opponent,Market,Line,OverOdds,UnderOdds,POverImp,PUnderImp,POverFair,PUnderFair,ProjMins,ProjMean,ProjSD,POverModel,PUnderModel
AJ Green,MIL,PHI,AST,2.5,135,-185,0.425531914893617,0.6491228070175439,0.3959708232025009,0.6040291767974991,18.257839721254353,0.9451463621252504,1.2063772446602292,0.09872305512529111,0.9012769448747089
AJ Green,MIL,PHI,PTS,9.5,-102,-130,0.504950495049505,0.5652173913043478,0.4718423169750604,0.5281576830249397,18.257839721254353,6.449460484840312,3.7312920509051155,0.2068054329920943,0.7931945670079057
AJ Green,MIL,PHI,REB,2.5,-124,-106,0.5535714285714286,0.5145631067961165,0.5182600227235838,0.48173997727641615,18.257839721254353,1.7148247319646825,1.6837818253161132,0.32049448061177943,0.6795055193882206
Andre Drummond,PHI,@MIL,AST,0.5,120,-160,0.45454545454545453,0.6153846153846154,0.4248366013071895,0.5751633986928104,18.911537474698523,0.8871924101288515,1.2448013748875255,0.6221177608295148,0.37788223917048525
Andre Drummond,PHI,@MIL,PTS,8.5,-105,-130,0.5121951219512195,0.5652173913043478,0.4753937007874017,0.5246062992125985,18.911537474698523,6.179439749838564,3.8025218965814447,0.2708419001404604,0.7291580998595396
Andre Drummond,PHI,@MIL,REB,10.5,102,-136,0.49504950495049505,0.576271186440678,0.46209273182957394,0.5379072681704261,18.911537474698523,6.749043145609185,2.2630590900705987,0.04871205252431632,0.9512879474756837
Anthony Black,ORL,LAC,AST,2.5,-115,-115,0.5348837209302325,0.5348837209302325,0.5,0.5,18.711740520785753,1.8186726925197727,1.2828079164766857,0.29766717359439065,0.7023328264056093
Anthony Black,ORL,LAC,PTS,11.5,-106,-120,0.5145631067961165,0.5454545454545454,0.48542880932556204,0.5145711906744379,18.711740520785753,9.139219155971622,4.064428027140439,0.28067427373215104,0.719325726267849
Anthony Black,ORL,LAC,REB,3.5,-105,-130,0.5121951219512195,0.5652173913043478,0.4753937007874017,0.5246062992125985,18.711740520785753,2.1818359151938678,1.7476358698583652,0.225347888474992,0.774652111525008
Bobby Portis,MIL,PHI,AST,1.5,-170,124,0.6296296296296297,0.44642857142857145,0.5851259987707437,0.4148740012292563,15.470383275261321,0.924274457248661,1.0362979545645612,0.28925589035462207,0.7107441096453779
Bobby Portis,MIL,PHI,PTS,13.5,-104,-128,0.5098039215686274,0.5614035087719298,0.47591522157996147,0.5240847784200385,15.470383275261321,6.738502642834227,3.4296225365409385,0.024333414371264572,0.9756665856287354
Bobby Portis,MIL,PHI,REB,7.5,104,-138,0.49019607843137253,0.5798319327731093,0.4581151832460733,0.5418848167539267,15.470383275261321,3.588638716873806,1.694990054922905,0.010510660599270638,0.9894893394007294
Bogdan Bogdanovic,LAC,@ORL,AST,2.5,-121,-109,0.5475113122171946,0.5215311004784688,0.5121511604358217,0.48784883956417835,19.666220534811945,3.0690226622988344,1.43641195051821,0.6539997489584843,0.34600025104151566
Bogdan Bogdanovic,LAC,@ORL,PTS,11.5,-105,-130,0.5121951219512195,0.5652173913043478,0.4753937007874017,0.5246062992125985,19.666220534811945,17.175444948139575,5.2013608708347,0.8623957132095924,0.1376042867904076
Bogdan Bogdanovic,LAC,@ORL,REB,3.5,-115,-115,0.5348837209302325,0.5348837209302325,0.5,0.5,19.666220534811945,7.526634111383841,2.385924964090337,0.9542619032629643,0.04573809673703566
Brook Lopez,LAC,@ORL,AST,0.5,125,-165,0.4444444444444444,0.6226415094339622,0.4165029469548134,0.5834970530451867,10.750867225697196,0.7896027273646095,0.7637882852858707,0.647717787781372,0.352282212218628
Brook Lopez,LAC,@ORL,PTS,6.5,100,-130,0.5,0.5652173913043478,0.4693877551020409,0.5306122448979592,10.750867225697196,4.242260530129052,2.609751275599801,0.19348736362052077,0.8065126363794792
Brook Lopez,LAC,@ORL,REB,2.5,100,-130,0.5,0.5652173913043478,0.4693877551020409,0.5306122448979592,10.750867225697196,1.2669893625390738,1.083538197831103,0.1275709994754174,0.8724290005245826
Cam Spencer,MEM,SAC,AST,3.5,-152,116,0.6031746031746031,0.46296296296296297,0.56575682382134,0.4342431761786601,17.290018515401446,2.1799591377796377,1.242243268809449,0.1439756374652854,0.8560243625347146
Cam Spencer,MEM,SAC,PTS,9.5,-128,-104,0.5614035087719298,0.5098039215686274,0.5240847784200385,0.47591522157996147,17.290018515401446,6.968000049523644,3.6574128264162473,0.24437678823162057,0.7556232117683794
Cedric Coward,MEM,SAC,AST,3.5,-129,-104,0.5633187772925764,0.5098039215686274,0.5249341737812177,0.47506582621878246,22.299276216125232,2.133730617241313,1.5039747269088946,0.18182314918170484,0.8181768508182952
Cedric Coward,MEM,SAC,PTS,15.5,-105,-122,0.5121951219512195,0.5495495495495496,0.48240894039735094,0.517591059602649,22.299276216125232,10.690869336336114,4.641058717368558,0.15005112594480496,0.849948874055195
Cedric Coward,MEM,SAC,REB,6.5,-115,-115,0.5348837209302325,0.5348837209302325,0.5,0.5,22.299276216125232,5.697602389376887,2.2690607474000424,0.3618098022911438,0.6381901977088562
Cole Anthony,MIL,PHI,AST,4.5,-106,-125,0.5145631067961165,0.5555555555555556,0.4808467741935484,0.5191532258064516,12.125435540069684,2.7625310254844635,1.23962458411258,0.08051601888366378,0.9194839811163362
Cole Anthony,MIL,PHI,PTS,10.5,101,-129,0.4975124378109453,0.5633187772925764,0.468983595813963,0.5310164041860369,12.125435540069684,5.300603810087728,2.92246297621087,0.03761049784156523,0.9623895021584348
Cole Anthony,MIL,PHI,REB,3.5,123,-162,0.4484304932735426,0.6183206106870229,0.4203703109456728,0.5796296890543273,12.125435540069684,1.8899125649953965,1.2689980943428918,0.10225864096847781,0.8977413590315222
De'Aaron Fox,SAS,ATL,AST,7.5,100,-130,0.5,0.5652173913043478,0.4693877551020409,0.5306122448979592,22.822391154111955,3.939755522142053,1.6510016286020357,0.015525641924159062,0.9844743580758409
De'Aaron Fox,SAS,ATL,PTS,25.5,100,-130,0.5,0.5652173913043478,0.4693877551020409,0.5306122448979592,22.822391154111955,15.286034563614239,5.121356830435569,0.023054910888949953,0.97694508911105
De'Aaron Fox,SAS,ATL,REB,3.5,-143,108,0.588477366255144,0.4807692307692308,0.5503663681444749,0.4496336318555252,22.822391154111955,2.9594541442913274,2.117401296728614,0.39925056841268103,0.600749431587319
DeMar DeRozan,SAC,@MEM,AST,3.5,105,-139,0.4878048780487805,0.5815899581589958,0.45615039603015556,0.5438496039698445,22.173752660203363,1.9107207547916427,1.4858781224967221,0.14240212128576069,0.8575978787142393
DeMar DeRozan,SAC,@MEM,PTS,17.5,-102,-130,0.504950495049505,0.5652173913043478,0.4718423169750604,0.5281576830249397,22.173752660203363,9.725145649994541,4.547725037707886,0.043668638396622494,0.9563313616033775
DeMar DeRozan,SAC,@MEM,REB,3.5,-104,-128,0.5098039215686274,0.5614035087719298,0.47591522157996147,0.5240847784200385,22.173752660203363,2.6645661030460634,2.0510707417371488,0.34188796238892427,0.6581120376110757
Dennis Schroder,SAC,@MEM,AST,4.5,-141,107,0.5850622406639004,0.4830917874396135,0.5477320922551466,0.4522679077448533,18.795932844644128,2.8019793495327967,1.3727010604376044,0.1080449694884339,0.8919550305115661
Dennis Schroder,SAC,@MEM,PTS,12.5,102,-136,0.49504950495049505,0.576271186440678,0.46209273182957394,0.5379072681704261,18.795932844644128,13.592913220131138,4.652753877606942,0.5928552683066415,0.4071447316933585
Dennis Schroder,SAC,@MEM,REB,3.5,120,-159,0.45454545454545453,0.6138996138996139,0.4254270696452037,0.5745729303547964,18.795932844644128,7.806838986551715,2.425471860580996,0.9621063840637474,0.03789361593625262
Desmond Bane,ORL,LAC,AST,4.5,-155,115,0.6078431372549019,0.46511627906976744,0.5665108372290693,0.43348916277093075,27.1904979442668,4.156798593199598,1.8802109450366045,0.4275820495930349,0.5724179504069651
Desmond Bane,ORL,LAC,PTS,20.5,-117,-114,0.5391705069124424,0.5327102803738317,0.5030135004821601,0.4969864995178399,27.1904979442668,14.781223678763139,5.586545411636078,0.15299569572585825,0.8470043042741418
Desmond Bane,ORL,LAC,REB,4.5,-130,100,0.5652173913043478,0.5,0.5306122448979592,0.4693877551020409,27.1904979442668,3.299658029468271,2.4904972507696748,0.3149140552848637,0.6850859447151363
Devin Vassell,SAS,ATL,AST,3.5,-135,100,0.574468085106383,0.5,0.5346534653465347,0.4653465346534653,20.56668970283345,1.5950433534017168,1.3757967178315023,0.08308423568540002,0.9169157643146
Devin Vassell,SAS,ATL,PTS,15.5,-105,-125,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,20.56668970283345,8.17923421273169,4.202775614885201,0.04076399339559378,0.9592360066044062
Devin Vassell,SAS,ATL,REB,3.5,-160,120,0.6153846153846154,0.45454545454545453,0.5751633986928104,0.4248366013071895,20.56668970283345,2.646488955536627,1.9214934083723514,0.32845206759930734,0.6715479324006927
