Player,Team,Opponent,Market,Line,OverOdds,UnderOdds,POverImp,PUnderImp,POverFair,PUnderFair,ProjMins,ProjMean,ProjSD,POverModel,PUnderModel
AJ Green,MIL,@CLE,AST,1.5,-115,-118,0.5348837209302325,0.5412844036697247,0.4970261697065821,0.5029738302934179,28.080000000000002,1.291665253043175,1.8361919121303338,0.4548328477428851,0.5451671522571149
AJ Green,MIL,@CLE,PTS,8.5,-121,-110,0.5475113122171946,0.5238095238095238,0.5110619469026548,0.48893805309734506,28.080000000000002,9.747496612071991,5.461361319978808,0.59034101537468,0.40965898462532
AJ Green,MIL,@CLE,REB,2.5,125,-165,0.4444444444444444,0.6226415094339622,0.4165029469548134,0.5834970530451867,28.080000000000002,2.395608281493187,2.5396781805385364,0.4836063694270599,0.5163936305729401
Aaron Gordon,DEN,CHI,AST,1.5,-173,129,0.6336996336996337,0.4366812227074236,0.5920319201398747,0.40796807986012523,29.2,1.8783447474241257,1.9179560207917818,0.5781897436548149,0.4218102563451851
Aaron Gordon,DEN,CHI,PTS,17.5,-112,-118,0.5283018867924528,0.5412844036697247,0.4939310568053083,0.5060689431946916,29.2,17.604802656173707,6.030478387916706,0.5069328009221687,0.49306719907783125
Aaron Gordon,DEN,CHI,REB,5.5,-135,102,0.574468085106383,0.49504950495049505,0.5371282253299192,0.4628717746700807,29.2,6.732512259483337,2.7881295057265865,0.6707760325391068,0.3292239674608932
Ajay Mitchell,OKC,@NOP,AST,3.5,-119,-111,0.54337899543379,0.5260663507109005,0.5080942166821806,0.4919057833178194,29.479999999999997,3.8853931540250772,1.9953592902211803,0.5765771931209716,0.42342280687902845
Ajay Mitchell,OKC,@NOP,PTS,14.5,-115,-115,0.5348837209302325,0.5348837209302325,0.5,0.5,29.479999999999997,15.859902262687681,5.969710730114166,0.5900992771970736,0.40990072280292644
Ajay Mitchell,OKC,@NOP,REB,3.5,100,-135,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,29.479999999999997,4.113234229683876,2.7038957620775137,0.5897090266415219,0.4102909733584781
Andre Drummond,PHI,LAC,AST,1.5,165,-220,0.37735849056603776,0.6875,0.35437430786268,0.6456256921373201,27.0,1.3344405591487885,1.767997256751516,0.46269662833011627,0.5373033716698837
Andre Drummond,PHI,LAC,PTS,10.5,-135,100,0.574468085106383,0.5,0.5346534653465347,0.4653465346534653,27.0,8.761915862560272,5.241053429059365,0.3700847937272911,0.6299152062727089
Andre Drummond,PHI,LAC,REB,11.5,-132,100,0.5689655172413793,0.5,0.532258064516129,0.4677419354838709,27.0,9.500424027442932,2.833491213950828,0.2401894214818292,0.7598105785181708
Andrew Nembhard,IND,@DET,AST,6.5,110,-145,0.47619047619047616,0.5918367346938775,0.4458598726114649,0.554140127388535,30.16,6.247951322793961,2.1455917147511867,0.45324269662243244,0.5467573033775676
Andrew Nembhard,IND,@DET,PTS,18.5,-105,-125,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,30.16,20.40391480445862,6.32693940141519,0.6182629857125279,0.3817370142874721
Andrew Nembhard,IND,@DET,REB,2.5,-130,100,0.5652173913043478,0.5,0.5306122448979592,0.4693877551020409,30.16,2.8796899074316027,2.730129096853651,0.5553041535968046,0.44469584640319537
