game_date,book,player,team,opponent,market,line,over_dec,under_dec,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,p_over_price,edge_vs_price,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-26,draftkings,Alperen Sengun,HOU,@GSW,AST,6.5,1.9523809523809523,1.8,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,0.7630293353473269,0.28333390387524565,0.4897239404400191,0.25,0.5121951219512195,0.25083421339610734,28.95146794487717,8.092332409126733,2.223676355799472,0.7
2025-11-26,draftkings,Anfernee Simons,BOS,DET,AST,2.5,2.02,1.7407407407407407,0.49504950495049505,0.574468085106383,0.4628717746700807,0.5371282253299192,0.7301788120092046,0.2673070373391239,0.47496120025859345,0.25,0.49504950495049505,0.2351293070587096,18.91390728476821,3.3862075742506823,1.4448552571803872,0.7
2025-11-26,draftkings,Dennis Schroder,SAC,PHX,AST,4.5,2.01,1.7518796992481203,0.4975124378109453,0.5708154506437768,0.46569264285571527,0.5343073571442848,0.6749582230087371,0.20926558015302182,0.35666602824756155,0.25,0.49751243781094534,0.17744578519779175,18.473552105605652,5.270960578092182,1.6994757514354537,0.7
2025-11-26,fanduel,Jaylen Brown,BOS,DET,AST,4.5,2.34,1.5555555555555556,0.42735042735042733,0.6428571428571429,0.3993154592127781,0.600684540787222,0.5859195608554281,0.18660410164264996,0.37105177240170173,0.25,0.4273504273504274,0.15856913350500068,25.90728476821192,4.905409100039905,1.8677204623022423,0.7
2025-11-26,draftkings,Derrick White,BOS,DET,AST,4.5,1.6802721088435373,2.1100000000000003,0.5951417004048583,0.47393364928909953,0.5566882639050917,0.4433117360949082,0.7365620675045836,0.1798738035994919,0.23762469846008272,0.25,0.5951417004048584,0.14142036709972527,26.3841059602649,5.732680761261491,1.948033161991772,0.7
2025-11-26,draftkings,Payton Pritchard,BOS,DET,AST,4.5,1.9803921568627452,1.7692307692307692,0.504950495049505,0.5652173913043478,0.4718423169750604,0.5281576830249397,0.6126934738523451,0.14085115687728467,0.2133733501781735,0.21764081718173708,0.504950495049505,0.10774297880284012,26.06622516556291,5.039553563326399,1.8842706845050996,0.7
2025-11-26,caesars,Stephen Curry,GSW,HOU,AST,3.5,1.6289308176100628,2.1799999999999997,0.6138996138996139,0.45871559633027525,0.5723390905188072,0.42766090948119284,0.7116877215619052,0.13934863104309803,0.15929006216687697,0.25,0.613899613899614,0.09778810766229118,27.860139860139864,4.585592198205162,1.9443838675464575,0.7
2025-11-26,draftkings,Josh Hart,NYK,@CHA,AST,4.5,2.1,1.6896551724137931,0.47619047619047616,0.5918367346938775,0.4458598726114649,0.554140127388535,0.565465900782508,0.1196060281710431,0.18747839164326685,0.17043490149387905,0.47619047619047616,0.08927542459203186,24.812101607839406,4.798512819003633,1.8109006310189408,0.7
2025-11-26,draftkings,Karl-Anthony Towns,NYK,@CHA,AST,2.5,1.6802721088435373,2.12,0.5951417004048583,0.4716981132075472,0.5578547902047831,0.44214520979521704,0.6605568886521923,0.10270209844740918,0.10991531630674489,0.16157551497091482,0.5951417004048584,0.06541518824733394,26.821425173627627,3.254400599117386,1.822296489194472,0.7
2025-11-26,caesars,Andrew Wiggins,MIA,MIL,AST,2.5,2.56,1.4694835680751175,0.390625,0.6805111821086262,0.3646828540802536,0.6353171459197465,0.45478066521823557,0.09009781113798199,0.16423850295868303,0.10528109164018143,0.390625,0.06415566521823557,24.867469879518072,2.3104823698480446,1.6684083636040445,0.7
2025-11-26,caesars,Norman Powell,MIA,MIL,AST,1.5,1.5882352941176472,2.24,0.6296296296296297,0.44642857142857145,0.5851259987707437,0.4148740012292563,0.6681840276354569,0.08305802886471325,0.06123345565631394,0.10409687461573398,0.6296296296296295,0.038554398005827384,21.831325301204817,2.1448127494519014,1.4826545852118567,0.7
2025-11-26,fanduel,Moussa Diabate,CHA,NYK,PTS,7.5,1.8771929824561404,1.8771929824561404,0.5327102803738317,0.5327102803738317,0.5,0.5,0.9591487895402857,0.4591487895402857,0.8005073768563258,0.25,0.5327102803738317,0.426438509166454,19.05429071803853,16.34366564909339,5.079960750577914,0.7
2025-11-26,fanduel,Dennis Schroder,SAC,PHX,PTS,10.5,1.9615384615384617,1.78125,0.5098039215686274,0.5614035087719298,0.47591522157996147,0.5240847784200385,0.8612256413179087,0.3853104197379472,0.6893272195082055,0.25,0.5098039215686274,0.35142171974928127,18.473552105605652,15.952085099765954,5.021064773301916,0.7
2025-11-26,draftkings,Alperen Sengun,HOU,@GSW,PTS,22.5,1.8064516129032258,1.970873786407767,0.5535714285714286,0.5073891625615764,0.5217643644805572,0.47823563551944287,0.7383775221502784,0.21661315766972122,0.3338432658198577,0.25,0.5535714285714286,0.1848060935788498,28.95146794487717,26.767609369404802,6.685360644684903,0.7
2025-11-26,draftkings,Moses Moody,GSW,HOU,PTS,11.5,1.9174311926605505,1.8620689655172413,0.5215311004784688,0.5370370370370371,0.4926759856030803,0.5073240143969199,0.6616232988136743,0.16894731321059403,0.26861715093631133,0.25,0.5215311004784688,0.14009219833520548,26.34965034965035,13.758199268287711,5.4166777623177005,0.7
2025-11-26,caesars,Jordan Walsh,BOS,DET,PTS,5.5,1.9345794392523366,1.8,0.5169082125603864,0.5555555555555556,0.481981981981982,0.5180180180180181,0.6094662363567166,0.1274842543747346,0.17906084977420877,0.1915951092584034,0.5169082125603864,0.09255802379633016,18.278145695364238,6.5422875123308195,3.750205136810675,0.7
2025-11-26,draftkings,Brandin Podziemski,GSW,HOU,PTS,11.5,1.9523809523809523,1.8264462809917354,0.5121951219512195,0.5475113122171946,0.4833368048323266,0.5166631951676735,0.5342506348272638,0.050913829994937154,0.04306076323418162,0.04521380139589059,0.5121951219512195,0.022055512876044236,24.67132867132867,11.935212960610022,5.0630088850169015,0.7
2025-11-26,draftkings,Dennis Schroder,SAC,PHX,REB,2.5,1.9345794392523366,1.8130081300813008,0.5169082125603864,0.5515695067264574,0.4837800575807955,0.5162199424192044,0.9916519357123998,0.5078718781316043,0.9184294457239884,0.25,0.5169082125603864,0.4747437231520134,18.473552105605652,8.663253804570605,2.575177190058353,0.7
2025-11-26,draftkings,Alperen Sengun,HOU,@GSW,REB,10.5,1.8547008547008548,1.8928571428571428,0.5391705069124424,0.5283018867924528,0.5050908202329559,0.494909179767044,0.6366441144687123,0.13155329423575635,0.18078438324538937,0.2115177283971057,0.5391705069124424,0.09747360755626988,28.95146794487717,11.581912643542326,3.0955753121754213,0.7
2025-11-26,fanduel,Immanuel Quickley,TOR,IND,REB,4.5,2.2199999999999998,1.617283950617284,0.45045045045045046,0.6183206106870229,0.421465800141561,0.5785341998584389,0.5507389159996358,0.12927311585807477,0.2226403935191914,0.1824921258354026,0.4504504504504505,0.10028846554918525,29.15241206995964,4.845530018539766,2.709435076103095,0.7
