game_date,book,player,team,opponent,market,line,over_dec,under_dec,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-23,mgm,Gradey Dick,TOR,BKN,AST,0.5,1.8,1.9523809523809523,0.5555555555555556,0.5121951219512195,0.5203045685279188,0.4796954314720812,0.7886367497321269,0.2683321812042081,0.41954614951782854,0.25,15.542542197726492,1.3646235648328342,1.0784876341955854,0.7
2025-11-23,caesars,Jamal Shead,TOR,BKN,AST,4.5,1.6993006993006992,2.08,0.588477366255144,0.4807692307692308,0.5503663681444749,0.4496336318555252,0.7919714372739648,0.24160506912948987,0.34579761718582824,0.25,16.369273165690668,6.028403127107217,1.8793057301226943,0.7
2025-11-23,mgm,Brook Lopez,LAC,@CLE,AST,0.5,2.2,1.625,0.45454545454545453,0.6153846153846154,0.4248366013071895,0.5751633986928104,0.6605938817743151,0.23575728046712563,0.45330653990349323,0.25,9.405083061195516,0.7932711514190368,0.70823989686494,0.7
2025-11-23,mgm,Scottie Barnes,TOR,BKN,AST,4.5,1.6896551724137931,2.1,0.5918367346938775,0.47619047619047616,0.554140127388535,0.4458598726114649,0.7382642284230647,0.1841241010345297,0.2474119721631094,0.25,27.61281433000345,5.778311477461398,2.0036126960275022,0.7
2025-11-23,mgm,Chet Holmgren,OKC,POR,AST,1.5,2.0,1.7407407407407407,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,0.6126488573825434,0.14730232272907806,0.22529771476508675,0.22529771476508675,23.036078965282506,1.9417304401092583,1.5432731709131542,0.7
2025-11-23,mgm,John Collins,LAC,@CLE,AST,0.5,2.2,1.625,0.45454545454545453,0.6153846153846154,0.4248366013071895,0.5751633986928104,0.561724606753437,0.13688800544624757,0.2357941348575615,0.19649511238130135,17.55615504756496,0.679619592241176,1.1562761079482542,0.7
2025-11-23,draftkings,Ajay Mitchell,OKC,POR,AST,3.5,2.0700000000000003,1.7092198581560285,0.4830917874396135,0.5850622406639004,0.4522679077448533,0.5477320922551466,0.5833998670192027,0.13113195927434934,0.2076377247297495,0.1940539483455604,23.36283185840708,3.852428735884945,1.6734594798390554,0.7
2025-11-23,mgm,Dean Wade,CLE,LAC,AST,1.5,2.55,1.4761904761904763,0.39215686274509803,0.6774193548387096,0.3666469544648137,0.6333530455351862,0.4976378185739465,0.1309908641091328,0.2689764373635636,0.1735331853958474,19.34431472893011,1.4922886765634233,1.3023364533357646,0.7
2025-11-23,mgm,Alex Caruso,OKC,POR,AST,2.5,2.25,1.606060606060606,0.4444444444444444,0.6226415094339622,0.4165029469548134,0.5834970530451867,0.5453572713037829,0.12885432434896948,0.2270538604335115,0.1816430883468092,12.416609938733831,2.6372646912171613,1.2047116410173322,0.7
2025-11-23,mgm,Isaiah Joe,OKC,POR,AST,1.5,1.7142857142857144,2.05,0.5833333333333334,0.4878048780487805,0.5445920303605313,0.4554079696394686,0.6668804337953633,0.12228840343483205,0.14322360079205143,0.20051304110887216,21.40231449965963,2.1283155391620405,1.4567430138143906,0.7
2025-11-23,mgm,Marcus Smart,LAL,@UTA,AST,1.5,1.6896551724137931,2.1,0.5918367346938775,0.47619047619047616,0.554140127388535,0.4458598726114649,0.675960599846764,0.12182047245822902,0.14214032387901515,0.20610346962457188,16.209606986899562,2.0393702244654492,1.1817079129812242,0.7
2025-11-23,mgm,Jordan Walsh,BOS,ORL,AST,0.5,1.5714285714285714,2.3,0.6363636363636364,0.43478260869565216,0.5940959409594095,0.4059040590405904,0.6954941522450864,0.10139821128567683,0.09291938209942141,0.16260891867398747,18.559153998678124,1.1327279543766342,1.2370417881510307,0.7
2025-11-23,mgm,RJ Barrett,TOR,BKN,AST,3.5,1.6451612903225805,2.15,0.6078431372549019,0.46511627906976744,0.5665108372290693,0.43348916277093075,0.6475263580193511,0.08101552079028185,0.06528529867699695,0.10119221294934527,24.967275232518087,4.171281591021847,1.7728255361798644,0.7
2025-11-23,caesars,Isaiah Hartenstein,OKC,POR,AST,3.5,2.19,1.6289308176100628,0.45662100456621,0.6138996138996139,0.4265410648704731,0.5734589351295268,0.49154109610990915,0.06500003123943604,0.076475000480701,0.06426470628630346,20.258679373723623,3.468107644841329,1.5040075674937214,0.7
2025-11-23,mgm,Rui Hachimura,LAL,@UTA,AST,0.5,1.6451612903225805,2.15,0.6078431372549019,0.46511627906976744,0.5665108372290693,0.43348916277093075,0.6286741462155286,0.06216330898645939,0.03427036958038582,0.053119072849597763,19.283842794759824,0.9180619414716829,1.2732443943410918,0.7
2025-11-23,mgm,Noah Clowney,BKN,@TOR,AST,1.5,2.0,1.7407407407407407,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,0.5222034358475873,0.05685690119412201,0.044406871695174654,0.044406871695174654,24.877792194129817,1.5915628447206425,1.6443140370620657,0.7
2025-11-23,mgm,Cason Wallace,OKC,POR,AST,2.5,2.0,1.7407407407407407,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,0.5189314918552775,0.05358495720181222,0.037862983710555076,0.037862983710555076,21.075561606535057,2.5696217559323657,1.4665845422026529,0.7
2025-11-23,draftkings,Lauri Markkanen,UTA,LAL,AST,2.5,2.42,1.5319148936170213,0.4132231404958678,0.6527777777777778,0.38763863465058684,0.6123613653494131,0.4204806836298799,0.03284204897929305,0.01756325438430928,0.012368489003034782,26.130177514792894,2.151124917543851,1.7386038734787723,0.7
