game_date,book,player,team,opponent,market,line,over_dec,under_dec,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-17,mgm,Moussa Diabate,CHA,@TOR,AST,0.5,1.6666666666666665,2.1,0.6,0.47619047619047616,0.5575221238938053,0.4424778761061947,0.9509726515185886,0.3934505276247833,0.5849544191976476,0.25,27.0,3.5445299595594406,1.840308489953678,0.7
2025-11-17,draftkings,LaMelo Ball,CHA,@TOR,AST,7.5,1.8,1.9523809523809523,0.5555555555555556,0.5121951219512195,0.5203045685279188,0.4796954314720812,0.9136708826968654,0.3933663141689465,0.6446075888543576,0.25,33.2,11.003063011169434,2.5687704464914685,0.7
2025-11-17,mgm,Paul George,PHI,LAC,AST,2.5,2.4,1.526315789473684,0.4166666666666667,0.6551724137931034,0.38873994638069703,0.6112600536193029,0.7347191943634462,0.3459792479827492,0.7633260664722709,0.25,36.0,3.9970155358314514,2.387017575947742,0.7
2025-11-17,mgm,Nikola Jovic,MIA,NYK,AST,3.5,2.3,1.5714285714285714,0.43478260869565216,0.6363636363636364,0.4059040590405904,0.5940959409594095,0.7315209834148682,0.32561692437427775,0.6824982618541968,0.25,23.6,4.572500211000443,1.737068770503422,0.7
2025-11-17,fanduel,Nikola Vucevic,CHI,@DEN,AST,3.5,2.2800000000000002,1.5813953488372094,0.43859649122807015,0.6323529411764706,0.40953986991086483,0.5904601300891351,0.7347403846513867,0.32520051474052186,0.6752080770051617,0.25,29.0,4.759349599480629,2.0078480487524537,0.7
2025-11-17,fanduel,Pascal Siakam,IND,@DET,AST,4.5,2.34,1.5555555555555556,0.42735042735042733,0.6428571428571429,0.3993154592127781,0.600684540787222,0.6883656295720044,0.2890501703592263,0.6107755731984904,0.25,34.6,5.655547451972962,2.352388787304981,0.7
2025-11-17,mgm,Bennedict Mathurin,IND,@DET,AST,1.5,2.0,1.7407407407407407,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,0.7403379036914639,0.2749913690379986,0.4806758073829278,0.25,27.75,2.692096598446369,1.849968553142661,0.7
2025-11-17,mgm,Dru Smith,MIA,NYK,AST,2.5,1.7692307692307692,1.9523809523809523,0.5652173913043478,0.5121951219512195,0.5246062992125985,0.4753937007874017,0.7836063938671127,0.25900009465451423,0.38638054299566105,0.25,16.8,3.6117985367774965,1.4173310781332913,0.7
2025-11-17,fanduel,Trendon Watford,PHI,LAC,AST,2.5,2.4,1.5319148936170213,0.4166666666666667,0.6527777777777778,0.38961038961038963,0.6103896103896104,0.6477873560630671,0.2581769664526775,0.5546896545513611,0.25,25.0,3.1485430896282196,1.7096003770325958,0.7
2025-11-17,mgm,Saddiq Bey,NOP,OKC,AST,1.5,2.0,1.7692307692307692,0.5,0.5652173913043478,0.4693877551020409,0.5306122448979592,0.7008346532846781,0.2314468981826372,0.4016693065693562,0.25,32.2,2.617649291455746,2.121571421742713,0.7
2025-11-17,mgm,Gradey Dick,TOR,CHA,AST,0.5,1.9523809523809523,1.8,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,0.7070419139247512,0.22734648245267003,0.3804151652816572,0.25,17.6,1.1408805012702943,1.1764379936415896,0.7
2025-11-17,caesars,Norman Powell,MIA,NYK,AST,2.5,2.25,1.5882352941176472,0.4444444444444444,0.6296296296296297,0.41379310344827586,0.5862068965517242,0.636065104599018,0.22227200115074214,0.43114648534779043,0.25,32.0,3.2390310764312744,2.123893124611906,0.7
2025-11-17,fanduel,Andrew Wiggins,MIA,NYK,AST,3.5,2.34,1.5555555555555556,0.42735042735042733,0.6428571428571429,0.3993154592127781,0.600684540787222,0.6167575309232406,0.21744207171046248,0.44321262236038306,0.25,34.2,4.1778142467141155,2.2823883526324993,0.7
2025-11-17,draftkings,Josh Giddey,CHI,@DEN,AST,8.5,1.72992700729927,2.04,0.5780590717299579,0.49019607843137253,0.5411245353159851,0.4588754646840148,0.7478651378561796,0.20674060254019444,0.29375209979499683,0.25,36.2,10.26160662174225,2.6379777921238787,0.7
2025-11-17,mgm,Mitchell Robinson,NYK,@MIA,AST,0.5,1.6451612903225805,2.15,0.6078431372549019,0.46511627906976744,0.5665108372290693,0.43348916277093075,0.7697379650483,0.2032271278192308,0.2663431037891388,0.25,16.6,1.3347056329250337,1.131061707147791,0.7
2025-11-17,draftkings,Cade Cunningham,DET,IND,AST,9.5,1.9345794392523366,1.8130081300813008,0.5169082125603864,0.5515695067264574,0.4837800575807955,0.5162199424192044,0.6745829410930887,0.1908028835122932,0.3050342879090594,0.25,37.4,10.728423154354095,2.714125168055911,0.7
2025-11-17,mgm,Kel'el Ware,MIA,NYK,AST,0.5,1.9090909090909092,1.8333333333333335,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,0.6761392824489225,0.186260739938801,0.2908113574024884,0.25,28.4,1.3487698718905448,1.8575494401692279,0.7
2025-11-17,fanduel,Brandon Williams,DAL,@MIN,AST,4.5,2.08,1.6944444444444444,0.4807692307692308,0.5901639344262295,0.44892552251987045,0.5510744774801295,0.6254919180253218,0.17656639550545133,0.3010231894926694,0.25,26.4,5.107672154903412,1.8993500063640534,0.7
2025-11-17,betrivers,Zion Williamson,NOP,OKC,AST,3.5,1.8695652173913042,1.8695652173913042,0.5348837209302325,0.5348837209302325,0.5,0.5,0.6693484607575096,0.16934846075750964,0.2513906005466484,0.25,32.25,4.453287150710821,2.1758844650615017,0.7
