game_date,book,player,team,opponent,market,line,over_odds,under_odds,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-26,mgm,AJ Green,MIL,@MIA,AST,1.5,-135,100,0.574468085106383,0.5,0.5346534653465347,0.4653465346534653,0.48021313866440407,-0.05444032668213061,-0.1640734252878892,0.0,30.4,1.4011432290077208,1.9923305722259415,0.7
2025-11-26,draftkings,AJ Green,MIL,@MIA,PTS,9.5,103,-131,0.49261083743842365,0.5670995670995671,0.46485420481757994,0.53514579518242,0.5366236940148332,0.07176948919725329,0.08934609885011147,0.08674378529137046,30.4,10.040180587768555,5.875915021042988,0.7
2025-11-26,draftkings,AJ Green,MIL,@MIA,REB,2.5,107,-141,0.4830917874396135,0.5850622406639004,0.4522679077448533,0.5477320922551466,0.5408830867346741,0.0886151789898208,0.11962798954077547,0.1118018593839023,30.4,2.7829150199890136,2.755878732108201,0.7
2025-11-26,mgm,Aaron Holiday,HOU,@GSW,AST,1.5,-165,125,0.6226415094339622,0.4444444444444444,0.5834970530451867,0.4165029469548134,0.5952004960857916,0.011703443040604888,-0.04407193052888014,0.0,20.12,1.8293207690119744,1.3667973897593082,0.7
2025-11-26,caesars,Aaron Holiday,HOU,@GSW,PTS,10.5,-110,-121,0.5238095238095238,0.5475113122171946,0.48893805309734506,0.5110619469026548,0.6478695058580559,0.15893145276071086,0.236841783910834,0.25,20.12,12.231121163368226,4.56068385466057,0.7
2025-11-26,mgm,Aaron Holiday,HOU,@GSW,REB,1.5,-175,130,0.6363636363636364,0.43478260869565216,0.5940959409594095,0.4059040590405904,0.41379695261636185,-0.1802989883430477,-0.34974764588857427,0.0,20.12,1.1034620183706285,1.8207480273869778,0.7
2025-11-26,fanduel,Ajay Mitchell,OKC,MIN,AST,3.5,-136,102,0.576271186440678,0.49504950495049505,0.5379072681704261,0.46209273182957394,0.6466767559788947,0.10876948780846862,0.12217437066925857,0.16615714411019172,27.4,4.215254935622215,1.9004352220005278,0.7
2025-11-26,caesars,Ajay Mitchell,OKC,MIN,PTS,16.5,-117,-114,0.5391705069124424,0.5327102803738317,0.5030135004821601,0.4969864995178399,0.5136603129325512,0.010646812450391119,-0.04731377857808883,0.0,27.4,16.696845602989196,5.747649059489642,0.7
2025-11-26,mgm,Ajay Mitchell,OKC,MIN,REB,3.5,-105,-130,0.5121951219512195,0.5652173913043478,0.4753937007874017,0.5246062992125985,0.5845804454059458,0.10918674461854411,0.14132372674494176,0.14838991308218874,27.4,4.041851359605789,2.5364544473143167,0.7
2025-11-26,mgm,Alex Caruso,OKC,MIN,AST,2.5,-155,115,0.6078431372549019,0.46511627906976744,0.5665108372290693,0.43348916277093075,0.6245018520483947,0.05799101481932545,0.027406272724778358,0.04247972272340646,14.6,2.9018612325191495,1.2663989324811866,0.7
2025-11-26,mgm,Alex Caruso,OKC,MIN,PTS,7.5,-105,-130,0.5121951219512195,0.5652173913043478,0.4753937007874017,0.5246062992125985,0.1359755546095751,-0.33941814617782656,-0.7345239171908295,0.0,14.6,4.207093304395675,2.9974197132748057,0.7
2025-11-26,mgm,Alex Caruso,OKC,MIN,REB,2.5,100,-130,0.5,0.5652173913043478,0.4693877551020409,0.5306122448979592,0.3308457350535401,-0.1385420200485008,-0.3383085298929198,0.0,14.6,1.8796170204877853,1.4177621115098318,0.7
2025-11-26,mgm,Alperen Sengun,HOU,@GSW,AST,6.5,100,-135,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,0.48913200559513514,0.02378547094166983,-0.02173598880972971,0.0,36.239999999999995,6.4324696612358085,2.478596661419125,0.7
2025-11-26,mgm,Alperen Sengun,HOU,@GSW,PTS,23.5,-105,-125,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,0.8818724767097689,0.40217704523768766,0.7217510259571678,0.25,36.239999999999995,32.7291415643692,7.7922553225203615,0.7
2025-11-26,mgm,Alperen Sengun,HOU,@GSW,REB,10.5,-118,-110,0.5412844036697247,0.5238095238095238,0.5082034454470877,0.49179655455291227,0.8774202554755888,0.36921681002850104,0.6209967431667657,0.25,36.239999999999995,14.772385790348052,3.676160173768446,0.7
2025-11-26,mgm,Amen Thompson,HOU,@GSW,AST,4.5,-160,120,0.6153846153846154,0.45454545454545453,0.5751633986928104,0.4248366013071895,0.5946990443123188,0.01953564561950838,-0.03361405299248199,0.0,37.92,5.108061332702637,2.5372933567931617,0.7
2025-11-26,mgm,Amen Thompson,HOU,@GSW,PTS,18.5,-130,-105,0.5652173913043478,0.5121951219512195,0.5246062992125985,0.4753937007874017,0.4942116020669086,-0.030394697145689875,-0.12562562711239245,0.0,37.92,18.39251259326935,7.407881597111263,0.7
2025-11-26,caesars,Amen Thompson,HOU,@GSW,REB,7.5,107,-145,0.4830917874396135,0.5918367346938775,0.4494175914885811,0.5505824085114189,0.39584660408314565,-0.05357098740543548,-0.1805975295478885,0.0,37.92,6.580588624477387,3.4811349975724997,0.7
2025-11-26,draftkings,Andrew Nembhard,IND,@TOR,AST,5.5,-148,112,0.5967741935483871,0.4716981132075472,0.5585303332383936,0.44146966676160637,0.6330333769329864,0.07450304369459282,0.06075863161743672,0.08992277479380627,32.96,6.279719071388245,2.293978713658154,0.7
