Player,Team,Opponent,Market,line_dfD,OverOdds,UnderOdds,POverImp,PUnderImp,POverFair,PUnderFair,ProjMins,ProjMean,ProjSD,POverModel
AJ Green,MIL,@TOR,AST,1.5,100,-135,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,25.2,1.6663105219602585,1.6463276807765381,0.5402323464378267
AJ Green,MIL,@TOR,PTS,9.5,100,-132,0.5,0.5689655172413793,0.4677419354838709,0.532258064516129,25.2,9.549335718154907,4.9656699044783394,0.5039635699676837
AJ Green,MIL,@TOR,REB,2.5,-155,115,0.6078431372549019,0.46511627906976744,0.5665108372290693,0.43348916277093075,25.2,3.2641533136367795,2.3004427174501365,0.6301220560101061
Adem Bona,PHI,@CHI,PTS,3.5,-119,-107,0.54337899543379,0.5169082125603864,0.512482836100362,0.487517163899638,31.2,12.22747070789337,6.051779546051485,0.9253675648035347
Adem Bona,PHI,@CHI,REB,3.5,125,-170,0.4444444444444444,0.6296296296296297,0.41379310344827586,0.5862068965517242,31.2,8.62688512802124,3.001170375253964,0.9562092148553709
Ajay Mitchell,OKC,@LAC,AST,2.5,-139,107,0.5815899581589958,0.4830917874396135,0.5462570956657111,0.45374290433428893,19.2,1.6120553970336913,1.2856755508340783,0.24489452298532222
Ajay Mitchell,OKC,@LAC,PTS,13.5,-113,-118,0.5305164319248826,0.5412844036697247,0.4949766918501849,0.5050233081498151,19.2,7.1962995529174805,3.9142704193937368,0.05365083923231462
Ajay Mitchell,OKC,@LAC,REB,2.5,-150,110,0.6,0.47619047619047616,0.5575221238938053,0.4424778761061947,19.2,2.599262237548828,1.7954129461354507,0.5220449224165257
Alex Caruso,OKC,@LAC,AST,2.5,120,-160,0.45454545454545453,0.6153846153846154,0.4248366013071895,0.5751633986928104,18.0,2.422912359237671,1.2896201232947198,0.47616723390965654
Alex Caruso,OKC,@LAC,PTS,6.5,-150,110,0.6,0.47619047619047616,0.5575221238938053,0.4424778761061947,18.0,6.7937092781066895,3.7149740978597556,0.5315079171248438
Alex Caruso,OKC,@LAC,REB,2.5,-110,-120,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,18.0,3.773781716823578,1.8232891720182194,0.7576044468182592
Anthony Black,ORL,@ATL,AST,2.5,125,-165,0.4444444444444444,0.6226415094339622,0.4165029469548134,0.5834970530451867,25.6,2.703857231140137,1.7071347108817756,0.5475266505652845
Anthony Black,ORL,@ATL,PTS,9.5,-132,100,0.5689655172413793,0.5,0.532258064516129,0.4677419354838709,25.6,10.49445266723633,5.079093107329076,0.5776140433511645
Anthony Black,ORL,@ATL,REB,2.5,-159,120,0.6138996138996139,0.45454545454545453,0.5745729303547964,0.4254270696452037,25.6,3.4117427825927735,2.3386416895023414,0.651679952737054
Ayo Dosunmu,CHI,PHI,AST,2.5,-136,102,0.576271186440678,0.49504950495049505,0.5379072681704261,0.46209273182957394,29.8,3.939175084233284,1.9976467410881975,0.7643714665374206
Ayo Dosunmu,CHI,PHI,PTS,12.5,-113,-113,0.5305164319248826,0.5305164319248826,0.5,0.5,29.8,12.367834573984146,5.829049630936122,0.4909553250638454
Ayo Dosunmu,CHI,PHI,REB,2.5,-110,-120,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,29.8,3.0832005545496943,2.678682178606789,0.5861760504349677
Bobby Portis,MIL,@TOR,AST,1.5,120,-160,0.45454545454545453,0.6153846153846154,0.4248366013071895,0.5751633986928104,26.0,2.811853840947151,1.7347711215841402,0.7752387951734195
Bobby Portis,MIL,@TOR,PTS,9.5,-105,-125,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,26.0,15.300616264343262,5.446179412253145,0.8565801145648552
Bobby Portis,MIL,@TOR,REB,6.5,110,-145,0.47619047619047616,0.5918367346938775,0.4458598726114649,0.554140127388535,26.0,8.908416390419006,2.7183063113439507,0.8121909389018807
Bradley Beal,LAC,OKC,AST,1.5,-160,120,0.6153846153846154,0.45454545454545453,0.5751633986928104,0.4248366013071895,28.8,3.9709808349609377,1.9428659144596043,0.8982819265407648
Bradley Beal,LAC,OKC,PTS,10.5,102,-136,0.49504950495049505,0.576271186440678,0.46209273182957394,0.5379072681704261,28.8,17.116608238220216,5.926939188916204,0.867866341492544
Bradley Beal,LAC,OKC,REB,1.5,-160,120,0.6153846153846154,0.45454545454545453,0.5751633986928104,0.4248366013071895,28.8,2.7264504432678223,2.585261023638046,0.6823930138710057
Brandin Podziemski,GSW,PHX,AST,3.5,115,-150,0.46511627906976744,0.6,0.43668122270742354,0.5633187772925764,30.4,3.878477358818054,2.0295970046558365,0.5739654540557328
Brandin Podziemski,GSW,PHX,PTS,13.5,-112,-113,0.5283018867924528,0.5305164319248826,0.4989542374299339,0.5010457625700661,30.4,12.982908725738525,5.951059732659943,0.46537922744206384
Brandin Podziemski,GSW,PHX,REB,4.5,-140,105,0.5833333333333334,0.4878048780487805,0.5445920303605313,0.4554079696394686,30.4,5.301837515830994,2.7941402326314235,0.6129327782958807
Brandon Ingram,TOR,MIL,AST,4.5,140,-190,0.4166666666666667,0.6551724137931034,0.38873994638069703,0.6112600536193029,36.2,7.018016612529755,2.4691875218350603,0.8460824959838729
Brandon Ingram,TOR,MIL,PTS,20.5,-118,-112,0.5412844036697247,0.5283018867924528,0.5060689431946916,0.4939310568053083,36.2,27.90956016778946,7.49274699904782,0.8386433985467578
