book,name,team,opponent,game_date,prop_type,line,pick_side,pick_edge_bp,pick_prob,odds_over,odds_under,mkt_p_over,mkt_p_under,model_p_over,pred_mean,resid_sd_used,kelly_frac
caesars,Grayson Allen,PHX,LAC,2025-11-06,pts,14.5,Under,26.0873,0.7351,-130.0,-104.0,0.5258,0.4742,0.2649,8.9741,8.7949,0.02
draftkings,Bradley Beal,LAC,PHX,2025-11-06,pts,14.5,Under,25.9262,0.7509,-117.0,-109.0,0.5083,0.4917,0.2491,8.5417,8.7949,0.02
caesars,Grayson Allen,PHX,LAC,2025-11-06,pra,22.5,Under,25.6578,0.7477,-121.0,-112.0,0.5089,0.4911,0.2523,14.5196,11.9626,0.02
hardrock,Bradley Beal,LAC,PHX,2025-11-06,ast,3.5,Under,25.6112,0.7751,-110.0,-130.0,0.481,0.519,0.2249,1.7665,2.2935,0.02
hardrock,Grayson Allen,PHX,LAC,2025-11-06,ptsreb,19.5,Under,24.5653,0.7457,-120.0,-120.0,0.5,0.5,0.2543,12.4441,10.6767,0.02
hardrock,Bradley Beal,LAC,PHX,2025-11-06,pts,13.5,Under,24.4157,0.7135,-130.0,100.0,0.5306,0.4694,0.2865,8.5417,8.7949,0.02
draftkings,Bogdan Bogdanovic,LAC,PHX,2025-11-06,3pm,1.5,Under,24.2822,0.6707,-155.0,120.0,0.5721,0.4279,0.3293,0.896,1.3673,0.02
fanduel,Bradley Beal,LAC,PHX,2025-11-06,3pm,1.5,Under,23.4145,0.6707,-152.0,114.0,0.5635,0.4365,0.3293,0.896,1.3673,0.02
draftkings,Devin Booker,PHX,LAC,2025-11-06,3pm,2.5,Under,23.1163,0.8152,126.0,-164.0,0.416,0.584,0.1848,1.2734,1.3673,0.02
hardrock,Collin Gillespie,PHX,LAC,2025-11-06,3pm,2.5,Under,21.6306,0.8152,130.0,-185.0,0.4011,0.5989,0.1848,1.2734,1.3673,0.02
caesars,Grayson Allen,PHX,LAC,2025-11-06,ptsreb,18.5,Under,21.0723,0.7147,-114.0,-118.0,0.496,0.504,0.2853,12.4441,10.6767,0.02
hardrock,Mark Williams,PHX,LAC,2025-11-06,pts,13.5,Under,20.6708,0.6966,-120.0,-110.0,0.5101,0.4899,0.3034,8.9741,8.7949,0.02
hardrock,Bradley Beal,LAC,PHX,2025-11-06,pra,19.5,Under,19.0645,0.6906,-115.0,-115.0,0.5,0.5,0.3094,13.5465,11.9626,0.02
