name,playerID,firstName,lastName,team,opponent,gameID,asof_date,game_date,book,prop_type,line,odds_over,odds_under,game_id,PTS_roll5_mean,PTS_roll5_std,REB_roll5_mean,REB_roll5_std,AST_roll5_mean,AST_roll5_std,STL_roll5_mean,STL_roll5_std,BLK_roll5_mean,BLK_roll5_std,TOV_roll5_mean,TOV_roll5_std,MIN_roll5_mean,MIN_roll5_std,FGM_roll5_mean,FGM_roll5_std,FGA_roll5_mean,FGA_roll5_std,FG_PCT_roll5_mean,FG_PCT_roll5_std,FG3M_roll5_mean,FG3M_roll5_std,FG3A_roll5_mean,FG3A_roll5_std,FTM_roll5_mean,FTM_roll5_std,FTA_roll5_mean,FTA_roll5_std,FT_PCT_roll5_mean,FT_PCT_roll5_std,PLUS_MINUS_roll5_mean,PLUS_MINUS_roll5_std,PTS_roll10_mean,PTS_roll10_std,REB_roll10_mean,REB_roll10_std,AST_roll10_mean,AST_roll10_std,STL_roll10_mean,STL_roll10_std,BLK_roll10_mean,BLK_roll10_std,TOV_roll10_mean,TOV_roll10_std,MIN_roll10_mean,MIN_roll10_std,FGM_roll10_mean,FGM_roll10_std,FGA_roll10_mean,FGA_roll10_std,FG_PCT_roll10_mean,FG_PCT_roll10_std,FG3M_roll10_mean,FG3M_roll10_std,FG3A_roll10_mean,FG3A_roll10_std,FTM_roll10_mean,FTM_roll10_std,FTA_roll10_mean,FTA_roll10_std,FT_PCT_roll10_mean,FT_PCT_roll10_std,PLUS_MINUS_roll10_mean,PLUS_MINUS_roll10_std,PTS_trend10,REB_trend10,AST_trend10,STL_trend10,BLK_trend10,TOV_trend10,MIN_trend10,FGM_trend10,FGA_trend10,FG_PCT_trend10,FG3M_trend10,FG3A_trend10,FTM_trend10,FTA_trend10,FT_PCT_trend10,PLUS_MINUS_trend10,PTS,REB,AST,FG3M,TOV,actual
Royce O'Neale,3977,Royce,O'Neale,PHX,LAC,2914974,2025-11-06,2025-11-06,draftkings,pts,9.5,-101.0,-126.0,22500182.0,13.4,4.159326868617084,6.6,3.781534080237808,4.2,1.9235384061671346,2.0,1.8708286933869707,0.0,0.0,2.2,1.3038404810405297,34.4,7.021395872616782,4.8,1.3038404810405297,10.6,4.219004621945797,0.479,0.12541730343138463,3.8,1.6431676725154984,8.4,3.0495901363953815,0.0,0.0,0.0,0.0,,,4.4,15.517731793016656,12.125,3.8706773124535787,5.75,3.105295017040594,3.25,1.9820624179302297,1.625,1.5979898086569353,0.125,0.3535533905932738,1.875,1.1259916264596033,32.125,6.174544517614234,4.25,1.3887301496588274,9.75,3.654742515847438,0.449,0.11382944635349351,3.375,1.407885953173359,8.125,2.5877458475338284,0.25,0.4629100498862757,0.5,0.9258200997725514,,,-2.5,17.037773161000654,-0.10714285714285786,0.119047619047619,0.23809523809523797,0.011904761904761843,-0.059523809523809576,0.0833333333333332,0.08333333333333194,0.02380952380952353,-0.2142857142857147,0.015333333333333324,-0.03571428571428565,-0.3214285714285719,-0.11904761904761904,-0.23809523809523808,,2.0000000000000018,17.0,4.0,2.0,5.0,1.0,17.0
Kris Dunn,3854,Kris,Dunn,LAC,PHX,2914974,2025-11-06,2025-11-06,draftkings,pts,8.5,-112.0,-114.0,22500182.0,7.2,2.1679483388678804,2.8,1.9235384061671346,1.6,1.8165902124584947,1.6,1.51657508881031,0.2,0.4472135954999579,1.6,0.8944271909999157,24.8,3.271085446759225,3.0,1.0000000000000002,5.6,0.8944271909999162,0.5334,0.1397222244311906,1.0,0.7071067811865475,2.2,0.8366600265340756,0.2,0.4472135954999581,0.4,0.894427190999916,,,-6.8,11.541230437002808,7.142857142857143,4.4131837120372035,3.0,1.8257418583505538,1.4285714285714286,1.5118578920369088,1.7142857142857142,1.3801311186847083,0.14285714285714285,0.37796447300922725,1.4285714285714286,0.9759000729485332,23.857142857142858,3.132015933791494,2.857142857142857,1.6761634196950517,5.571428571428571,1.618347187425374,0.47028571428571425,0.23913435155836163,1.0,0.816496580927726,2.2857142857142856,1.1126972805283737,0.42857142857142855,0.7867957924694432,0.5714285714285714,0.9759000729485333,,,-5.142857142857143,14.735767952260145,0.25000000000000033,-1.9148904736410973e-17,0.3928571428571428,0.2142857142857142,0.10714285714285714,0.1785714285714286,1.0357142857142856,0.1071428571428574,-0.03571428571428596,0.050607142857142864,0.07142857142857148,-1.0158347222462225e-16,-0.0357142857142857,0.0714285714285714,,-2.1428571428571432,9.0,2.0,6.0,1.0,2.0,9.0
Ryan Dunn,6276,Ryan,Dunn,PHX,LAC,2914974,2025-11-06,2025-11-06,draftkings,pts,8.5,-127.0,100.0,22500182.0,11.2,3.8987177379235853,5.0,3.3166247903554,1.6,0.8944271909999159,1.6,1.1401754250991378,0.6,0.8944271909999159,1.2,1.0954451150103324,26.8,5.761944116355173,4.4,1.1401754250991378,9.0,3.3166247903554,0.5388,0.19709566205271997,1.6,0.8944271909999159,4.8,2.16794833886788,0.8,1.0954451150103321,0.8,1.0954451150103324,,,2.2,21.5916650585359,10.0,3.5050983275386565,5.875,3.090885217631258,1.625,1.0606601717798212,1.125,1.1259916264596033,1.0,1.1952286093343936,0.875,0.991031208965115,24.875,5.566160513059505,4.125,0.9910312089651148,8.375,2.8753881725529067,0.5297499999999999,0.1553656976298179,1.25,0.8864052604279183,4.0,2.138089935299395,0.5,0.9258200997725514,0.75,1.0350983390135313,0.6666666666666666,0.5773502691896258,-0.375,16.84329031310179,0.904761904761905,-0.5119047619047619,-0.08333333333333325,0.32142857142857145,-0.1428571428571428,0.15476190476190468,1.5119047619047614,0.22619047619047597,0.6309523809523812,-0.006928571428571436,0.2619047619047619,0.5952380952380951,0.1904761904761905,0.02380952380952389,0.5000000000000001,3.535714285714285,10.0,5.0,3.0,1.0,2.0,10.0
Brook Lopez,2918,Brook,Lopez,LAC,PHX,2914974,2025-11-06,2025-11-06,draftkings,pts,6.5,-126.0,-102.0,22500182.0,5.6,3.714835124201342,2.2,0.8366600265340756,0.2,0.4472135954999579,0.4,0.5477225575051662,0.8,1.3038404810405297,0.6,0.8944271909999159,15.4,2.3021728866442674,2.0,1.2247448713915892,6.0,1.0,0.32480000000000003,0.16450744663996214,1.2,1.6431676725154982,4.2,1.0954451150103321,0.4,0.5477225575051661,0.8,1.0954451150103321,,,-5.8,13.553597308463905,7.0,4.654746681256314,3.0,1.9148542155126764,0.2857142857142857,0.4879500364742666,0.42857142857142855,0.5345224838248488,0.8571428571428571,1.2149857925879117,0.8571428571428571,0.8997354108424372,16.0,2.1602468994692865,2.4285714285714284,1.5118578920369088,6.714285714285714,2.4976179127511156,0.3487142857142857,0.1404774172666367,1.8571428571428572,1.9518001458970664,5.142857142857143,2.734262327610589,0.2857142857142857,0.4879500364742666,0.5714285714285714,0.9759000729485332,,,-3.4285714285714284,12.765280292746453,-0.46428571428571425,-0.5357142857142859,-0.07142857142857141,-7.201824299201941e-18,-0.21428571428571425,-0.035714285714285796,-0.28571428571428514,-0.14285714285714285,-0.3928571428571429,0.0012142857142857081,-0.21428571428571452,-0.6428571428571428,0.03571428571428572,0.07142857142857144,,-2.928571428571428,6.0,3.0,0.0,0.0,2.0,6.0
Chris Paul,2584,Chris,Paul,LAC,PHX,2914974,2025-11-06,2025-11-06,draftkings,pts,6.5,-115.0,-111.0,22500182.0,2.4,2.5099800796022267,1.6,1.3416407864998738,3.0,1.0,0.8,1.3038404810405297,0.0,0.0,0.8,0.8366600265340756,11.8,2.167948338867881,0.8,0.8366600265340756,3.2,1.6431676725154984,0.19,0.20736441353327723,0.8,0.8366600265340756,2.4,1.51657508881031,0.0,0.0,0.0,0.0,,,-7.4,11.28273016605467,2.2857142857142856,2.3603873774083297,1.7142857142857142,1.2535663410560176,3.857142857142857,2.0354009783964297,1.1428571428571428,1.3451854182690985,0.0,0.0,1.0,0.816496580927726,13.428571428571429,3.59894164336975,0.7142857142857143,0.7559289460184544,3.142857142857143,1.7728105208558367,0.16428571428571428,0.1841970994032518,0.7142857142857143,0.7559289460184544,2.4285714285714284,1.5118578920369088,0.14285714285714285,0.37796447300922725,0.14285714285714285,0.37796447300922725,,,-5.428571428571429,10.309496315810694,-0.32142857142857145,0.07142857142857136,-0.3214285714285716,-0.24999999999999994,0.0,4.8870404991229254e-17,-0.9285714285714274,-0.07142857142857141,-0.14285714285714296,-0.016071428571428577,-0.07142857142857141,-0.1785714285714286,-0.10714285714285714,-0.10714285714285714,,-1.6428571428571428,2.0,2.0,2.0,0.0,0.0,2.0
Ivica Zubac,3888,Ivica,Zubac,LAC,PHX,2914974,2025-11-06,2025-11-06,draftkings,reb,11.5,-103.0,-126.0,22500182.0,13.0,5.431390245600108,11.2,4.32434966208793,2.0,1.0,0.6,0.8944271909999159,1.4,1.140175425099138,1.8,1.3038404810405297,30.4,5.029910535983716,5.6,2.4083189157584592,10.0,2.9154759474226504,0.5518,0.1400703394727092,0.0,0.0,0.0,0.0,1.8,1.6431676725154984,2.2,1.4832396974191326,0.75,0.2886751345948128,-0.6,9.316651759081692,13.142857142857142,5.459809869356607,9.714285714285714,4.386125310350268,2.4285714285714284,1.1338934190276817,0.42857142857142855,0.7867957924694432,1.1428571428571428,1.0690449676496976,2.0,1.1547005383792515,29.142857142857142,4.6700667885506535,5.714285714285714,2.6276913640612176,9.714285714285714,3.3523268393901033,0.5787142857142857,0.1260868936959935,0.0,0.0,0.0,0.0,1.7142857142857142,1.3801311186847085,2.142857142857143,1.3451854182690985,0.7778333333333333,0.2508947322417644,-1.2857142857142858,12.9320568835006,-1.4642857142857144,1.0357142857142856,-0.25,0.2857142857142857,5.4029454633635355e-18,-0.03571428571428569,0.4285714285714296,-0.7142857142857146,-0.5000000000000008,-0.04257142857142856,0.0,0.0,-0.035714285714285775,0.07142857142857145,-0.08574285714285719,1.2857142857142863,23.0,11.0,2.0,0.0,2.0,11.0
Mark Williams,5647,Mark,Williams,PHX,LAC,2914974,2025-11-06,2025-11-06,draftkings,reb,9.5,-107.0,-121.0,22500182.0,15.4,7.503332592921628,10.6,3.7815340802378077,1.4,1.6733200530681511,1.6,1.51657508881031,1.0,1.0,0.8,1.0954451150103321,27.2,2.489979919597745,6.0,3.0,9.8,4.024922359499621,0.5986,0.10528437680871744,0.0,0.0,0.0,0.0,3.4,2.3021728866442674,4.8,2.588435821108957,0.7156,0.2783285827937907,9.4,9.343446901438462,12.142857142857142,8.355209381548963,10.0,3.559026084010437,1.0,1.5275252316519468,1.1428571428571428,1.4638501094227998,1.0,1.0,0.7142857142857143,0.9511897312113419,24.857142857142858,5.3363086938623105,4.857142857142857,3.184785258515422,8.428571428571429,4.035556254807296,0.5418571428571429,0.17353426997899538,0.0,0.0,0.0,0.0,2.4285714285714284,2.5071326821120348,3.4285714285714284,3.154739442867026,0.7156,0.2783285827937907,6.285714285714286,13.313079855469029,0.8571428571428573,0.4642857142857136,0.5714285714285715,0.10714285714285719,-5.105355005128403e-17,0.10714285714285714,0.8928571428571449,0.25,0.46428571428571414,0.012750000000000022,0.0,0.0,0.3571428571428571,0.6428571428571429,-0.07060000000000015,1.1428571428571423,13.0,10.0,0.0,0.0,0.0,10.0
John Collins,4159,John,Collins,LAC,PHX,2914974,2025-11-06,2025-11-06,draftkings,reb,6.5,-124.0,-105.0,22500182.0,12.8,4.764451699828638,4.6,1.8165902124584947,0.6,0.5477225575051661,0.8,0.8366600265340756,0.2,0.4472135954999581,2.6,1.816590212458495,23.6,2.792848008753788,5.0,1.8708286933869707,8.6,1.9493588689617931,0.5776,0.20374935582720252,1.0,0.7071067811865475,2.6,1.5165750888103102,1.8,2.3874672772626644,2.2,2.16794833886788,0.7,0.44721359549995787,-6.8,11.734564329364767,12.571428571428571,4.07664661444276,5.142857142857143,1.7728105208558365,0.8571428571428571,0.6900655593423543,1.0,0.816496580927726,0.42857142857142855,0.7867957924694432,2.4285714285714284,1.511857892036909,24.285714285714285,2.8115408417381924,4.857142857142857,1.772810520855837,8.571428571428571,2.5727509827124,0.5697142857142857,0.16938291362640867,0.8571428571428571,0.6900655593423541,2.2857142857142856,1.3801311186847083,2.0,2.160246899469287,2.5714285714285716,2.0701966780270626,0.6857142857142857,0.37606990231680526,-1.5714285714285714,14.683972474063264,0.39285714285714274,-0.6428571428571428,-0.14285714285714288,-0.21428571428571427,-0.21428571428571433,0.14285714285714282,-0.49999999999999906,1.6179500518269156e-16,0.07142857142857122,-0.006785714285714285,0.14285714285714282,0.3571428571428572,0.25000000000000017,0.14285714285714282,-0.003571428571428565,-4.464285714285714,13.0,4.0,1.0,2.0,4.0,4.0
Ryan Dunn,6276,Ryan,Dunn,PHX,LAC,2914974,2025-11-06,2025-11-06,draftkings,reb,4.5,-141.0,109.0,22500182.0,11.2,3.8987177379235853,5.0,3.3166247903554,1.6,0.8944271909999159,1.6,1.1401754250991378,0.6,0.8944271909999159,1.2,1.0954451150103324,26.8,5.761944116355173,4.4,1.1401754250991378,9.0,3.3166247903554,0.5388,0.19709566205271997,1.6,0.8944271909999159,4.8,2.16794833886788,0.8,1.0954451150103321,0.8,1.0954451150103324,,,2.2,21.5916650585359,10.0,3.5050983275386565,5.875,3.090885217631258,1.625,1.0606601717798212,1.125,1.1259916264596033,1.0,1.1952286093343936,0.875,0.991031208965115,24.875,5.566160513059505,4.125,0.9910312089651148,8.375,2.8753881725529067,0.5297499999999999,0.1553656976298179,1.25,0.8864052604279183,4.0,2.138089935299395,0.5,0.9258200997725514,0.75,1.0350983390135313,0.6666666666666666,0.5773502691896258,-0.375,16.84329031310179,0.904761904761905,-0.5119047619047619,-0.08333333333333325,0.32142857142857145,-0.1428571428571428,0.15476190476190468,1.5119047619047614,0.22619047619047597,0.6309523809523812,-0.006928571428571436,0.2619047619047619,0.5952380952380951,0.1904761904761905,0.02380952380952389,0.5000000000000001,3.535714285714285,10.0,5.0,3.0,1.0,2.0,5.0
Royce O'Neale,3977,Royce,O'Neale,PHX,LAC,2914974,2025-11-06,2025-11-06,draftkings,reb,4.5,-139.0,107.0,22500182.0,13.4,4.159326868617084,6.6,3.781534080237808,4.2,1.9235384061671346,2.0,1.8708286933869707,0.0,0.0,2.2,1.3038404810405297,34.4,7.021395872616782,4.8,1.3038404810405297,10.6,4.219004621945797,0.479,0.12541730343138463,3.8,1.6431676725154984,8.4,3.0495901363953815,0.0,0.0,0.0,0.0,,,4.4,15.517731793016656,12.125,3.8706773124535787,5.75,3.105295017040594,3.25,1.9820624179302297,1.625,1.5979898086569353,0.125,0.3535533905932738,1.875,1.1259916264596033,32.125,6.174544517614234,4.25,1.3887301496588274,9.75,3.654742515847438,0.449,0.11382944635349351,3.375,1.407885953173359,8.125,2.5877458475338284,0.25,0.4629100498862757,0.5,0.9258200997725514,,,-2.5,17.037773161000654,-0.10714285714285786,0.119047619047619,0.23809523809523797,0.011904761904761843,-0.059523809523809576,0.0833333333333332,0.08333333333333194,0.02380952380952353,-0.2142857142857147,0.015333333333333324,-0.03571428571428565,-0.3214285714285719,-0.11904761904761904,-0.23809523809523808,,2.0000000000000018,17.0,4.0,2.0,5.0,1.0,4.0
