Player,POverModel,OverDecimal,Team,Opponent,Market,line_dfD,ProjMean,ProjSD,ProjMins,POverImp,POverFair,p_over_price,edge_over,EV_over_1u
Nikola Jovic,0.981643781966781,2.02,MIA,@DEN,PTS,9.5,22.88754496574402,6.40875082810069,29.6,0.495049504950495,0.4620927318295739,0.49504950495049505,0.486594277016286,0.9829204395728978
Kentavious Caldwell-Pope,0.9118514235376236,2.25,MEM,HOU,REB,2.5,6.014941161870956,2.5993387226626425,27.4,0.4444444444444444,0.4122310305775764,0.4444444444444444,0.4674069790931792,1.051665702959653
Kentavious Caldwell-Pope,0.9897014022083336,1.900900900900901,MEM,HOU,PTS,8.5,22.85234122276306,6.198945201725719,27.4,0.5260663507109005,0.4958445875753168,0.5260663507109005,0.4636350514974331,0.8813242870807063
Kel'el Ware,0.9053940685372736,2.18,MIA,@DEN,REB,5.5,9.233449816703796,2.843635806130731,28.0,0.4587155963302752,0.4282584157758449,0.4587155963302752,0.44667847220699836,0.9737590694112565
Nikola Jokic,0.9417702763356992,1.9803921568627447,DEN,MIA,PTS,26.5,39.58212685585022,8.333576292732053,38.0,0.504950495049505,0.4718423169750604,0.5049504950495051,0.43681978128619414,0.8650744688216785
Bam Adebayo,0.8834244970588649,2.14,MIA,@DEN,AST,3.5,6.3224523782730095,2.3672707346409565,34.8,0.4672897196261682,0.4384883598069947,0.4672897196261682,0.4161347774326967,0.8905284237059712
Andrew Wiggins,0.8768199904660716,2.15,MIA,@DEN,AST,2.5,4.914358377456665,2.082715227655347,30.6,0.4651162790697674,0.4373408272591551,0.46511627906976744,0.4117037113963042,0.8851629795020539
CJ McCollum,0.9378400510230628,1.847457627118644,WAS,@BOS,PTS,14.5,24.4715179681778,6.488108241644367,29.2,0.5412844036697247,0.510397604391948,0.5412844036697247,0.39655564735333804,0.7326197552798956
Kentavious Caldwell-Pope,0.9079440201027136,1.9345794392523368,MEM,HOU,AST,2.5,5.05990699827671,1.9273501765077288,27.4,0.5169082125603864,0.481981981981982,0.5169082125603864,0.39103580754232714,0.75648983328282
CJ McCollum,0.7852516972037795,2.35,WAS,@BOS,AST,3.5,5.094361048936844,2.018042232427121,29.2,0.425531914893617,0.4002320185614849,0.425531914893617,0.3597197823101625,0.8453414884288819
Josh Hart,0.8168635627073335,2.16,NYK,MIN,AST,3.5,5.752809226512909,2.4934886282202946,37.4,0.4629629629629629,0.4329742261011864,0.4629629629629629,0.3539005997443706,0.7644252954478405
Bam Adebayo,0.8328326184666024,2.02,MIA,@DEN,PTS,20.5,27.54451432228088,7.296843167960321,34.8,0.495049504950495,0.4620927318295739,0.49504950495049505,0.33778311351610735,0.6823218893025369
Shaedon Sharpe,0.7653278138666741,2.3,POR,OKC,AST,2.5,4.223500302433968,2.3820182719894776,36.2,0.4347826086956521,0.4054054054054054,0.4347826086956522,0.3305452051710219,0.7602539718933504
Josh Hart,0.8147166601689058,1.9615384615384617,NYK,MIN,REB,6.5,9.6240249812603,3.4889231097496767,37.4,0.5098039215686274,0.4759152215799614,0.5098039215686274,0.30491273860027834,0.5980980641774691
Kel'el Ware,0.793884411159017,2.04,MIA,@DEN,PTS,8.5,13.077369570732117,5.582337981079635,28.0,0.4901960784313725,0.4581151832460733,0.49019607843137253,0.30368833272764445,0.6195241987643947
Caris LeVert,0.8216934805617166,1.925925925925926,DET,UTA,PTS,10.5,15.354105520248412,5.265681253621311,24.4,0.5192307692307693,0.485816177662506,0.5192307692307692,0.3024627113309475,0.582520777378121
Derrick White,0.8956715892893582,1.6711409395973154,BOS,WAS,AST,4.5,7.47525767982006,2.3664477897553824,33.8,0.5983935742971888,0.5626591727408448,0.5983935742971888,0.29727801499216944,0.49679346129563884
Jonas Valanciunas,0.806724353202495,1.9523809523809523,DEN,MIA,PTS,7.5,11.711739349365232,4.864066450009006,11.2,0.5121951219512195,0.476232917409388,0.5121951219512195,0.2945292312512755,0.575033261014395
