Player,Market,OverDecimal,POverModel,Team,Opponent,Line,ProjMean,ProjSD,ProjMins,POverImp,POverFair,p_over_price,edge_over,EV_over_1u,label
Jusuf Nurkic,PTS,2.0700000000000003,0.9830633408030672,UTA,HOU,9.5,22.53526886701584,6.144142777568908,26.6,0.4830917874396135,0.4797806716929403,0.48309178743961345,0.4999715533634538,1.0349411154623493,Jusuf Nurkic o9.5
Kristaps Porzingis,REB,2.21,0.9391454679989704,ATL,@DET,5.5,10.05948048233986,2.9460865079603527,28.2,0.4524886877828054,0.4225670139672914,0.45248868778280543,0.48665678021616493,1.0755114842777245,Kristaps Porzingis o5.5
Alperen Sengun,PTS,1.9523809523809523,0.9867375457147596,HOU,@UTA,21.5,39.87623783111572,8.283408791582087,36.72,0.5121951219512195,0.4753937007874017,0.5121951219512195,0.47454242376354006,0.9264875892526258,Alperen Sengun o21.5
Egor Demin,REB,1.9523809523809523,0.9811121815176932,BKN,CHA,4.5,10.467247009277344,2.872623961255405,25.6,0.5121951219512195,0.4796954314720812,0.5121951219512195,0.46891705956647367,0.9155047353440676,Egor Demin o4.5
Egor Demin,PTS,1.9615384615384617,0.9683485522031045,BKN,CHA,11.5,22.83843078613281,6.105587697575681,25.6,0.5098039215686274,0.4742268041237114,0.5098039215686274,0.45854463063447704,0.8994529293214742,Egor Demin o11.5
Steven Adams,REB,2.04,0.9219473730910964,HOU,@UTA,7.5,11.724702999591829,2.978723821795881,22.76,0.4901960784313725,0.4581151832460733,0.49019607843137253,0.4317512946597239,0.8807726411058368,Steven Adams o7.5
Kristaps Porzingis,PTS,1.8771929824561404,0.9347058973225983,ATL,@DET,16.5,26.502896869182585,6.616607174674649,28.2,0.5327102803738317,0.4969864995178399,0.5327102803738317,0.4019956169487666,0.7546233511143513,Kristaps Porzingis o16.5
Bruce Brown,AST,2.3,0.8352817283777723,DEN,DAL,2.5,4.2051484942436215,1.7484229405000475,24.4,0.4347826086956521,0.4054054054054054,0.4347826086956522,0.40049911968212004,0.921147975268876,Bruce Brown o2.5
Alperen Sengun,REB,2.05,0.8790893321497099,HOU,@UTA,9.5,13.783899228572846,3.6600555954664,36.72,0.4878048780487805,0.4518211157215306,0.48780487804878053,0.3912844541009293,0.8021331309069051,Alperen Sengun o9.5
Moussa Diabate,AST,1.7142857142857144,0.956275829208906,CHA,@BKN,0.5,3.1026768803596494,1.5229113160977394,21.4,0.5833333333333334,0.5445920303605313,0.5833333333333333,0.3729424958755727,0.6393299929295532,Moussa Diabate o0.5
Jonas Valanciunas,PTS,1.9174311926605505,0.8859224133248162,DEN,DAL,8.5,14.751476240158082,5.187410349589204,13.8,0.5215311004784688,0.4869204764971024,0.5215311004784688,0.3643913128463474,0.6986952695861156,Jonas Valanciunas o8.5
Nikola Jokic,PTS,1.9803921568627447,0.8627837922596964,DEN,DAL,30.5,39.45550489425659,8.194167924832739,36.0,0.504950495049505,0.4718423169750604,0.5049504950495051,0.3578332972101913,0.7086502552593984,Nikola Jokic o30.5
Jonas Valanciunas,AST,2.4,0.7671211680617136,DEN,DAL,1.5,2.3367579191923142,1.1471882796784123,13.8,0.4166666666666667,0.388739946380697,0.4166666666666667,0.3504545013950469,0.8410908033481126,Jonas Valanciunas o1.5
Alperen Sengun,AST,2.09,0.8283401776198183,HOU,@UTA,6.5,8.969147247076034,2.605612358775273,36.72,0.4784688995215311,0.4470395036949183,0.47846889952153115,0.3498712780982871,0.73123097122542,Alperen Sengun o6.5
Pelle Larsson,AST,1.6896551724137931,0.9261348072477396,MIA,LAC,2.5,5.316525176167488,1.9456584339403191,27.0,0.5918367346938775,0.554140127388535,0.5918367346938775,0.334298072553862,0.5648484674185945,Pelle Larsson o2.5
Austin Reaves,PTS,1.9523809523809523,0.8449641899129532,LAL,PHX,23.5,31.446534037590027,7.828544070420671,37.0,0.5121951219512195,0.4753937007874017,0.5121951219512195,0.33276906796173367,0.6496919898300514,Austin Reaves o23.5
Nikola Vucevic,PTS,2.02,0.8257402494766029,CHI,@ORL,16.5,22.397187042236325,6.290568760678218,28.4,0.495049504950495,0.4669102720259846,0.49504950495049505,0.3306907445261078,0.6679953039427378,Nikola Vucevic o16.5
