Player,POverModel,OverDecimal,Team,Opponent,Market,line_dfD,ProjMean,ProjSD,ProjMins,POverImp,POverFair,p_over_price,edge_over,EV_over_1u
Kristaps Porzingis,0.9784297952374648,2.15,ATL,ORL,AST,2.5,6.863420605659485,2.1576012296736944,30.0,0.4651162790697674,0.4334891627709307,0.46511627906976744,0.5133135161676974,1.1036240597605491
Adem Bona,0.9562092148553708,2.25,PHI,@CHI,REB,3.5,8.62688512802124,3.001170375253964,31.2,0.4444444444444444,0.4137931034482758,0.4444444444444444,0.5117647704109264,1.1514707334245844
Nikola Vucevic,0.9668274350548208,2.08,CHI,PHI,AST,3.5,7.609919375181199,2.238414906528596,30.8,0.4807692307692308,0.4518072289156626,0.4807692307692307,0.4860582042855901,1.0110010649140273
Kristaps Porzingis,0.9774117987259388,1.9523809523809523,ATL,ORL,PTS,18.5,33.04973244667053,7.263940334901393,30.0,0.5121951219512195,0.4796954314720812,0.5121951219512195,0.46521667677471923,0.908280178464928
Moussa Diabate,0.9635309275160524,2.0,CHA,@NOP,AST,0.5,2.8290343284606934,1.2988018819916631,17.0,0.5,0.4653465346534653,0.5,0.4635309275160524,0.9270618550321048
Brandon Ingram,0.8460824959838729,2.4,TOR,MIL,AST,4.5,7.018016612529755,2.4691875218350603,36.2,0.4166666666666667,0.388739946380697,0.4166666666666667,0.4294158293172062,1.0305979903612947
Desmond Bane,0.9410032769520482,1.9090909090909087,ORL,@ATL,PTS,16.5,27.89981698989868,7.292375433467624,34.6,0.5238095238095238,0.4917965545529122,0.523809523809524,0.41719375314252427,0.7964608014539099
Desmond Bane,0.957778498868562,1.8130081300813008,ORL,@ATL,AST,3.5,7.666268381476403,2.414571691708065,34.6,0.5515695067264574,0.5185070943861814,0.5515695067264574,0.4062089921421046,0.7364602052657669
Nikola Vucevic,0.9287876295240024,1.9090909090909087,CHI,PHI,PTS,18.5,28.70138988494873,6.954761020090692,30.8,0.5238095238095238,0.4917965545529122,0.523809523809524,0.40497810571447845,0.7731400200003679
Mark Williams,0.8844647448993344,2.05,PHX,@GSW,REB,9.5,13.472808164358138,3.317291971889192,31.4,0.4878048780487805,0.4518211157215306,0.48780487804878053,0.3966598668505538,0.8131527270436353
