Player,Market,OverDecimal,POverModel,Team,Opponent,line_dfD,ProjMean,ProjSD,ProjMins,POverImp,POverFair,p_over_price,edge_over,EV_over_1u,label,_color
Domantas Sabonis,AST,1.9174311926605505,0.7678359835483771,SAC,GSW,4.5,6.278989613056183,2.4311813261435264,36.0,0.5215311004784688,0.4897419063641212,0.5215311004784688,0.24630488306990828,0.47227266570285154,Domantas Sabonis o4.5,C2
Deni Avdija,REB,1.78125,0.8058088729754702,POR,OKC,6.5,9.439032876491549,3.4073575934096296,36.4,0.5614035087719298,0.5276888998277135,0.5614035087719298,0.24440536420354042,0.4353470549875563,Deni Avdija o6.5,C1
Shaedon Sharpe,REB,1.7751937984496124,0.807152397158553,POR,OKC,3.5,6.357824456691742,3.2945100109732026,36.2,0.5633187772925764,0.523767082590612,0.5633187772925764,0.24383361986597663,0.43285192983960197,Shaedon Sharpe o3.5,C1
Christian Braun,PTS,1.8547008547008548,0.7818849861071757,DEN,MIA,12.5,18.241102635860443,7.37385813863286,38.0,0.5391705069124424,0.5083149711054754,0.5391705069124424,0.24271447919473332,0.45016275201074474,Christian Braun o12.5,C0
Zach LaVine,AST,2.42,0.6543263811340134,SAC,GSW,3.5,4.491307973861694,2.49682493987645,38.0,0.4132231404958678,0.3859166842884331,0.4132231404958678,0.24110324063814564,0.5834698423443124,Zach LaVine o3.5,C2
Trendon Watford,PTS,1.925925925925926,0.7568272790451143,PHI,@CLE,8.5,12.020263481140136,5.056882340332055,24.8,0.5192307692307693,0.485816177662506,0.5192307692307692,0.2375965098143451,0.45759327816096085,Trendon Watford o8.5,C0
Jalen Duren,AST,1.78125,0.7938952927825937,DET,UTA,2.5,4.202198043465614,2.0758215523178403,31.0,0.5614035087719298,0.5240847784200385,0.5614035087719298,0.23249178401066395,0.4141259902689951,Jalen Duren o2.5,C2
Naji Marshall,PTS,1.8928571428571428,0.758269577221493,DAL,NOP,9.5,14.06420874595642,6.513346441653302,33.6,0.5283018867924528,0.4939310568053083,0.5283018867924528,0.2299676904290402,0.43529598545496884,Naji Marshall o9.5,C0
Bam Adebayo,REB,1.819672131147541,0.7786019912160191,MIA,@DEN,8.5,11.081798779964446,3.363993669124463,34.8,0.5495495495495496,0.5141838223374939,0.5495495495495495,0.22905244166646965,0.4168003446717725,Bam Adebayo o8.5,C1
Donovan Mitchell,AST,1.8928571428571428,0.7554913926489706,CLE,PHI,4.5,6.117382609844207,2.337687815611384,34.4,0.5283018867924528,0.4959002951787471,0.5283018867924528,0.22718950585651776,0.4300372789426943,Donovan Mitchell o4.5,C2
Saddiq Bey,REB,2.02,0.7198724328228743,NOP,@DAL,4.5,6.400555679202079,3.2629661004271355,35.8,0.495049504950495,0.4620927318295739,0.49504950495049505,0.22482292787237923,0.4541423143022061,Saddiq Bey o4.5,C1
Christian Braun,REB,1.7352941176470589,0.7970682893423975,DEN,MIA,3.5,6.361878454685211,3.443088689524342,38.0,0.576271186440678,0.5379072681704261,0.576271186440678,0.2207971029017195,0.38314791385886626,Christian Braun o3.5,C1
Harrison Barnes,PTS,2.0,0.7113948161055164,SAS,@LAL,10.5,13.714277267456056,5.765890859972257,29.0,0.5,0.4677419354838709,0.5,0.21139481610551636,0.4227896322110327,Harrison Barnes o10.5,C0
Pelle Larsson,PTS,2.0,0.7027529612545652,MIA,@DEN,7.5,10.619980144500731,5.8609350122588175,30.4,0.5,0.4645669291338583,0.5,0.2027529612545652,0.4055059225091304,Pelle Larsson o7.5,C0
Julian Champagnie,PTS,1.8771929824561404,0.7342541390957293,SAS,@LAL,8.5,11.723085021972658,5.150915612480088,25.6,0.5327102803738317,0.5,0.5327102803738317,0.20154385872189762,0.37833671724987794,Julian Champagnie o8.5,C0
Bruce Brown,REB,2.0,0.7013627435707617,DEN,MIA,3.5,4.901444721221924,2.65262388121948,28.8,0.5,0.4677419354838709,0.5,0.20136274357076167,0.40272548714152334,Bruce Brown o3.5,C1
Shaedon Sharpe,PTS,1.819672131147541,0.7503717702016162,POR,OKC,18.5,23.420718705654146,7.28283132076497,36.2,0.5495495495495496,0.5141838223374939,0.5495495495495495,0.20082222065206667,0.36543059823572777,Shaedon Sharpe o18.5,C0
Domantas Sabonis,REB,2.04,0.6826830158498253,SAC,GSW,12.5,14.209741473197935,3.597829703263649,36.0,0.4901960784313725,0.4612109744560075,0.49019607843137253,0.19248693741845274,0.39267335233364353,Domantas Sabonis o12.5,C1
