player,may_not_play,injury_prob
B. Beal,0.0,0.0
D. Jones,1.0,1.0
J. Miller,1.0,1.0
K. Leonard,1.0,1.0
M. Wagner,1.0,1.0
P. Banchero,1.0,1.0
K. Porzingis,1.0,0.5
Trae Young,1.0,1.0
Z. Risacher,1.0,0.5
Adem Bona,1.0,1.0
J. Embiid,1.0,0.5
K. Oubre,1.0,1.0
P. George,0.0,0.25
D. Sabonis,1.0,0.5
K. Murray,0.0,0.25
B. Clarke,1.0,1.0
J. Jackson,1.0,0.5
J. Small,1.0,1.0
Ja Morant,1.0,1.0
S. Pippen,1.0,1.0
Ty Jerome,1.0,1.0
G. Antetokounmpo,1.0,1.0
G. Harris,1.0,0.5
K. Porter,1.0,1.0
T. Prince,1.0,1.0
D. Harper,1.0,1.0
J. McLaughlin,1.0,1.0
S. Castle,1.0,1.0
V. Wembanyama,1.0,1.0
