player,may_not_play,injury_prob
A. Horford,1.0,0.5
D. Melton,1.0,1.0
J. Butler,1.0,0.5
M. Moody,1.0,0.5
S. Curry,1.0,1.0
A. Wiggins,1.0,1.0
J. Williams,1.0,1.0
K. Williams,1.0,1.0
L. Dort,1.0,1.0
N. Topic,1.0,1.0
T. Sorber,0.0,0.0
Z. Nnaji,0.0,0.25
D. Sabonis,1.0,1.0
K. Murray,1.0,1.0
J. Tatum,1.0,1.0
X. Tillman,1.0,1.0
Dean Wade,1.0,1.0
Lonzo Ball,1.0,1.0
Max Strus,1.0,1.0
M. Wagner,1.0,1.0
B. Coulibaly,1.0,1.0
K. George,1.0,1.0
Jaden Ivey,1.0,1.0
M. Sasser,1.0,1.0
T. Harris,1.0,1.0
D. Finney-Smith,1.0,1.0
F. VanVleet,1.0,1.0
L. Kennard,1.0,1.0
N. Durisic,1.0,1.0
Trae Young,1.0,1.0
Cam Thomas,1.0,1.0
H. Highsmith,1.0,1.0
D. Fox,1.0,1.0
D. Harper,1.0,1.0
L. Kornet,1.0,1.0
B. Miller,1.0,1.0
C. Sexton,1.0,1.0
G. Williams,1.0,1.0
Josh Green,1.0,1.0
L. Ball,1.0,1.0
Coby White,1.0,1.0
Z. Collins,1.0,1.0
A. Davis,1.0,1.0
D. Lively,1.0,1.0
Dante Exum,1.0,1.0
K. Irving,1.0,1.0
G. Niang,1.0,1.0
W. Kessler,0.0,0.0
B. Clarke,1.0,1.0
S. Pippen,1.0,1.0
Ty Jerome,1.0,1.0
Zach Edey,1.0,1.0
B. Adebayo,1.0,1.0
T. Herro,1.0,1.0
T. Rozier,1.0,1.0
K. Porter,1.0,1.0
T. Prince,1.0,1.0
T. Shannon,1.0,1.0
