player,team,opponent,game_date,market,book,line,over_odds,under_odds
Devin Booker,PHX,LAC,2025-11-06,PTS,fanduel,28.5,,
John Collins,LAC,@PHX,2025-11-06,PTS,fanduel,17.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,fanduel,17.5,,
Grayson Allen,PHX,LAC,2025-11-06,PTS,fanduel,15.5,,
Bradley Beal,LAC,@PHX,2025-11-06,PTS,fanduel,14.5,,
Mark Williams,PHX,LAC,2025-11-06,PTS,fanduel,13.5,,
Jalen Green,PHX,LAC,2025-11-06,PTS,fanduel,12.5,,
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,fanduel,11.5,,
Derrick Jones,LAC,@PHX,2025-11-06,PTS,fanduel,11.5,,
Collin Gillespie,PHX,LAC,2025-11-06,PTS,fanduel,9.5,,
Royce O'Neale,PHX,LAC,2025-11-06,PTS,fanduel,9.5,,
Kris Dunn,LAC,@PHX,2025-11-06,PTS,fanduel,8.5,,
Ryan Dunn,PHX,LAC,2025-11-06,PTS,fanduel,8.5,,
Brook Lopez,LAC,@PHX,2025-11-06,PTS,fanduel,6.5,,
Chris Paul,LAC,@PHX,2025-11-06,PTS,fanduel,6.5,,
Devin Booker,PHX,LAC,2025-11-06,PTS,caesars,28.5,-112.0,-121.0
John Collins,LAC,@PHX,2025-11-06,PTS,caesars,17.5,-120.0,-114.0
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,caesars,17.5,-112.0,-121.0
Grayson Allen,PHX,LAC,2025-11-06,PTS,caesars,14.5,-130.0,-104.0
Bradley Beal,LAC,@PHX,2025-11-06,PTS,caesars,14.5,-114.0,-118.0
Mark Williams,PHX,LAC,2025-11-06,PTS,caesars,13.5,-110.0,-122.0
Jalen Green,PHX,LAC,2025-11-06,PTS,caesars,12.5,-114.0,-118.0
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,caesars,11.5,-114.0,-118.0
Derrick Jones,LAC,@PHX,2025-11-06,PTS,caesars,11.5,-118.0,-114.0
Collin Gillespie,PHX,LAC,2025-11-06,PTS,caesars,9.5,-107.0,-125.0
Royce O'Neale,PHX,LAC,2025-11-06,PTS,caesars,9.5,-106.0,-127.0
Kris Dunn,LAC,@PHX,2025-11-06,PTS,caesars,8.5,-115.0,-117.0
Ryan Dunn,PHX,LAC,2025-11-06,PTS,caesars,8.5,-134.0,-102.0
Brook Lopez,LAC,@PHX,2025-11-06,PTS,caesars,6.5,-114.0,-118.0
Chris Paul,LAC,@PHX,2025-11-06,PTS,caesars,6.5,-117.0,-115.0
Devin Booker,PHX,LAC,2025-11-06,PTS,caesars,28.5,,
John Collins,LAC,@PHX,2025-11-06,PTS,caesars,17.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,caesars,17.5,,
Grayson Allen,PHX,LAC,2025-11-06,PTS,caesars,14.5,,
Bradley Beal,LAC,@PHX,2025-11-06,PTS,caesars,14.5,,
Mark Williams,PHX,LAC,2025-11-06,PTS,caesars,13.5,,
Jalen Green,PHX,LAC,2025-11-06,PTS,caesars,12.5,,
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,caesars,11.5,,
Derrick Jones,LAC,@PHX,2025-11-06,PTS,caesars,11.5,,
Collin Gillespie,PHX,LAC,2025-11-06,PTS,caesars,9.5,,
Royce O'Neale,PHX,LAC,2025-11-06,PTS,caesars,9.5,,
Kris Dunn,LAC,@PHX,2025-11-06,PTS,caesars,8.5,,
Ryan Dunn,PHX,LAC,2025-11-06,PTS,caesars,8.5,,
Brook Lopez,LAC,@PHX,2025-11-06,PTS,caesars,6.5,,
Chris Paul,LAC,@PHX,2025-11-06,PTS,caesars,6.5,,
Devin Booker,PHX,LAC,2025-11-06,PTS,caesars,28.5,,
John Collins,LAC,@PHX,2025-11-06,PTS,caesars,17.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,caesars,17.5,,
Grayson Allen,PHX,LAC,2025-11-06,PTS,caesars,14.5,,
Bradley Beal,LAC,@PHX,2025-11-06,PTS,caesars,14.5,,
Mark Williams,PHX,LAC,2025-11-06,PTS,caesars,13.5,,
Jalen Green,PHX,LAC,2025-11-06,PTS,caesars,12.5,,
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,caesars,11.5,,
Derrick Jones,LAC,@PHX,2025-11-06,PTS,caesars,11.5,,
Collin Gillespie,PHX,LAC,2025-11-06,PTS,caesars,9.5,,
Royce O'Neale,PHX,LAC,2025-11-06,PTS,caesars,9.5,,
Kris Dunn,LAC,@PHX,2025-11-06,PTS,caesars,8.5,,
Ryan Dunn,PHX,LAC,2025-11-06,PTS,caesars,8.5,,
Brook Lopez,LAC,@PHX,2025-11-06,PTS,caesars,6.5,,
Chris Paul,LAC,@PHX,2025-11-06,PTS,caesars,6.5,,
Devin Booker,PHX,LAC,2025-11-06,PTS,hardrock,28.5,-110.0,-115.0
John Collins,LAC,@PHX,2025-11-06,PTS,hardrock,17.5,-110.0,-120.0
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,hardrock,17.5,-120.0,-110.0
Grayson Allen,PHX,LAC,2025-11-06,PTS,hardrock,15.5,-125.0,-105.0
Bradley Beal,LAC,@PHX,2025-11-06,PTS,hardrock,13.5,-130.0,100.0
Mark Williams,PHX,LAC,2025-11-06,PTS,hardrock,13.5,-120.0,-110.0
Jalen Green,PHX,LAC,2025-11-06,PTS,hardrock,12.5,-120.0,-110.0
Derrick Jones,LAC,@PHX,2025-11-06,PTS,hardrock,11.5,-110.0,-120.0
Collin Gillespie,PHX,LAC,2025-11-06,PTS,hardrock,9.5,-120.0,-110.0
Royce O'Neale,PHX,LAC,2025-11-06,PTS,hardrock,8.5,-140.0,110.0
Ryan Dunn,PHX,LAC,2025-11-06,PTS,hardrock,8.5,-105.0,-125.0
Brook Lopez,LAC,@PHX,2025-11-06,PTS,hardrock,7.5,-105.0,-130.0
Devin Booker,PHX,LAC,2025-11-06,PTS,hardrock,28.5,,
John Collins,LAC,@PHX,2025-11-06,PTS,hardrock,17.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,hardrock,17.5,,
Grayson Allen,PHX,LAC,2025-11-06,PTS,hardrock,15.5,,
Bradley Beal,LAC,@PHX,2025-11-06,PTS,hardrock,13.5,,
Mark Williams,PHX,LAC,2025-11-06,PTS,hardrock,13.5,,
Jalen Green,PHX,LAC,2025-11-06,PTS,hardrock,12.5,,
Derrick Jones,LAC,@PHX,2025-11-06,PTS,hardrock,11.5,,
Collin Gillespie,PHX,LAC,2025-11-06,PTS,hardrock,9.5,,
Royce O'Neale,PHX,LAC,2025-11-06,PTS,hardrock,8.5,,
Ryan Dunn,PHX,LAC,2025-11-06,PTS,hardrock,8.5,,
Brook Lopez,LAC,@PHX,2025-11-06,PTS,hardrock,7.5,,
Devin Booker,PHX,LAC,2025-11-06,PTS,hardrock,28.5,,
John Collins,LAC,@PHX,2025-11-06,PTS,hardrock,17.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,hardrock,17.5,,
Grayson Allen,PHX,LAC,2025-11-06,PTS,hardrock,15.5,,
Bradley Beal,LAC,@PHX,2025-11-06,PTS,hardrock,13.5,,
Mark Williams,PHX,LAC,2025-11-06,PTS,hardrock,13.5,,
Jalen Green,PHX,LAC,2025-11-06,PTS,hardrock,12.5,,
Derrick Jones,LAC,@PHX,2025-11-06,PTS,hardrock,11.5,,
Collin Gillespie,PHX,LAC,2025-11-06,PTS,hardrock,9.5,,
Royce O'Neale,PHX,LAC,2025-11-06,PTS,hardrock,8.5,,
Ryan Dunn,PHX,LAC,2025-11-06,PTS,hardrock,8.5,,
Brook Lopez,LAC,@PHX,2025-11-06,PTS,hardrock,7.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,draftkings,11.5,-103.0,-126.0
Mark Williams,PHX,LAC,2025-11-06,REB,draftkings,9.5,-107.0,-121.0
John Collins,LAC,@PHX,2025-11-06,REB,draftkings,6.5,-124.0,-105.0
Ryan Dunn,PHX,LAC,2025-11-06,REB,draftkings,4.5,-141.0,109.0
Royce O'Neale,PHX,LAC,2025-11-06,REB,draftkings,4.5,-139.0,107.0
Grayson Allen,PHX,LAC,2025-11-06,REB,draftkings,3.5,107.0,-138.0
Devin Booker,PHX,LAC,2025-11-06,REB,draftkings,3.5,-106.0,-123.0
Kris Dunn,LAC,@PHX,2025-11-06,REB,draftkings,3.5,-110.0,-117.0
Derrick Jones,LAC,@PHX,2025-11-06,REB,draftkings,3.5,-124.0,-104.0
Jalen Green,PHX,LAC,2025-11-06,REB,draftkings,2.5,-169.0,130.0
Brook Lopez,LAC,@PHX,2025-11-06,REB,draftkings,2.5,-167.0,128.0
Devin Booker,PHX,LAC,2025-11-06,REB,draftkings,3.5,,
John Collins,LAC,@PHX,2025-11-06,REB,draftkings,6.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,draftkings,11.5,,
Grayson Allen,PHX,LAC,2025-11-06,REB,draftkings,3.5,,
Mark Williams,PHX,LAC,2025-11-06,REB,draftkings,9.5,,
Jalen Green,PHX,LAC,2025-11-06,REB,draftkings,2.5,,
Derrick Jones,LAC,@PHX,2025-11-06,REB,draftkings,3.5,,
Royce O'Neale,PHX,LAC,2025-11-06,REB,draftkings,4.5,,
Kris Dunn,LAC,@PHX,2025-11-06,REB,draftkings,3.5,,
Ryan Dunn,PHX,LAC,2025-11-06,REB,draftkings,4.5,,
Brook Lopez,LAC,@PHX,2025-11-06,REB,draftkings,2.5,,
Devin Booker,PHX,LAC,2025-11-06,REB,draftkings,3.5,,
John Collins,LAC,@PHX,2025-11-06,REB,draftkings,6.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,draftkings,11.5,,
Grayson Allen,PHX,LAC,2025-11-06,REB,draftkings,3.5,,
Mark Williams,PHX,LAC,2025-11-06,REB,draftkings,9.5,,
Jalen Green,PHX,LAC,2025-11-06,REB,draftkings,2.5,,
Derrick Jones,LAC,@PHX,2025-11-06,REB,draftkings,3.5,,
Royce O'Neale,PHX,LAC,2025-11-06,REB,draftkings,4.5,,
Kris Dunn,LAC,@PHX,2025-11-06,REB,draftkings,3.5,,
Ryan Dunn,PHX,LAC,2025-11-06,REB,draftkings,4.5,,
Brook Lopez,LAC,@PHX,2025-11-06,REB,draftkings,2.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,fanduel,11.5,102.0,-136.0
Mark Williams,PHX,LAC,2025-11-06,REB,fanduel,9.5,106.0,-140.0
John Collins,LAC,@PHX,2025-11-06,REB,fanduel,6.5,-118.0,-112.0
Ryan Dunn,PHX,LAC,2025-11-06,REB,fanduel,4.5,-138.0,104.0
Royce O'Neale,PHX,LAC,2025-11-06,REB,fanduel,4.5,-138.0,104.0
Grayson Allen,PHX,LAC,2025-11-06,REB,fanduel,3.5,104.0,-138.0
Devin Booker,PHX,LAC,2025-11-06,REB,fanduel,3.5,104.0,-138.0
Kris Dunn,LAC,@PHX,2025-11-06,REB,fanduel,3.5,-110.0,-120.0
Derrick Jones,LAC,@PHX,2025-11-06,REB,fanduel,3.5,-128.0,-104.0
Jalen Green,PHX,LAC,2025-11-06,REB,fanduel,2.5,-182.0,134.0
Brook Lopez,LAC,@PHX,2025-11-06,REB,fanduel,2.5,-158.0,118.0
Devin Booker,PHX,LAC,2025-11-06,REB,fanduel,3.5,,
John Collins,LAC,@PHX,2025-11-06,REB,fanduel,6.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,fanduel,11.5,,
Grayson Allen,PHX,LAC,2025-11-06,REB,fanduel,3.5,,
Mark Williams,PHX,LAC,2025-11-06,REB,fanduel,9.5,,
Jalen Green,PHX,LAC,2025-11-06,REB,fanduel,2.5,,
Derrick Jones,LAC,@PHX,2025-11-06,REB,fanduel,3.5,,
Royce O'Neale,PHX,LAC,2025-11-06,REB,fanduel,4.5,,
Kris Dunn,LAC,@PHX,2025-11-06,REB,fanduel,3.5,,
Ryan Dunn,PHX,LAC,2025-11-06,REB,fanduel,4.5,,
Brook Lopez,LAC,@PHX,2025-11-06,REB,fanduel,2.5,,
Devin Booker,PHX,LAC,2025-11-06,REB,fanduel,3.5,,
John Collins,LAC,@PHX,2025-11-06,REB,fanduel,6.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,fanduel,11.5,,
Grayson Allen,PHX,LAC,2025-11-06,REB,fanduel,3.5,,
Mark Williams,PHX,LAC,2025-11-06,REB,fanduel,9.5,,
Jalen Green,PHX,LAC,2025-11-06,REB,fanduel,2.5,,
Derrick Jones,LAC,@PHX,2025-11-06,REB,fanduel,3.5,,
Royce O'Neale,PHX,LAC,2025-11-06,REB,fanduel,4.5,,
Kris Dunn,LAC,@PHX,2025-11-06,REB,fanduel,3.5,,
Ryan Dunn,PHX,LAC,2025-11-06,REB,fanduel,4.5,,
Brook Lopez,LAC,@PHX,2025-11-06,REB,fanduel,2.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,caesars,11.5,100.0,-134.0
Mark Williams,PHX,LAC,2025-11-06,REB,caesars,9.5,100.0,-137.0
John Collins,LAC,@PHX,2025-11-06,REB,caesars,6.5,-125.0,-108.0
Ryan Dunn,PHX,LAC,2025-11-06,REB,caesars,4.5,-141.0,105.0
Royce O'Neale,PHX,LAC,2025-11-06,REB,caesars,4.5,-143.0,105.0
Grayson Allen,PHX,LAC,2025-11-06,REB,caesars,3.5,100.0,-141.0
Devin Booker,PHX,LAC,2025-11-06,REB,caesars,3.5,-105.0,-130.0
Kris Dunn,LAC,@PHX,2025-11-06,REB,caesars,3.5,-110.0,-122.0
Derrick Jones,LAC,@PHX,2025-11-06,REB,caesars,3.5,-130.0,-104.0
Jalen Green,PHX,LAC,2025-11-06,REB,caesars,2.5,-173.0,125.0
Brook Lopez,LAC,@PHX,2025-11-06,REB,caesars,2.5,-159.0,115.0
Devin Booker,PHX,LAC,2025-11-06,REB,caesars,3.5,,
John Collins,LAC,@PHX,2025-11-06,REB,caesars,6.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,caesars,11.5,,
Grayson Allen,PHX,LAC,2025-11-06,REB,caesars,3.5,,
Mark Williams,PHX,LAC,2025-11-06,REB,caesars,9.5,,
Jalen Green,PHX,LAC,2025-11-06,REB,caesars,2.5,,
Derrick Jones,LAC,@PHX,2025-11-06,REB,caesars,3.5,,
Royce O'Neale,PHX,LAC,2025-11-06,REB,caesars,4.5,,
Kris Dunn,LAC,@PHX,2025-11-06,REB,caesars,3.5,,
Ryan Dunn,PHX,LAC,2025-11-06,REB,caesars,4.5,,
Brook Lopez,LAC,@PHX,2025-11-06,REB,caesars,2.5,,
Devin Booker,PHX,LAC,2025-11-06,REB,caesars,3.5,,
John Collins,LAC,@PHX,2025-11-06,REB,caesars,6.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,caesars,11.5,,
Grayson Allen,PHX,LAC,2025-11-06,REB,caesars,3.5,,
Mark Williams,PHX,LAC,2025-11-06,REB,caesars,9.5,,
Jalen Green,PHX,LAC,2025-11-06,REB,caesars,2.5,,
Derrick Jones,LAC,@PHX,2025-11-06,REB,caesars,3.5,,
Royce O'Neale,PHX,LAC,2025-11-06,REB,caesars,4.5,,
Kris Dunn,LAC,@PHX,2025-11-06,REB,caesars,3.5,,
Ryan Dunn,PHX,LAC,2025-11-06,REB,caesars,4.5,,
Brook Lopez,LAC,@PHX,2025-11-06,REB,caesars,2.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,hardrock,11.5,-105.0,-140.0
Mark Williams,PHX,LAC,2025-11-06,REB,hardrock,8.5,-150.0,105.0
John Collins,LAC,@PHX,2025-11-06,REB,hardrock,6.5,-125.0,-110.0
Ryan Dunn,PHX,LAC,2025-11-06,REB,hardrock,4.5,-140.0,100.0
Royce O'Neale,PHX,LAC,2025-11-06,REB,hardrock,4.5,-125.0,-115.0
Grayson Allen,PHX,LAC,2025-11-06,REB,hardrock,3.5,-110.0,-130.0
Devin Booker,PHX,LAC,2025-11-06,REB,hardrock,3.5,-120.0,-120.0
Collin Gillespie,PHX,LAC,2025-11-06,REB,hardrock,3.5,125.0,-180.0
Oso Ighodaro,PHX,LAC,2025-11-06,REB,hardrock,3.5,100.0,-145.0
Derrick Jones,LAC,@PHX,2025-11-06,REB,hardrock,3.5,-115.0,-125.0
Jalen Green,PHX,LAC,2025-11-06,REB,hardrock,2.5,-165.0,115.0
Brook Lopez,LAC,@PHX,2025-11-06,REB,hardrock,2.5,-150.0,105.0
Devin Booker,PHX,LAC,2025-11-06,REB,hardrock,3.5,,
John Collins,LAC,@PHX,2025-11-06,REB,hardrock,6.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,hardrock,11.5,,
Grayson Allen,PHX,LAC,2025-11-06,REB,hardrock,3.5,,
Mark Williams,PHX,LAC,2025-11-06,REB,hardrock,8.5,,
Jalen Green,PHX,LAC,2025-11-06,REB,hardrock,2.5,,
Derrick Jones,LAC,@PHX,2025-11-06,REB,hardrock,3.5,,
Collin Gillespie,PHX,LAC,2025-11-06,REB,hardrock,3.5,,
Royce O'Neale,PHX,LAC,2025-11-06,REB,hardrock,4.5,,
Ryan Dunn,PHX,LAC,2025-11-06,REB,hardrock,4.5,,
Brook Lopez,LAC,@PHX,2025-11-06,REB,hardrock,2.5,,
Oso Ighodaro,PHX,LAC,2025-11-06,REB,hardrock,3.5,,
Devin Booker,PHX,LAC,2025-11-06,REB,hardrock,3.5,,
John Collins,LAC,@PHX,2025-11-06,REB,hardrock,6.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,REB,hardrock,11.5,,
Grayson Allen,PHX,LAC,2025-11-06,REB,hardrock,3.5,,
Mark Williams,PHX,LAC,2025-11-06,REB,hardrock,8.5,,
Jalen Green,PHX,LAC,2025-11-06,REB,hardrock,2.5,,
Derrick Jones,LAC,@PHX,2025-11-06,REB,hardrock,3.5,,
Collin Gillespie,PHX,LAC,2025-11-06,REB,hardrock,3.5,,
