game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,IND,AWAY,EXPECTED,"['A. Nembhard', 'B. Mathurin', 'Ben Sheppard', 'Pascal Siakam', 'I. Jackson']","['T. Haliburton', 'J. Furphy', 'Q. Jackson', 'Kam Jones', 'A. Nesmith', 'Obi Toppin', 'Craig Porter', 'D. Mitchell', 'D. Hunter', 'Evan Mobley', 'J. Allen']",11,0,A. Nembhard,B. Mathurin,Ben Sheppard,Pascal Siakam,I. Jackson
,CLE,HOME,EXPECTED,"['Craig Porter', 'D. Mitchell', 'D. Hunter', 'Evan Mobley', 'Craig Porter']","['J. Allen', 'D. Garland', 'J. Tyson', 'S. Merrill', 'Max Strus', 'Egor Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']",10,0,Craig Porter,D. Mitchell,D. Hunter,Evan Mobley,Craig Porter
,BKN,AWAY,EXPECTED,"['Egor Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']","['H. Highsmith', 'Ben Saraf', 'Cam Thomas', 'Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Neemias Queta']",8,0,Egor Demin,Terance Mann,M. Porter,Noah Clowney,Nic Claxton
,BOS,HOME,EXPECTED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Neemias Queta']","['J. Tatum', 'CJ McCollum', 'K. George', 'B. Coulibaly', 'K. Middleton', 'A. Sarr']",6,0,Derrick White,P. Pritchard,Jaylen Brown,Jordan Walsh,Neemias Queta
,WAS,AWAY,EXPECTED,"['CJ McCollum', 'K. George', 'B. Coulibaly', 'K. Middleton', 'CJ McCollum']","['A. Sarr', 'M. Bagley', 'I. Quickley', 'B. Ingram', 'RJ Barrett', 'S. Barnes', 'Jakob Poeltl']",7,0,CJ McCollum,K. George,B. Coulibaly,K. Middleton,CJ McCollum
,TOR,HOME,EXPECTED,"['I. Quickley', 'B. Ingram', 'RJ Barrett', 'S. Barnes', 'Jakob Poeltl']","['C. Murray-Boyles', 'D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'S. Fontecchio', 'Bam Adebayo']",6,0,I. Quickley,B. Ingram,RJ Barrett,S. Barnes,Jakob Poeltl
,MIA,AWAY,EXPECTED,"['D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'S. Fontecchio', 'Bam Adebayo']","['T. Herro', 'N. Jovic', 'T. Rozier', 'A. Wiggins', 'Josh Giddey', 'Kevin Huerter', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']",9,0,D. Mitchell,Norman Powell,Pelle Larsson,S. Fontecchio,Bam Adebayo
,CHI,HOME,EXPECTED,"['Josh Giddey', 'Kevin Huerter', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']","['J. Smith', 'T. Jones', 'C. White', 'Z. Collins', 'J. Fears', 'Trey Murphy', 'Herbert Jones', 'Z. Williamson', 'Derik Queen']",9,0,Josh Giddey,Kevin Huerter,Isaac Okoro,Matas Buzelis,N. Vucevic
,NOP,AWAY,EXPECTED,"['J. Fears', 'Trey Murphy', 'Herbert Jones', 'Z. Williamson', 'Derik Queen']","['K. Matkovic', 'D. Murray', 'J. Poole', 'B. Williams', 'Max Christie', 'Cooper Flagg', 'P. Washington', 'Dereck Lively']",8,0,J. Fears,Trey Murphy,Herbert Jones,Z. Williamson,Derik Queen
,DAL,HOME,EXPECTED,"['B. Williams', 'Max Christie', 'Cooper Flagg', 'P. Washington', 'Dereck Lively']","['Dante Exum', 'A. Davis', 'K. Irving', 'R. Nembhard', 'D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']",9,0,B. Williams,Max Christie,Cooper Flagg,P. Washington,Dereck Lively
