player,may_not_play,injury_prob
D. Sabonis,1.0,1.0
A. Gordon,1.0,1.0
C. Braun,1.0,1.0
J. Strawther,1.0,0.5
B. Beal,0.0,0.0
D. Jones,1.0,1.0
J. Miller,1.0,1.0
K. Leonard,1.0,1.0
G. Williams,1.0,1.0
Josh Green,1.0,1.0
S. James,0.0,0.25
T. Mann,1.0,0.5
J. Brunson,0.0,0.25
OG Anunoby,1.0,1.0
M. Wagner,1.0,1.0
P. Banchero,1.0,1.0
O. Okongwu,1.0,0.5
Trae Young,1.0,1.0
D. Murray,1.0,1.0
J. Poole,1.0,0.5
K. Matkovic,1.0,0.5
Z. Williamson,1.0,0.5
B. Klintman,1.0,1.0
J. Ivey,1.0,0.5
M. Sasser,1.0,1.0
T. Harris,1.0,0.5
A. Johnson,1.0,0.5
A. Sarr,1.0,0.5
K. Middleton,1.0,0.5
M. Bagley,1.0,0.5
C. White,0.0,0.25
D. Terry,1.0,0.5
I. Okoro,1.0,0.5
M. Buzelis,1.0,0.5
T. Flowers,1.0,0.5
Z. Collins,1.0,1.0
G. Antetokounmpo,1.0,1.0
K. Kuzma,1.0,0.5
K. Porter,1.0,1.0
T. Prince,1.0,1.0
B. Clarke,1.0,1.0
J. Jackson,1.0,0.5
J. Small,1.0,1.0
Ja Morant,1.0,1.0
S. Pippen,1.0,1.0
Ty Jerome,1.0,1.0
A. Davis,1.0,1.0
D. Lively,1.0,0.5
D. Russell,1.0,0.5
Dante Exum,0.0,0.0
K. Irving,1.0,1.0
R. Nembhard,1.0,1.0
