game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,IND,AWAY,CONFIRMED,"['A. Nembhard', 'B. Mathurin', 'Ben Sheppard', 'Pascal Siakam', 'I. Jackson']","['T. Haliburton', 'J. Furphy', 'Q. Jackson', 'Kam Jones', 'A. Nesmith', 'Obi Toppin', 'D. Garland', 'D. Mitchell', 'Jaylon Tyson', 'D. Hunter', 'Evan Mobley']",11,1,A. Nembhard,B. Mathurin,Ben Sheppard,Pascal Siakam,I. Jackson
,CLE,HOME,CONFIRMED,"['D. Garland', 'D. Mitchell', 'Jaylon Tyson', 'D. Hunter', 'Evan Mobley']","['J. Allen', 'S. Merrill', 'Max Strus', 'Egor Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']",8,1,D. Garland,D. Mitchell,Jaylon Tyson,D. Hunter,Evan Mobley
,BKN,AWAY,EXPECTED,"['Egor Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']","['H. Highsmith', 'Ben Saraf', 'Cam Thomas', 'Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Neemias Queta']",8,0,Egor Demin,Terance Mann,M. Porter,Noah Clowney,Nic Claxton
,BOS,HOME,EXPECTED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Neemias Queta']","['J. Tatum', 'CJ McCollum', 'K. George', 'B. Coulibaly', 'K. Middleton', 'T. Vukcevic']",6,0,Derrick White,P. Pritchard,Jaylen Brown,Jordan Walsh,Neemias Queta
,WAS,AWAY,EXPECTED,"['CJ McCollum', 'K. George', 'B. Coulibaly', 'K. Middleton', 'T. Vukcevic']","['M. Bagley', 'AJ Johnson', 'Alex Sarr', 'I. Quickley', 'B. Ingram', 'RJ Barrett', 'S. Barnes', 'Jakob Poeltl']",8,0,CJ McCollum,K. George,B. Coulibaly,K. Middleton,T. Vukcevic
,TOR,HOME,EXPECTED,"['I. Quickley', 'B. Ingram', 'RJ Barrett', 'S. Barnes', 'Jakob Poeltl']","['C. Murray-Boyles', 'D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'S. Fontecchio', 'Bam Adebayo']",6,0,I. Quickley,B. Ingram,RJ Barrett,S. Barnes,Jakob Poeltl
,MIA,AWAY,EXPECTED,"['D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'S. Fontecchio', 'Bam Adebayo']","['T. Herro', 'N. Jovic', 'T. Rozier', 'A. Wiggins', 'Josh Giddey', 'Kevin Huerter', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']",9,0,D. Mitchell,Norman Powell,Pelle Larsson,S. Fontecchio,Bam Adebayo
,CHI,HOME,EXPECTED,"['Josh Giddey', 'Kevin Huerter', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']","['Z. Collins', 'Coby White', 'J. Fears', 'Trey Murphy', 'Herbert Jones', 'Z. Williamson', 'Derik Queen']",7,0,Josh Giddey,Kevin Huerter,Isaac Okoro,Matas Buzelis,N. Vucevic
,NOP,AWAY,EXPECTED,"['J. Fears', 'Trey Murphy', 'Herbert Jones', 'Z. Williamson', 'Derik Queen']","['K. Matkovic', 'D. Murray', 'J. Poole', 'B. Williams', 'Max Christie', 'Cooper Flagg', 'P. Washington', 'Dereck Lively']",8,0,J. Fears,Trey Murphy,Herbert Jones,Z. Williamson,Derik Queen
,DAL,HOME,EXPECTED,"['B. Williams', 'Max Christie', 'Cooper Flagg', 'P. Washington', 'Dereck Lively']","['Dante Exum', 'D. Russell', 'A. Davis', 'K. Irving', 'R. Nembhard', 'D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']",10,0,B. Williams,Max Christie,Cooper Flagg,P. Washington,Dereck Lively
,MIN,AWAY,EXPECTED,"['D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']","['T. Shannon', 'Devin Booker', 'Dillon Brooks', ""Royce O'Neale"", 'Ryan Dunn', 'Mark Williams']",6,0,D. DiVincenzo,A. Edwards,J. McDaniels,Julius Randle,Rudy Gobert
