player,may_not_play,injury_prob
D. Brooks,1,0.0
I. Livers,1,0.5
J. Green,1,0.0
R. Dunn,1,0.75
A. Toohey,1,0.0
Al Horford,1,0.0
D. Melton,1,0.0
J. Butler,1,0.5
A. Mitchell,1,0.5
J. Williams,1,0.5
K. Williams,1,0.0
L. Dort,1,0.5
N. Topic,1,0.0
T. Sorber,1,0.0
B. Beal,1,0.0
J. Miller,1,0.0
K. Leonard,1,0.0
K. Sanders,1,0.0
G. Antetokounmpo,1,0.75
K. Porter,1,0.0
J. Poeltl,1,0.5
B. Miller,1,0.0
G. Williams,1,0.0
Josh Green,1,0.0
L. Ball,1,0.0
M. Wagner,1,0.0
D. Barlow,1,0.0
P. George,1,0.0
Trae Young,1,0.0
A. Dosunmu,1,0.5
Coby White,1,0.0
Z. Collins,1,0.0
D. Murray,1,0.0
Y. Missi,1,0.5
Z. Williamson,1,0.5
