player,team,opponent,game_date,market,book,line,over_odds,under_odds
Luka Doncic,LAL,LAC,2025-11-25,PTS,mgm,32.5,-110.0,-118.0
Tyrese Maxey,PHI,ORL,2025-11-25,PTS,mgm,32.5,-110.0,-120.0
James Harden,LAC,@LAL,2025-11-25,PTS,mgm,24.5,-110.0,-120.0
Franz Wagner,ORL,@PHI,2025-11-25,PTS,mgm,24.5,-110.0,-118.0
Jalen Johnson,ATL,@WAS,2025-11-25,PTS,mgm,23.5,-115.0,-118.0
Austin Reaves,LAL,LAC,2025-11-25,PTS,mgm,22.5,-115.0,-115.0
Desmond Bane,ORL,@PHI,2025-11-25,PTS,mgm,20.5,-120.0,-110.0
LeBron James,LAL,LAC,2025-11-25,PTS,mgm,21.5,105.0,-140.0
Kawhi Leonard,LAC,@LAL,2025-11-25,PTS,mgm,20.5,-120.0,-110.0
Kristaps Porzingis,ATL,@WAS,2025-11-25,PTS,mgm,18.5,-130.0,100.0
Nickeil Alexander-Walker,ATL,@WAS,2025-11-25,PTS,mgm,18.5,-115.0,-115.0
CJ McCollum,WAS,ATL,2025-11-25,PTS,mgm,17.5,-125.0,-105.0
Alex Sarr,WAS,ATL,2025-11-25,PTS,mgm,18.5,-105.0,-125.0
Quentin Grimes,PHI,ORL,2025-11-25,PTS,mgm,17.5,-110.0,-118.0
Jalen Suggs,ORL,@PHI,2025-11-25,PTS,mgm,16.5,-115.0,-115.0
Ivica Zubac,LAC,@LAL,2025-11-25,PTS,mgm,17.5,100.0,-135.0
Kyshawn George,WAS,ATL,2025-11-25,PTS,mgm,13.5,-130.0,-105.0
Onyeka Okongwu,ATL,@WAS,2025-11-25,PTS,mgm,14.5,-110.0,-118.0
Anthony Black,ORL,@PHI,2025-11-25,PTS,mgm,12.5,-105.0,-130.0
Jared McCain,PHI,ORL,2025-11-25,PTS,mgm,12.5,-118.0,-110.0
Tristan da Silva,ORL,@PHI,2025-11-25,PTS,mgm,12.5,-110.0,-120.0
Wendell Carter,ORL,@PHI,2025-11-25,PTS,mgm,12.5,-105.0,-130.0
John Collins,LAC,@LAL,2025-11-25,PTS,mgm,11.5,-135.0,100.0
Andre Drummond,PHI,ORL,2025-11-25,PTS,mgm,11.5,100.0,-130.0
Dyson Daniels,ATL,@WAS,2025-11-25,PTS,mgm,11.5,-135.0,100.0
Justin Edwards,PHI,ORL,2025-11-25,PTS,mgm,9.5,-135.0,100.0
Rui Hachimura,LAL,LAC,2025-11-25,PTS,mgm,11.5,100.0,-135.0
Zaccharie Risacher,ATL,@WAS,2025-11-25,PTS,mgm,11.5,-110.0,-125.0
