player,may_not_play,injury_prob
A. Toohey,1,0.0
B. Podziemski,1,0.5
D. Green,1,0.5
D. Melton,1,0.0
J. Butler,1,0.5
S. Curry,1,0.0
A. Caruso,1,0.0
C. Holmgren,1,0.0
J. Williams,1,0.0
K. Williams,1,0.0
L. Dort,1,0.0
N. Topic,1,0.0
T. Sorber,1,0.0
D. Fox,1,0.0
D. Harper,1,0.0
J. Sochan,1,0.5
K. Olynyk,1,0.5
L. Kornet,1,0.0
L. Waters,1,0.5
A. Reaves,1,0.0
A. Thiero,1,0.0
G. Vincent,1,0.0
L. James,1,0.0
M. Kleber,1,0.0
B. Wesley,1,0.0
D. Lillard,1,0.0
M. Thybulle,1,0.0
S. Henderson,1,0.0
S. Sharpe,1,0.75
D. Sabonis,1,0.0
K. Murray,1,0.0
Z. LaVine,1,0.0
D. Powell,1,0.0
H. Highsmith,1,0.0
D. Barlow,1,0.0
J. Embiid,1,0.0
J. McCain,1,0.0
P. George,1,0.0
G. Niang,1,0.0
W. Kessler,1,0.0
D. Garland,1,0.5
D. Hunter,1,0.5
J. Allen,1,0.5
Max Strus,1,0.0
S. Merrill,1,0.5
Jaden Ivey,1,0.0
M. Sasser,1,0.0
T. Harris,1,0.0
A. Nembhard,1,0.0
B. Mathurin,1,0.0
J. Furphy,1,0.0
Kam Jones,1,0.0
Obi Toppin,1,0.0
Q. Jackson,1,0.0
R. Dennis,1,0.75
T. Haliburton,1,0.0
T. McConnell,1,0.0
A. Edwards,1,0.5
K. Middleton,1,0.0
J. Tatum,1,0.0
K. Towns,1,0.5
D. Finney-Smith,1,0.0
F. VanVleet,1,0.0
J. Smith,1,0.5
S. Adams,1,0.5
B. Clarke,1,0.0
S. Pippen,1,0.0
Ty Jerome,1,0.0
Zach Edey,1,0.0
D. Murray,1,0.0
J. Poole,1,0.5
Yves Missi,1,0.0
Z. Williamson,1,0.0
A. Davis,1,0.0
D. Lively,1,0.0
Dante Exum,1,0.0
K. Irving,1,0.0
K. Jakucionis,1,0.5
T. Herro,1,0.0
T. Rozier,1,0.0
J. Murray,1,0.75
J. Strawther,1,0.75
