game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,DET,AWAY,EXPECTED,"['C. Cunningham', 'D. Robinson', 'A. Thompson', 'Tobias Harris', 'Jalen Duren']","['B. Klintman', 'M. Sasser', 'Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Chris Boucher']",7,0,C. Cunningham,D. Robinson,A. Thompson,Tobias Harris,Jalen Duren
,BOS,HOME,EXPECTED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Chris Boucher']","['N. Queta', 'J. Tatum', 'Jalen Brunson', 'Miles McBride', 'Mikal Bridges', 'K. Towns', 'M. Robinson']",7,0,Derrick White,P. Pritchard,Jaylen Brown,Jordan Walsh,Chris Boucher
,NYK,AWAY,EXPECTED,"['Jalen Brunson', 'Miles McBride', 'Mikal Bridges', 'K. Towns', 'M. Robinson']","['OG Anunoby', 'L. Shamet', 'LaMelo Ball', 'Kon Knueppel', 'B. Miller', 'Miles Bridges', 'R. Kalkbrenner']",7,0,Jalen Brunson,Miles McBride,Mikal Bridges,K. Towns,M. Robinson
,CHA,HOME,EXPECTED,"['LaMelo Ball', 'Kon Knueppel', 'B. Miller', 'Miles Bridges', 'R. Kalkbrenner']","['P. Connaughton', 'Josh Green', 'G. Williams', 'Ryan Rollins', 'AJ Green', 'Kyle Kuzma', 'G. Antetokounmpo', 'Myles Turner']",8,0,LaMelo Ball,Kon Knueppel,B. Miller,Miles Bridges,R. Kalkbrenner
,MIL,AWAY,EXPECTED,"['Ryan Rollins', 'AJ Green', 'Kyle Kuzma', 'Myles Turner', 'Ryan Rollins']","['G. Antetokounmpo', 'K. Porter', 'T. Prince', 'Tyler Herro', 'N. Powell', 'Pelle Larsson', 'A. Wiggins', 'Bam Adebayo']",8,0,Ryan Rollins,AJ Green,Kyle Kuzma,Myles Turner,Ryan Rollins
,MIA,HOME,EXPECTED,"['Tyler Herro', 'Pelle Larsson', 'Bam Adebayo', 'Tyler Herro', 'N. Powell']","['N. Powell', 'J. Jaquez', 'N. Jovic', 'D. Smith', 'A. Wiggins', 'T. Rozier', 'D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']",11,0,Tyler Herro,Pelle Larsson,Bam Adebayo,Tyler Herro,N. Powell
,MIN,AWAY,EXPECTED,"['D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']","['S. Gilgeous-Alexander', 'Cason Wallace', 'Luguentz Dort', 'Chet Holmgren', 'I. Hartenstein']",5,0,D. DiVincenzo,A. Edwards,J. McDaniels,Julius Randle,Rudy Gobert
,OKC,HOME,EXPECTED,"['Cason Wallace', 'Luguentz Dort', 'Chet Holmgren', 'I. Hartenstein', 'S. Gilgeous-Alexander']","['T. Sorber', 'S. Gilgeous-Alexander', 'N. Topic', 'A. Wiggins', 'J. Williams', 'A. Nembhard', 'B. Mathurin', 'Ben Sheppard', 'Pascal Siakam', 'I. Jackson']",10,0,Cason Wallace,Luguentz Dort,Chet Holmgren,I. Hartenstein,S. Gilgeous-Alexander
,IND,AWAY,EXPECTED,"['A. Nembhard', 'B. Mathurin', 'Ben Sheppard', 'Pascal Siakam', 'I. Jackson']","['T. Haliburton', 'J. Furphy', 'Q. Jackson', 'Kam Jones', 'A. Nesmith', 'Obi Toppin', 'I. Quickley', 'J. Walter', 'B. Ingram', 'S. Barnes', 'Jakob Poeltl']",11,0,A. Nembhard,B. Mathurin,Ben Sheppard,Pascal Siakam,I. Jackson
,TOR,HOME,EXPECTED,"['I. Quickley', 'J. Walter', 'B. Ingram', 'S. Barnes', 'Jakob Poeltl']","['RJ Barrett', 'V. Williams', 'Jaylen Wells', 'Cedric Coward', 'Jaren Jackson', 'Z. Edey']",6,0,I. Quickley,J. Walter,B. Ingram,S. Barnes,Jakob Poeltl
,MEM,AWAY,EXPECTED,"['V. Williams', 'Jaylen Wells', 'Cedric Coward', 'Jaren Jackson', 'V. Williams']","['Z. Edey', 'B. Clarke', 'Ty Jerome', 'Ja Morant', 'S. Pippen', 'J. Small', 'J. Fears', 'Trey Murphy', 'Saddiq Bey', 'Z. Williamson', 'Derik Queen']",11,0,V. Williams,Jaylen Wells,Cedric Coward,Jaren Jackson,V. Williams
,NOP,HOME,EXPECTED,"['J. Fears', 'Trey Murphy', 'Saddiq Bey', 'Z. Williamson', 'Derik Queen']","['H. Jones', 'K. Matkovic', 'D. Murray', 'J. Poole', 'Amen Thompson', 'Reed Sheppard', 'Josh Okogie', 'Jabari Smith', 'A. Sengun']",9,0,J. Fears,Trey Murphy,Saddiq Bey,Z. Williamson,Derik Queen
,HOU,AWAY,EXPECTED,"['Amen Thompson', 'Reed Sheppard', 'Josh Okogie', 'Jabari Smith', 'A. Sengun']","['S. Adams', 'K. Durant', 'Tari Eason', 'D. Finney-Smith', 'F. VanVleet', 'Stephen Curry', 'Gary Payton', 'Moses Moody', 'Jimmy Butler', 'D. Green']",10,0,Amen Thompson,Reed Sheppard,Josh Okogie,Jabari Smith,A. Sengun
,GSW,HOME,EXPECTED,"['Stephen Curry', 'Gary Payton', 'Moses Moody', 'Jimmy Butler', 'Stephen Curry']","['D. Green', 'Al Horford', 'J. Kuminga', 'D. Melton', ""De'Aaron Fox"", 'Devin Vassell', 'J. Champagnie', 'H. Barnes', 'Luke Kornet']",9,0,Stephen Curry,Gary Payton,Moses Moody,Jimmy Butler,Stephen Curry
,SAS,AWAY,EXPECTED,"[""De'Aaron Fox"", 'Devin Vassell', 'J. Champagnie', 'H. Barnes', 'Luke Kornet']","['D. Harper', 'S. Castle', 'J. McLaughlin', 'V. Wembanyama', 'S. Sharpe', 'T. Camara', 'Jerami Grant', 'Deni Avdija', 'D. Clingan']",9,0,De'Aaron Fox,Devin Vassell,J. Champagnie,H. Barnes,Luke Kornet
,POR,HOME,EXPECTED,"['T. Camara', 'Jerami Grant', 'Deni Avdija', 'D. Clingan', 'S. Sharpe']","['D. Lillard', 'S. Sharpe', 'S. Henderson', 'J. Holiday', 'M. Thybulle', 'B. Wesley', 'Devin Booker', 'J. Goodwin', 'Dillon Brooks', ""Royce O'Neale"", 'Mark Williams']",11,0,T. Camara,Jerami Grant,Deni Avdija,D. Clingan,S. Sharpe
,PHX,AWAY,EXPECTED,"['Devin Booker', 'J. Goodwin', 'Dillon Brooks', ""Royce O'Neale"", 'Mark Williams']","['G. Allen', 'Ryan Dunn', 'J. Green', 'R. Westbrook', 'Zach LaVine', 'DeMar DeRozan', 'Keegan Murray', 'Drew Eubanks']",8,0,Devin Booker,J. Goodwin,Dillon Brooks,Royce O'Neale,Mark Williams
,SAC,HOME,EXPECTED,"['R. Westbrook', 'Zach LaVine', 'DeMar DeRozan', 'Keegan Murray', 'Drew Eubanks']","['D. Schroder', 'D. Sabonis']",2,0,R. Westbrook,Zach LaVine,DeMar DeRozan,Keegan Murray,Drew Eubanks
