game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,LAC,AWAY,EXPECTED,"['James Harden', 'Kris Dunn', 'Kobe Sanders', 'John Collins', 'Ivica Zubac']","['B. Beal', 'D. Jones', 'K. Leonard', 'J. Miller', 'LaMelo Ball', 'Kon Knueppel', 'B. Miller', 'Miles Bridges', 'R. Kalkbrenner']",9,0,James Harden,Kris Dunn,Kobe Sanders,John Collins,Ivica Zubac
,CHA,HOME,EXPECTED,"['LaMelo Ball', 'Kon Knueppel', 'B. Miller', 'Miles Bridges', 'R. Kalkbrenner']","['S. James', 'T. Mann', 'Josh Green', 'G. Williams', 'J. Brunson', 'Landry Shamet', 'Mikal Bridges', 'K. Towns', 'M. Robinson']",9,0,LaMelo Ball,Kon Knueppel,B. Miller,Miles Bridges,R. Kalkbrenner
,NYK,AWAY,EXPECTED,"['Landry Shamet', 'Mikal Bridges', 'K. Towns', 'M. Robinson', 'J. Brunson']","['J. Brunson', 'OG Anunoby', 'Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'T. da Silva', 'W. Carter']",7,0,Landry Shamet,Mikal Bridges,K. Towns,M. Robinson,J. Brunson
,ORL,HOME,EXPECTED,"['Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'T. da Silva', 'W. Carter']","['P. Banchero', 'M. Wagner', 'Dyson Daniels', 'N. Alexander-Walker', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']",7,0,Jalen Suggs,Desmond Bane,Franz Wagner,T. da Silva,W. Carter
,ATL,AWAY,EXPECTED,"['Dyson Daniels', 'N. Alexander-Walker', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']","['O. Okongwu', 'Trae Young', 'J. Fears', 'Trey Murphy', 'Herbert Jones', 'Z. Williamson', 'Derik Queen']",7,0,Dyson Daniels,N. Alexander-Walker,Z. Risacher,Jalen Johnson,K. Porzingis
,NOP,HOME,EXPECTED,"['J. Fears', 'Trey Murphy', 'Herbert Jones', 'Derik Queen', 'J. Fears']","['K. Matkovic', 'Z. Williamson', 'J. Poole', 'D. Murray', 'CJ McCollum', 'K. George', 'B. Coulibaly', 'K. Middleton', 'A. Sarr']",9,0,J. Fears,Trey Murphy,Herbert Jones,Derik Queen,J. Fears
,WAS,AWAY,EXPECTED,"['CJ McCollum', 'K. George', 'B. Coulibaly', 'CJ McCollum', 'K. George']","['A. Johnson', 'K. Middleton', 'A. Sarr', 'M. Bagley', 'Josh Giddey', 'Ayo Dosunmu', 'I. Okoro', 'P. Williams', 'N. Vucevic']",9,0,CJ McCollum,K. George,B. Coulibaly,CJ McCollum,K. George
,CHI,HOME,EXPECTED,"['Josh Giddey', 'Ayo Dosunmu', 'P. Williams', 'N. Vucevic', 'Josh Giddey']","['C. White', 'T. Flowers', 'I. Okoro', 'M. Buzelis', 'D. Terry', 'Z. Collins', 'C. Cunningham', 'D. Robinson', 'A. Thompson', 'T. Harris', 'Jalen Duren']",11,0,Josh Giddey,Ayo Dosunmu,P. Williams,N. Vucevic,Josh Giddey
,DET,AWAY,EXPECTED,"['C. Cunningham', 'D. Robinson', 'A. Thompson', 'Jalen Duren', 'C. Cunningham']","['T. Harris', 'J. Ivey', 'B. Klintman', 'M. Sasser', 'Ryan Rollins', 'AJ Green', 'K. Kuzma', 'Bobby Portis', 'Myles Turner']",9,0,C. Cunningham,D. Robinson,A. Thompson,Jalen Duren,C. Cunningham
,MIL,HOME,EXPECTED,"['Ryan Rollins', 'AJ Green', 'Bobby Portis', 'Myles Turner', 'Ryan Rollins']","['K. Kuzma', 'G. Antetokounmpo', 'K. Porter', 'T. Prince', 'V. Williams', 'Jaylen Wells', 'Cedric Coward', 'Santi Aldama', 'Zach Edey']",9,0,Ryan Rollins,AJ Green,Bobby Portis,Myles Turner,Ryan Rollins
,MEM,AWAY,EXPECTED,"['V. Williams', 'Jaylen Wells', 'Cedric Coward', 'Santi Aldama', 'Zach Edey']","['J. Jackson', 'B. Clarke', 'Ty Jerome', 'Ja Morant', 'S. Pippen', 'J. Small', 'B. Williams', 'Max Christie', 'Cooper Flagg', 'P. Washington', 'D. Gafford']",11,0,V. Williams,Jaylen Wells,Cedric Coward,Santi Aldama,Zach Edey
,DAL,HOME,EXPECTED,"['B. Williams', 'Max Christie', 'Cooper Flagg', 'P. Washington', 'D. Gafford']","['Dante Exum', 'D. Lively', 'D. Russell', 'A. Davis', 'K. Irving', 'R. Nembhard', 'R. Westbrook', 'Zach LaVine', 'DeMar DeRozan', 'Keegan Murray', 'Drew Eubanks']",11,0,B. Williams,Max Christie,Cooper Flagg,P. Washington,D. Gafford
,SAC,AWAY,EXPECTED,"['R. Westbrook', 'Zach LaVine', 'DeMar DeRozan', 'Keegan Murray', 'Drew Eubanks']","['D. Sabonis', 'Jamal Murray', 'C. Johnson', 'Spencer Jones', 'Peyton Watson', 'Nikola Jokic']",6,0,R. Westbrook,Zach LaVine,DeMar DeRozan,Keegan Murray,Drew Eubanks
,DEN,HOME,EXPECTED,"['Jamal Murray', 'C. Johnson', 'Spencer Jones', 'Peyton Watson', 'Nikola Jokic']","['J. Strawther', 'C. Braun', 'A. Gordon']",3,0,Jamal Murray,C. Johnson,Spencer Jones,Peyton Watson,Nikola Jokic
