player,team,is_starter,start_prob
C. Cunningham,DET,1,0.7
D. Robinson,DET,1,0.7
A. Thompson,DET,1,0.7
Tobias Harris,DET,1,0.7
Jalen Duren,DET,1,0.7
Derrick White,BOS,1,0.7
P. Pritchard,BOS,1,0.7
Jaylen Brown,BOS,1,0.7
Jordan Walsh,BOS,1,0.7
Luka Garza,BOS,1,0.7
Jalen Brunson,NYK,1,0.7
Miles McBride,NYK,1,0.7
Mikal Bridges,NYK,1,0.7
K. Towns,NYK,1,0.7
M. Robinson,NYK,1,0.7
LaMelo Ball,CHA,1,0.7
Kon Knueppel,CHA,1,0.7
B. Miller,CHA,1,0.7
Miles Bridges,CHA,1,0.7
R. Kalkbrenner,CHA,1,0.7
Ryan Rollins,MIL,1,0.7
AJ Green,MIL,1,0.7
Kyle Kuzma,MIL,1,0.7
Myles Turner,MIL,1,0.7
Tyler Herro,MIA,1,0.7
Pelle Larsson,MIA,1,0.7
Bam Adebayo,MIA,1,0.7
N. Powell,MIA,1,0.42
D. DiVincenzo,MIN,1,0.7
A. Edwards,MIN,1,0.7
J. McDaniels,MIN,1,0.7
Julius Randle,MIN,1,0.7
Rudy Gobert,MIN,1,0.7
Cason Wallace,OKC,1,0.7
Luguentz Dort,OKC,1,0.7
Chet Holmgren,OKC,1,0.7
I. Hartenstein,OKC,1,0.7
S. Gilgeous-Alexander,OKC,1,0.42
A. Nembhard,IND,1,0.7
B. Mathurin,IND,1,0.7
Ben Sheppard,IND,1,0.7
Pascal Siakam,IND,1,0.7
I. Jackson,IND,1,0.7
I. Quickley,TOR,1,0.7
J. Walter,TOR,1,0.7
B. Ingram,TOR,1,0.7
S. Barnes,TOR,1,0.7
Jakob Poeltl,TOR,1,0.7
V. Williams,MEM,1,0.7
Jaylen Wells,MEM,1,0.7
Cedric Coward,MEM,1,0.7
Jaren Jackson,MEM,1,0.7
J. Fears,NOP,1,0.7
Trey Murphy,NOP,1,0.7
Saddiq Bey,NOP,1,0.7
Z. Williamson,NOP,1,0.7
Derik Queen,NOP,1,0.7
Amen Thompson,HOU,1,0.7
Reed Sheppard,HOU,1,0.7
Josh Okogie,HOU,1,0.7
Jabari Smith,HOU,1,0.7
A. Sengun,HOU,1,0.7
Stephen Curry,GSW,1,0.7
Gary Payton,GSW,1,0.7
Moses Moody,GSW,1,0.7
Jimmy Butler,GSW,1,0.7
De'Aaron Fox,SAS,1,0.7
Devin Vassell,SAS,1,0.7
J. Champagnie,SAS,1,0.7
H. Barnes,SAS,1,0.7
Luke Kornet,SAS,1,0.7
T. Camara,POR,1,0.7
Deni Avdija,POR,1,0.7
Jerami Grant,POR,1,0.7
D. Clingan,POR,1,0.7
S. Sharpe,POR,1,0.42
Devin Booker,PHX,1,0.7
J. Goodwin,PHX,1,0.7
Dillon Brooks,PHX,1,0.7
Royce O'Neale,PHX,1,0.7
Mark Williams,PHX,1,0.7
R. Westbrook,SAC,1,0.7
Zach LaVine,SAC,1,0.7
DeMar DeRozan,SAC,1,0.7
Keegan Murray,SAC,1,0.7
Drew Eubanks,SAC,1,0.7
