player,may_not_play,injury_prob
T. Shannon,1.0,0.5
G. Niang,1.0,1.0
W. Kessler,0.0,0.0
Al Horford,1.0,1.0
D. Green,1.0,0.5
D. Melton,1.0,1.0
J. Kuminga,1.0,1.0
D. Sabonis,1.0,1.0
C. Porter,1.0,0.5
J. Allen,1.0,0.5
L. Ball,1.0,0.5
Max Strus,1.0,1.0
S. Merrill,1.0,0.5
B. Klintman,1.0,1.0
C. LeVert,0.0,0.25
J. Ivey,0.0,0.25
M. Sasser,1.0,1.0
A. Nesmith,1.0,1.0
J. Furphy,1.0,1.0
Kam Jones,1.0,1.0
Obi Toppin,1.0,1.0
Q. Jackson,1.0,1.0
T. Haliburton,0.0,0.0
J. Poeltl,1.0,0.5
R. Barrett,1.0,0.5
A. Davis,1.0,0.5
B. Williams,1.0,0.5
D. Lively,1.0,1.0
Dante Exum,0.0,0.0
K. Irving,1.0,1.0
R. Nembhard,1.0,0.5
L. Shamet,1.0,1.0
OG Anunoby,1.0,1.0
Ben Saraf,1.0,1.0
Cam Thomas,1.0,1.0
H. Highsmith,1.0,1.0
A. Wiggins,1.0,0.5
N. Jovic,1.0,0.5
T. Herro,0.0,0.25
T. Rozier,1.0,1.0
D. Terry,1.0,1.0
I. Okoro,1.0,1.0
K. Huerter,1.0,0.5
P. Williams,1.0,0.5
T. Flowers,1.0,1.0
Z. Collins,1.0,1.0
A. Gordon,1.0,1.0
C. Braun,1.0,1.0
J. Strawther,1.0,1.0
B. Wesley,1.0,1.0
D. Lillard,0.0,0.0
J. Holiday,1.0,1.0
M. Thybulle,1.0,1.0
R. Williams,1.0,0.5
S. Henderson,1.0,1.0
S. Sharpe,1.0,0.5
B. Clarke,1.0,1.0
J. Jackson,1.0,0.5
J. Small,1.0,1.0
Ja Morant,1.0,1.0
S. Pippen,1.0,1.0
Ty Jerome,1.0,1.0
G. Antetokounmpo,1.0,1.0
K. Porter,1.0,1.0
T. Prince,1.0,1.0
D. Murray,1.0,1.0
H. Jones,1.0,1.0
J. Poole,1.0,1.0
K. Looney,1.0,0.5
K. Matkovic,1.0,1.0
D. Finney-Smith,1.0,1.0
F. VanVleet,1.0,1.0
K. Durant,1.0,1.0
S. Adams,1.0,0.5
Tari Eason,1.0,1.0
G. Allen,1.0,1.0
J. Green,1.0,1.0
R. Fleming,1.0,1.0
Ryan Dunn,1.0,1.0
