player,team,opponent,game_date,market,book,line,over_odds,under_odds
Nikola Jokic,DEN,SAC,2025-11-23,PTS,mgm,29.5,-110.0,-120.0
Cade Cunningham,DET,@MIL,2025-11-23,PTS,mgm,26.5,-120.0,-110.0
Jamal Murray,DEN,SAC,2025-11-23,PTS,mgm,23.5,-110.0,-120.0
Ryan Rollins,MIL,DET,2025-11-23,PTS,mgm,20.5,-115.0,-115.0
Coby White,CHI,WAS,2025-11-23,PTS,mgm,20.5,-105.0,-125.0
Josh Giddey,CHI,WAS,2025-11-23,PTS,mgm,19.5,-118.0,-110.0
Zach LaVine,SAC,@DEN,2025-11-23,PTS,mgm,18.5,-125.0,-105.0
Santi Aldama,MEM,@DAL,2025-11-23,PTS,mgm,16.5,-120.0,-110.0
DeMar DeRozan,SAC,@DEN,2025-11-23,PTS,mgm,17.5,-115.0,-115.0
Jalen Duren,DET,@MIL,2025-11-23,PTS,mgm,17.5,-120.0,-110.0
Alex Sarr,WAS,@CHI,2025-11-23,PTS,mgm,16.5,-125.0,-110.0
Nikola Vucevic,CHI,WAS,2025-11-23,PTS,mgm,17.5,-105.0,-125.0
Cooper Flagg,DAL,MEM,2025-11-23,PTS,mgm,17.5,-105.0,-125.0
CJ McCollum,WAS,@CHI,2025-11-23,PTS,mgm,16.5,-130.0,-105.0
P.J. Washington,DAL,MEM,2025-11-23,PTS,mgm,16.5,-125.0,-105.0
Cedric Coward,MEM,@DAL,2025-11-23,PTS,mgm,15.5,-105.0,-125.0
Kyshawn George,WAS,@CHI,2025-11-23,PTS,mgm,15.5,-110.0,-120.0
Bobby Portis,MIL,DET,2025-11-23,PTS,mgm,14.5,-120.0,-110.0
Ayo Dosunmu,CHI,WAS,2025-11-23,PTS,mgm,13.5,-115.0,-118.0
Kyle Kuzma,MIL,DET,2025-11-23,PTS,mgm,14.5,-105.0,-130.0
Myles Turner,MIL,DET,2025-11-23,PTS,mgm,14.5,-110.0,-120.0
Russell Westbrook,SAC,@DEN,2025-11-23,PTS,mgm,13.5,-115.0,-118.0
Matas Buzelis,CHI,WAS,2025-11-23,PTS,mgm,12.5,-125.0,-105.0
Zach Edey,MEM,@DAL,2025-11-23,PTS,mgm,12.5,-115.0,-115.0
Cameron Johnson,DEN,SAC,2025-11-23,PTS,mgm,13.5,-110.0,-118.0
Max Christie,DAL,MEM,2025-11-23,PTS,mgm,11.5,-130.0,-105.0
Bilal Coulibaly,WAS,@CHI,2025-11-23,PTS,mgm,11.5,-125.0,-105.0
Tim Hardaway,DEN,SAC,2025-11-23,PTS,mgm,11.5,-125.0,-105.0
Kevin Huerter,CHI,WAS,2025-11-23,PTS,mgm,12.5,-110.0,-120.0
Naji Marshall,DAL,MEM,2025-11-23,PTS,mgm,12.5,-110.0,-120.0
Malik Monk,SAC,@DEN,2025-11-23,PTS,mgm,11.5,-110.0,-120.0
Keegan Murray,SAC,@DEN,2025-11-23,PTS,mgm,11.5,-105.0,-130.0
Dennis Schroder,SAC,@DEN,2025-11-23,PTS,mgm,11.5,-110.0,-120.0
Gary Trent,MIL,DET,2025-11-23,PTS,mgm,11.5,-110.0,-120.0
Jaylen Wells,MEM,@DAL,2025-11-23,PTS,mgm,10.5,-135.0,100.0
Vince Williams,MEM,@DAL,2025-11-23,PTS,mgm,11.5,-130.0,100.0
Daniel Gafford,DAL,MEM,2025-11-23,PTS,mgm,10.5,-120.0,-110.0
Tobias Harris,DET,@MIL,2025-11-23,PTS,mgm,10.5,-110.0,-120.0
Klay Thompson,DAL,MEM,2025-11-23,PTS,mgm,11.5,100.0,-135.0
Duncan Robinson,DET,@MIL,2025-11-23,PTS,mgm,9.5,-125.0,-110.0
Cam Spencer,MEM,@DAL,2025-11-23,PTS,mgm,10.5,-110.0,-118.0
Ausar Thompson,DET,@MIL,2025-11-23,PTS,mgm,9.5,-115.0,-115.0
Cole Anthony,MIL,DET,2025-11-23,PTS,mgm,9.5,-105.0,-130.0
AJ Green,MIL,DET,2025-11-23,PTS,mgm,9.5,-110.0,-120.0
Jalen Smith,CHI,WAS,2025-11-23,PTS,mgm,8.5,-140.0,105.0
Bruce Brown,DEN,SAC,2025-11-23,PTS,mgm,8.5,-115.0,-118.0
Kentavious Caldwell-Pope,MEM,@DAL,2025-11-23,PTS,mgm,6.5,-145.0,110.0
Drew Eubanks,SAC,@DEN,2025-11-23,PTS,mgm,7.5,-110.0,-120.0
Jock Landale,MEM,@DAL,2025-11-23,PTS,mgm,8.5,-130.0,-105.0
Jonas Valanciunas,DEN,SAC,2025-11-23,PTS,mgm,8.5,105.0,-140.0
Corey Kispert,WAS,@CHI,2025-11-23,PTS,mgm,7.5,-125.0,-105.0
Isaiah Stewart,DET,@MIL,2025-11-23,PTS,mgm,7.5,-118.0,-110.0
Precious Achiuwa,SAC,@DEN,2025-11-23,PTS,mgm,5.5,-130.0,100.0
Caris LeVert,DET,@MIL,2025-11-23,PTS,mgm,6.5,-135.0,100.0
John Konchar,MEM,@DAL,2025-11-23,PTS,mgm,4.5,105.0,-140.0
Nikola Jokic,DEN,SAC,2025-11-23,PTS,mgm,29.5,,
Cade Cunningham,DET,@MIL,2025-11-23,PTS,mgm,26.5,,
Jamal Murray,DEN,SAC,2025-11-23,PTS,mgm,23.5,,
Ryan Rollins,MIL,DET,2025-11-23,PTS,mgm,20.5,,
Coby White,CHI,WAS,2025-11-23,PTS,mgm,20.5,,
Josh Giddey,CHI,WAS,2025-11-23,PTS,mgm,19.5,,
Zach LaVine,SAC,@DEN,2025-11-23,PTS,mgm,18.5,,
Santi Aldama,MEM,@DAL,2025-11-23,PTS,mgm,16.5,,
DeMar DeRozan,SAC,@DEN,2025-11-23,PTS,mgm,17.5,,
Jalen Duren,DET,@MIL,2025-11-23,PTS,mgm,17.5,,
Alex Sarr,WAS,@CHI,2025-11-23,PTS,mgm,16.5,,
Nikola Vucevic,CHI,WAS,2025-11-23,PTS,mgm,17.5,,
Cooper Flagg,DAL,MEM,2025-11-23,PTS,mgm,17.5,,
