player,may_not_play,injury_prob
G. Niang,1.0,1.0
K. Anderson,1.0,0.5
K. Filipowski,1.0,0.5
T. Hendricks,1.0,0.5
W. Kessler,0.0,0.0
G. Vincent,1.0,0.5
L. James,1.0,0.5
G. Allen,1.0,1.0
J. Green,1.0,1.0
B. Wesley,1.0,1.0
D. Lillard,0.0,0.0
J. Holiday,1.0,0.5
M. Thybulle,1.0,1.0
S. Henderson,1.0,1.0
B. Hield,0.0,0.25
D. Melton,1.0,1.0
J. Kuminga,1.0,1.0
J. Suggs,1.0,0.5
M. Wagner,1.0,1.0
P. Banchero,1.0,1.0
J. Tatum,1.0,1.0
A. Thompson,1.0,0.5
B. Klintman,1.0,1.0
C. Cunningham,1.0,0.5
Jaden Ivey,1.0,1.0
M. Sasser,1.0,1.0
T. Harris,1.0,0.5
K. Porzingis,1.0,0.5
O. Okongwu,1.0,0.5
Trae Young,1.0,1.0
Z. Risacher,1.0,0.5
Ben Saraf,1.0,1.0
Cam Thomas,1.0,1.0
H. Highsmith,1.0,1.0
B. Clarke,1.0,1.0
J. Small,1.0,1.0
Ja Morant,1.0,1.0
S. Pippen,1.0,1.0
Ty Jerome,1.0,1.0
D. Harper,1.0,1.0
J. McLaughlin,1.0,1.0
S. Castle,1.0,1.0
V. Wembanyama,1.0,1.0
