player,team,is_starter,start_prob
Dyson Daniels,ATL,1,0.7
N. Alexander-Walker,ATL,1,0.7
Z. Risacher,ATL,1,0.7
Jalen Johnson,ATL,1,0.7
N. Dante,ATL,1,0.42
C. Cunningham,DET,1,0.7
A. Thompson,DET,1,0.7
Tobias Harris,DET,1,0.7
D. Robinson,DET,1,0.42
D. Garland,CLE,1,0.7
D. Mitchell,CLE,1,0.7
Jaylon Tyson,CLE,1,0.7
D. Hunter,CLE,1,0.7
Evan Mobley,CLE,1,0.7
A. Nembhard,IND,1,0.7
Ben Sheppard,IND,1,0.7
B. Mathurin,IND,1,0.7
Pascal Siakam,IND,1,0.7
Jay Huff,IND,1,0.7
Kevin Porter,MIL,1,0.7
Ryan Rollins,MIL,1,0.7
AJ Green,MIL,1,0.7
Myles Turner,MIL,1,0.7
CJ McCollum,WAS,1,0.7
K. George,WAS,1,0.7
B. Coulibaly,WAS,1,0.7
K. Middleton,WAS,1,0.7
James Harden,LAC,1,0.7
Kris Dunn,LAC,1,0.7
Kawhi Leonard,LAC,1,0.7
John Collins,LAC,1,0.7
Ivica Zubac,LAC,1,0.7
Tyler Herro,MIA,1,0.7
Norman Powell,MIA,1,0.7
A. Wiggins,MIA,1,0.7
Bam Adebayo,MIA,1,0.7
LaMelo Ball,CHA,1,0.7
Kon Knueppel,CHA,1,0.7
B. Miller,CHA,1,0.7
Miles Bridges,CHA,1,0.7
R. Kalkbrenner,CHA,1,0.7
Egor Demin,BKN,1,0.7
Tyrese Martin,BKN,1,0.7
M. Porter,BKN,1,0.7
Noah Clowney,BKN,1,0.7
Nic Claxton,BKN,1,0.7
Josh Giddey,CHI,1,0.7
Kevin Huerter,CHI,1,0.7
Matas Buzelis,CHI,1,0.7
N. Vucevic,CHI,1,0.7
Jalen Suggs,ORL,1,0.7
Desmond Bane,ORL,1,0.7
Franz Wagner,ORL,1,0.7
T. da Silva,ORL,1,0.7
W. Carter,ORL,1,0.7
Ryan Nembhard,DAL,1,0.7
Max Christie,DAL,1,0.7
Cooper Flagg,DAL,1,0.7
Jamal Murray,DEN,1,0.7
C. Johnson,DEN,1,0.7
Spencer Jones,DEN,1,0.7
Peyton Watson,DEN,1,0.7
Amen Thompson,HOU,1,0.7
Reed Sheppard,HOU,1,0.7
Kevin Durant,HOU,1,0.7
Jabari Smith,HOU,1,0.7
A. Sengun,HOU,1,0.7
S. Mykhailiuk,UTA,1,0.7
Ace Bailey,UTA,1,0.7
L. Markkanen,UTA,1,0.7
Jusuf Nurkic,UTA,1,0.7
Devin Booker,PHX,1,0.7
Grayson Allen,PHX,1,0.7
Dillon Brooks,PHX,1,0.7
Royce O'Neale,PHX,1,0.7
Mark Williams,PHX,1,0.7
Luka Doncic,LAL,1,0.7
Austin Reaves,LAL,1,0.7
Rui Hachimura,LAL,1,0.7
