player,may_not_play,injury_prob
B. Beal,0.0,0.0
K. Leonard,1.0,1.0
J. Tatum,1.0,1.0
D. Sabonis,1.0,0.5
K. Murray,1.0,1.0
P. Achiuwa,1.0,0.5
D. Harper,1.0,1.0
V. Wembanyama,1.0,0.5
Cam Thomas,1.0,1.0
H. Highsmith,1.0,1.0
B. Coulibaly,1.0,0.5
D. Melton,1.0,1.0
J. Kuminga,1.0,1.0
M. Wagner,1.0,1.0
P. Banchero,1.0,1.0
D. Finney-Smith,1.0,1.0
F. VanVleet,1.0,1.0
Tari Eason,1.0,1.0
D. Murray,1.0,1.0
J. Poole,1.0,1.0
Z. Williamson,1.0,0.5
B. Wesley,1.0,1.0
D. Lillard,0.0,0.0
M. Thybulle,1.0,1.0
S. Henderson,1.0,1.0
A. Davis,1.0,0.5
Dante Exum,1.0,1.0
K. Irving,1.0,1.0
P. Washington,0.0,0.25
R. Nembhard,1.0,1.0
Trae Young,1.0,1.0
C. White,1.0,0.5
J. Giddey,0.0,0.25
T. Jones,1.0,0.5
Z. Collins,1.0,1.0
G. Allen,1.0,1.0
J. Green,1.0,1.0
G. Niang,1.0,1.0
K. Anderson,1.0,0.5
T. Hendricks,1.0,1.0
W. Kessler,0.0,0.0
