player,team,opponent,game_date,market,book,line,over_odds,under_odds
Giannis Antetokounmpo,MIL,@CLE,2025-11-17,PTS,mgm,31.5,-110.0,-120.0
Shai Gilgeous-Alexander,OKC,@NOP,2025-11-17,PTS,mgm,30.5,-120.0,-110.0
Tyrese Maxey,PHI,LAC,2025-11-17,PTS,mgm,29.5,-140.0,105.0
Karl-Anthony Towns,NYK,@MIA,2025-11-17,PTS,mgm,29.5,100.0,-135.0
Anthony Edwards,MIN,DAL,2025-11-17,PTS,mgm,26.5,-125.0,-105.0
Donovan Mitchell,CLE,MIL,2025-11-17,PTS,mgm,27.5,-150.0,110.0
Cade Cunningham,DET,IND,2025-11-17,PTS,mgm,27.5,-118.0,-110.0
James Harden,LAC,@PHI,2025-11-17,PTS,mgm,27.5,-115.0,-115.0
Nikola Jokic,DEN,CHI,2025-11-17,PTS,mgm,27.5,-115.0,-118.0
Norman Powell,MIA,NYK,2025-11-17,PTS,mgm,25.5,-130.0,100.0
Julius Randle,MIN,DAL,2025-11-17,PTS,mgm,23.5,-105.0,-125.0
Pascal Siakam,IND,@DET,2025-11-17,PTS,mgm,23.5,-118.0,-110.0
Jamal Murray,DEN,CHI,2025-11-17,PTS,mgm,22.5,-130.0,-105.0
Josh Giddey,CHI,@DEN,2025-11-17,PTS,mgm,21.5,100.0,-130.0
LaMelo Ball,CHA,@TOR,2025-11-17,PTS,mgm,20.5,-110.0,-120.0
Miles Bridges,CHA,@TOR,2025-11-17,PTS,mgm,20.5,-110.0,-120.0
Brandon Ingram,TOR,CHA,2025-11-17,PTS,mgm,20.5,-118.0,-110.0
RJ Barrett,TOR,CHA,2025-11-17,PTS,mgm,18.5,-125.0,-110.0
Mikal Bridges,NYK,@MIA,2025-11-17,PTS,mgm,19.5,-115.0,-115.0
Jalen Duren,DET,IND,2025-11-17,PTS,mgm,19.5,-105.0,-125.0
Evan Mobley,CLE,MIL,2025-11-17,PTS,mgm,19.5,-110.0,-120.0
Scottie Barnes,TOR,CHA,2025-11-17,PTS,mgm,18.5,-110.0,-118.0
Aaron Gordon,DEN,CHI,2025-11-17,PTS,mgm,18.5,-125.0,-110.0
Chet Holmgren,OKC,@NOP,2025-11-17,PTS,mgm,18.5,-110.0,-118.0
De'Andre Hunter,CLE,MIL,2025-11-17,PTS,mgm,17.5,-120.0,-110.0
Andrew Nembhard,IND,@DET,2025-11-17,PTS,mgm,18.5,-105.0,-125.0
Andrew Wiggins,MIA,NYK,2025-11-17,PTS,mgm,18.5,-115.0,-118.0
Zion Williamson,NOP,OKC,2025-11-17,PTS,mgm,18.5,-105.0,-130.0
Kon Knueppel,CHA,@TOR,2025-11-17,PTS,mgm,17.5,110.0,-150.0
Bennedict Mathurin,IND,@DET,2025-11-17,PTS,mgm,16.5,-120.0,-110.0
Trey Murphy,NOP,OKC,2025-11-17,PTS,mgm,17.5,-115.0,-118.0
Ivica Zubac,LAC,@PHI,2025-11-17,PTS,mgm,17.5,-105.0,-125.0
John Collins,LAC,@PHI,2025-11-17,PTS,mgm,15.5,-118.0,-115.0
Cooper Flagg,DAL,@MIN,2025-11-17,PTS,mgm,15.5,-120.0,-110.0
Jaime Jaquez,MIA,NYK,2025-11-17,PTS,mgm,16.5,-125.0,-105.0
