game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,MIA,AWAY,CONFIRMED,"['D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'Bam Adebayo', ""Kel'el Ware""]","['T. Herro', 'N. Jovic', 'A. Wiggins', 'T. Rozier', 'Tyrese Maxey', 'Q. Grimes', 'J. Edwards', 'Paul George', 'A. Drummond']",9,1,D. Mitchell,Norman Powell,Pelle Larsson,Bam Adebayo,Kel'el Ware
,PHI,HOME,CONFIRMED,"['Tyrese Maxey', 'Q. Grimes', 'J. Edwards', 'Paul George', 'A. Drummond']","['V. Edgecombe', 'J. Embiid', 'Adem Bona', 'K. Oubre', 'Collin Sexton', 'Kon Knueppel', 'Sion James', 'Miles Bridges', 'R. Kalkbrenner']",9,1,Tyrese Maxey,Q. Grimes,J. Edwards,Paul George,A. Drummond
,CHA,AWAY,EXPECTED,"['Collin Sexton', 'Kon Knueppel', 'Sion James', 'Miles Bridges', 'Collin Sexton']","['T. Mann', 'R. Kalkbrenner', 'L. Ball', 'P. Connaughton', 'Josh Green', 'B. Miller', 'G. Williams', 'Dyson Daniels', 'N. Alexander-Walker', 'Z. Risacher', 'Jalen Johnson', 'O. Okongwu']",12,0,Collin Sexton,Kon Knueppel,Sion James,Miles Bridges,Collin Sexton
,ATL,HOME,EXPECTED,"['Dyson Daniels', 'N. Alexander-Walker', 'Z. Risacher', 'Jalen Johnson', 'Dyson Daniels']","['L. Kennard', 'O. Okongwu', 'N. Dante', 'N. Durisic', 'K. Porzingis', 'Trae Young', 'Anthony Black', 'Desmond Bane', 'Franz Wagner', 'T. da Silva', 'W. Carter']",11,0,Dyson Daniels,N. Alexander-Walker,Z. Risacher,Jalen Johnson,Dyson Daniels
,ORL,AWAY,EXPECTED,"['Anthony Black', 'Desmond Bane', 'Franz Wagner', 'T. da Silva', 'Anthony Black']","['W. Carter', 'P. Banchero', 'J. Suggs', 'M. Wagner', 'Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Neemias Queta']",9,0,Anthony Black,Desmond Bane,Franz Wagner,T. da Silva,Anthony Black
,BOS,HOME,EXPECTED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Neemias Queta']","['J. Tatum', 'James Harden', 'Kris Dunn', 'Kawhi Leonard', 'John Collins', 'Ivica Zubac']",6,0,Derrick White,P. Pritchard,Jaylen Brown,Jordan Walsh,Neemias Queta
,LAC,AWAY,EXPECTED,"['James Harden', 'Kris Dunn', 'Kawhi Leonard', 'John Collins', 'Ivica Zubac']","['B. Beal', 'B. Bogdanovic', 'D. Jones', 'J. Miller', 'D. Garland', 'D. Mitchell', 'Jaylon Tyson', 'D. Hunter', 'Evan Mobley']",9,0,James Harden,Kris Dunn,Kawhi Leonard,John Collins,Ivica Zubac
,CLE,HOME,EXPECTED,"['D. Garland', 'D. Mitchell', 'Jaylon Tyson', 'D. Hunter', 'Evan Mobley']","['J. Allen', 'Lonzo Ball', 'S. Merrill', 'C. Porter', 'Max Strus', 'E. Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'N. Claxton']",10,0,D. Garland,D. Mitchell,Jaylon Tyson,D. Hunter,Evan Mobley
,BKN,AWAY,EXPECTED,"['Terance Mann', 'M. Porter', 'Noah Clowney', 'E. Demin', 'Terance Mann']","['N. Claxton', 'E. Demin', 'H. Highsmith', 'Ben Saraf', 'Cam Thomas', 'I. Quickley', 'B. Ingram', 'RJ Barrett', 'S. Barnes', 'S. Mamukelashvili']",10,0,Terance Mann,M. Porter,Noah Clowney,E. Demin,Terance Mann
,TOR,HOME,EXPECTED,"['I. Quickley', 'B. Ingram', 'RJ Barrett', 'S. Barnes', 'S. Mamukelashvili']","['C. Murray-Boyles', 'J. Poeltl', 'Deni Avdija', 'T. Camara', 'Sidy Cissoko', 'Jerami Grant', 'D. Clingan']",7,0,I. Quickley,B. Ingram,RJ Barrett,S. Barnes,S. Mamukelashvili
