game_time,team,side,position,player,status,title_text,likelihood_pct
1:00 PM ET,MIA,AWAY,F,A. Wiggins,Ques,Very Likely To Play,100
1:00 PM ET,MIA,AWAY,F,N. Jovic,Ques,Very Likely To Play,100
1:00 PM ET,MIA,AWAY,G,T. Herro,Ques,Very Likely To Play,100
1:00 PM ET,MIA,AWAY,G,T. Rozier,Out,Very Unlikely To Play,0
1:00 PM ET,PHI,HOME,C,Adem Bona,Out,Very Unlikely To Play,0
1:00 PM ET,PHI,HOME,C,J. Embiid,Ques,Very Likely To Play,100
1:00 PM ET,PHI,HOME,F,K. Oubre,Out,Very Unlikely To Play,0
1:00 PM ET,PHI,HOME,G,V. Edgecombe,Ques,Very Likely To Play,100
6:00 PM ET,BKN,AWAY,G,Ben Saraf,Out,Very Unlikely To Play,0
6:00 PM ET,BKN,AWAY,G,Cam Thomas,Out,Very Unlikely To Play,0
6:00 PM ET,BKN,AWAY,G,E. Demin,Prob,Likely To Play,75
6:00 PM ET,BKN,AWAY,F,H. Highsmith,Out,Very Unlikely To Play,0
6:00 PM ET,BKN,AWAY,C,N. Claxton,Prob,Likely To Play,75
6:00 PM ET,CHA,AWAY,F,B. Miller,Out,Very Unlikely To Play,0
6:00 PM ET,CHA,AWAY,F,G. Williams,Out,Very Unlikely To Play,0
6:00 PM ET,CHA,AWAY,F,Josh Green,Out,Very Unlikely To Play,0
6:00 PM ET,CHA,AWAY,G,L. Ball,Out,Very Unlikely To Play,0
6:00 PM ET,CHA,AWAY,F,P. Connaughton,Out,Very Unlikely To Play,0
6:00 PM ET,CHA,AWAY,C,R. Kalkbrenner,Ques,Toss Up To Play,50
6:00 PM ET,CHA,AWAY,G,T. Mann,Prob,Likely To Play,75
6:00 PM ET,LAC,AWAY,G,B. Beal,OFS,Very Likely To Play,0
6:00 PM ET,LAC,AWAY,G,B. Bogdanovic,Ques,Toss Up To Play,50
6:00 PM ET,LAC,AWAY,F,D. Jones,Out,Very Unlikely To Play,0
6:00 PM ET,LAC,AWAY,G,J. Miller,Out,Very Unlikely To Play,0
6:00 PM ET,ORL,AWAY,G,J. Suggs,Out,Very Unlikely To Play,0
6:00 PM ET,ORL,AWAY,C,M. Wagner,Out,Very Unlikely To Play,0
6:00 PM ET,ORL,AWAY,F,P. Banchero,Out,Very Unlikely To Play,0
6:00 PM ET,ORL,AWAY,C,W. Carter,Ques,Toss Up To Play,50
6:00 PM ET,ATL,HOME,C,K. Porzingis,Out,Very Unlikely To Play,0
6:00 PM ET,ATL,HOME,G,L. Kennard,Ques,Toss Up To Play,50
6:00 PM ET,ATL,HOME,C,N. Dante,Out,Very Unlikely To Play,0
6:00 PM ET,ATL,HOME,F,N. Durisic,Out,Very Unlikely To Play,0
6:00 PM ET,ATL,HOME,C,O. Okongwu,Ques,Toss Up To Play,50
6:00 PM ET,ATL,HOME,G,Trae Young,Out,Very Unlikely To Play,0
6:00 PM ET,BOS,HOME,F,J. Tatum,Out,Very Unlikely To Play,0
6:00 PM ET,CLE,HOME,G,C. Porter,Out,Very Unlikely To Play,0
6:00 PM ET,CLE,HOME,C,J. Allen,Out,Very Unlikely To Play,0
6:00 PM ET,CLE,HOME,G,Lonzo Ball,Out,Very Unlikely To Play,0
6:00 PM ET,CLE,HOME,F,Max Strus,Out,Very Unlikely To Play,0
6:00 PM ET,CLE,HOME,G,S. Merrill,Out,Very Unlikely To Play,0
6:00 PM ET,TOR,HOME,F,C. Murray-Boyles,Ques,Toss Up To Play,50
6:00 PM ET,TOR,HOME,C,J. Poeltl,Out,Very Unlikely To Play,0
7:00 PM ET,POR,AWAY,G,B. Wesley,Out,Very Unlikely To Play,0
7:00 PM ET,POR,AWAY,C,D. Clingan,Ques,Toss Up To Play,50
7:00 PM ET,POR,AWAY,G,D. Lillard,OFS,Very Likely To Play,0
7:00 PM ET,POR,AWAY,G,J. Holiday,Out,Very Unlikely To Play,0
7:00 PM ET,POR,AWAY,F,M. Thybulle,Out,Very Unlikely To Play,0
7:00 PM ET,POR,AWAY,C,R. Williams,Ques,Toss Up To Play,50
7:00 PM ET,POR,AWAY,G,S. Henderson,Out,Very Unlikely To Play,0
7:00 PM ET,POR,AWAY,G,S. Sharpe,Out,Very Unlikely To Play,0
7:00 PM ET,OKC,HOME,F,A. Wiggins,Out,Very Unlikely To Play,0
7:00 PM ET,OKC,HOME,F,J. Williams,Out,Very Unlikely To Play,0
7:00 PM ET,OKC,HOME,F,K. Williams,Out,Very Unlikely To Play,0
7:00 PM ET,OKC,HOME,G,N. Topic,Out,Very Unlikely To Play,0
7:00 PM ET,OKC,HOME,C,T. Sorber,OFS,Very Likely To Play,0
8:00 PM ET,SAS,AWAY,G,D. Harper,Out,Very Unlikely To Play,0
8:00 PM ET,SAS,AWAY,G,J. McLaughlin,Out,Very Unlikely To Play,0
8:00 PM ET,SAS,AWAY,G,S. Castle,Out,Very Unlikely To Play,0
8:00 PM ET,SAS,AWAY,C,V. Wembanyama,Out,Very Unlikely To Play,0
8:00 PM ET,PHX,HOME,G,G. Allen,Out,Very Unlikely To Play,0
8:00 PM ET,PHX,HOME,G,J. Green,Out,Very Unlikely To Play,0
8:00 PM ET,PHX,HOME,F,R. Dunn,Ques,Toss Up To Play,50
8:00 PM ET,PHX,HOME,F,R. Fleming,Ques,Toss Up To Play,50
8:00 PM ET,UTA,HOME,F,G. Niang,Out,Very Unlikely To Play,0
8:00 PM ET,UTA,HOME,C,W. Kessler,OFS,Very Likely To Play,0
