game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,BOS,AWAY,EXPECTED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Josh Minott', 'Neemias Queta']","['J. Tatum', 'X. Tillman', 'Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']",7,0,Derrick White,P. Pritchard,Jaylen Brown,Josh Minott,Neemias Queta
,ORL,HOME,EXPECTED,"['Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']","['M. Wagner', 'D. Garland', 'D. Mitchell', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen']",6,0,Jalen Suggs,Desmond Bane,Franz Wagner,P. Banchero,W. Carter
,CLE,AWAY,EXPECTED,"['D. Garland', 'D. Mitchell', 'Evan Mobley', 'Jarrett Allen', 'D. Garland']","['D. Hunter', 'Lonzo Ball', 'Max Strus', 'Dean Wade', 'CJ McCollum', 'K. George', 'K. Middleton', 'J. Champagnie', 'Alex Sarr']",9,0,D. Garland,D. Mitchell,Evan Mobley,Jarrett Allen,D. Garland
,WAS,HOME,EXPECTED,"['CJ McCollum', 'K. George', 'K. Middleton', 'J. Champagnie', 'Alex Sarr']","['B. Coulibaly', 'I. Quickley', 'RJ Barrett', 'B. Ingram', 'S. Barnes', 'Jakob Poeltl']",6,0,CJ McCollum,K. George,K. Middleton,J. Champagnie,Alex Sarr
,TOR,AWAY,EXPECTED,"['I. Quickley', 'RJ Barrett', 'B. Ingram', 'S. Barnes', 'Jakob Poeltl']","['N. Alexander-Walker', 'Dyson Daniels', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']",5,0,I. Quickley,RJ Barrett,B. Ingram,S. Barnes,Jakob Poeltl
,ATL,HOME,EXPECTED,"['N. Alexander-Walker', 'Dyson Daniels', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']","['N. Durisic', 'Trae Young', 'C. Cunningham', 'D. Robinson', 'A. Thompson', 'I. Stewart', 'Jalen Duren']",7,0,N. Alexander-Walker,Dyson Daniels,Z. Risacher,Jalen Johnson,K. Porzingis
,DET,AWAY,EXPECTED,"['C. Cunningham', 'D. Robinson', 'A. Thompson', 'I. Stewart', 'Jalen Duren']","['C. LeVert', 'T. Harris', 'Jaden Ivey', 'M. Sasser', 'Egor Demin', 'T. Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']",9,0,C. Cunningham,D. Robinson,A. Thompson,I. Stewart,Jalen Duren
,BKN,HOME,EXPECTED,"['Egor Demin', 'M. Porter', 'Noah Clowney', 'Nic Claxton', 'Egor Demin']","['T. Mann', 'H. Highsmith', 'D. Powell', 'Cam Thomas', 'Amen Thompson', 'Josh Okogie', 'Kevin Durant', 'Jabari Smith', 'A. Sengun']",9,0,Egor Demin,M. Porter,Noah Clowney,Nic Claxton,Egor Demin
,HOU,AWAY,EXPECTED,"['Amen Thompson', 'Josh Okogie', 'Kevin Durant', 'Jabari Smith', 'A. Sengun']","['S. Adams', 'D. Finney-Smith', 'F. VanVleet', 'S. Castle', 'Devin Vassell', 'J. Champagnie', 'H. Barnes', 'V. Wembanyama']",8,0,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith,A. Sengun
,SAS,HOME,EXPECTED,"['S. Castle', 'Devin Vassell', 'J. Champagnie', 'H. Barnes', 'V. Wembanyama']","['K. Olynyk', 'J. Sochan', 'D. Fox', 'D. Harper', 'L. Kornet', 'L. Ball', 'C. Sexton', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner']",10,0,S. Castle,Devin Vassell,J. Champagnie,H. Barnes,V. Wembanyama
,CHA,AWAY,EXPECTED,"['Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner', 'L. Ball', 'C. Sexton']","['C. Sexton', 'L. Ball', 'Josh Green', 'B. Miller', 'G. Williams', 'D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]",10,0,Kon Knueppel,Miles Bridges,R. Kalkbrenner,L. Ball,C. Sexton
,MIA,HOME,EXPECTED,"['D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]","['B. Adebayo', 'T. Herro', 'T. Rozier', 'Tre Jones', 'Josh Giddey', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']",8,0,D. Mitchell,Norman Powell,Pelle Larsson,A. Wiggins,Kel'el Ware
,CHI,AWAY,EXPECTED,"['Tre Jones', 'Josh Giddey', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']","['A. Dosunmu', 'Z. Collins', 'Coby White', 'Ryan Rollins', 'AJ Green', 'Gary Trent', 'G. Antetokounmpo', 'Myles Turner']",8,0,Tre Jones,Josh Giddey,Isaac Okoro,Matas Buzelis,N. Vucevic
,MIL,HOME,EXPECTED,"['Ryan Rollins', 'AJ Green', 'Gary Trent', 'G. Antetokounmpo', 'Myles Turner']","['T. Prince', 'K. Porter', 'K. George', 'S. Mykhailiuk', 'L. Markkanen', 'T. Hendricks', 'Jusuf Nurkic']",7,0,Ryan Rollins,AJ Green,Gary Trent,G. Antetokounmpo,Myles Turner
