game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,DAL,AWAY,EXPECTED,"['D. Russell', 'Cooper Flagg', 'P. Washington', 'D. Gafford', 'D. Russell']","['A. Davis', 'Dante Exum', 'K. Irving', 'D. Lively', 'CJ McCollum', 'K. George', 'K. Middleton', 'B. Coulibaly', 'Alex Sarr']",9,0,D. Russell,Cooper Flagg,P. Washington,D. Gafford,D. Russell
,WAS,HOME,EXPECTED,"['CJ McCollum', 'K. Middleton', 'Alex Sarr', 'CJ McCollum', 'K. George']","['B. Coulibaly', 'K. George', 'I. Quickley', 'RJ Barrett', 'B. Ingram', 'S. Barnes', 'Jakob Poeltl']",7,0,CJ McCollum,K. Middleton,Alex Sarr,CJ McCollum,K. George
,TOR,AWAY,EXPECTED,"['I. Quickley', 'RJ Barrett', 'B. Ingram', 'S. Barnes', 'Jakob Poeltl']","['Tyrese Maxey', 'VJ Edgecombe', 'Kelly Oubre', 'Jabari Walker', 'Joel Embiid']",5,0,I. Quickley,RJ Barrett,B. Ingram,S. Barnes,Jakob Poeltl
,PHI,HOME,EXPECTED,"['Tyrese Maxey', 'VJ Edgecombe', 'Kelly Oubre', 'Jabari Walker', 'Joel Embiid']","['D. Barlow', 'P. George', 'Luka Doncic', 'Jake LaRavia', 'Marcus Smart', 'Rui Hachimura', 'Deandre Ayton']",7,0,Tyrese Maxey,VJ Edgecombe,Kelly Oubre,Jabari Walker,Joel Embiid
,LAL,AWAY,EXPECTED,"['Luka Doncic', 'Jake LaRavia', 'Marcus Smart', 'Rui Hachimura', 'Deandre Ayton']","['M. Kleber', 'L. James', 'A. Reaves', 'A. Thiero', 'G. Vincent', 'N. Alexander-Walker', 'Dyson Daniels', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']",10,0,Luka Doncic,Jake LaRavia,Marcus Smart,Rui Hachimura,Deandre Ayton
,ATL,HOME,EXPECTED,"['N. Alexander-Walker', 'Dyson Daniels', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']","['N. Durisic', 'L. Kennard', 'Trae Young', 'Tre Jones', 'Josh Giddey', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']",8,0,N. Alexander-Walker,Dyson Daniels,Z. Risacher,Jalen Johnson,K. Porzingis
,CHI,AWAY,EXPECTED,"['Tre Jones', 'Josh Giddey', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']","['Z. Collins', 'Coby White', 'D. Garland', 'D. Mitchell', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen']",7,0,Tre Jones,Josh Giddey,Isaac Okoro,Matas Buzelis,N. Vucevic
,CLE,HOME,EXPECTED,"['D. Garland', 'D. Mitchell', 'Evan Mobley', 'Jarrett Allen', 'D. Garland']","['Lonzo Ball', 'Max Strus', 'Dean Wade', 'Jrue Holiday', 'S. Sharpe', 'T. Camara', 'Deni Avdija', 'D. Clingan']",8,0,D. Garland,D. Mitchell,Evan Mobley,Jarrett Allen,D. Garland
,POR,AWAY,EXPECTED,"['Jrue Holiday', 'T. Camara', 'Deni Avdija', 'D. Clingan', 'Jrue Holiday']","['D. Lillard', 'S. Sharpe', 'S. Henderson', 'M. Thybulle', 'B. Wesley', 'D. Mitchell', 'N. Powell', 'Pelle Larsson', 'A. Wiggins', 'B. Adebayo']",10,0,Jrue Holiday,T. Camara,Deni Avdija,D. Clingan,Jrue Holiday
,MIA,HOME,EXPECTED,"['D. Mitchell', 'N. Powell', 'Pelle Larsson', 'A. Wiggins', 'J. Jaquez']","['J. Jaquez', 'N. Powell', 'B. Adebayo', 'T. Herro', 'T. Rozier', 'J. Fears', 'Trey Murphy', 'Saddiq Bey', 'Herbert Jones', 'Kevon Looney']",10,0,D. Mitchell,N. Powell,Pelle Larsson,A. Wiggins,J. Jaquez
,NOP,AWAY,EXPECTED,"['J. Fears', 'Trey Murphy', 'Saddiq Bey', 'Herbert Jones', 'Kevon Looney']","['Yves Missi', 'D. Murray', 'J. Poole', 'Z. Williamson', 'D. Fox', 'S. Castle', 'Devin Vassell', 'H. Barnes', 'V. Wembanyama']",9,0,J. Fears,Trey Murphy,Saddiq Bey,Herbert Jones,Kevon Looney
