game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,LAC,AWAY,EXPECTED,"['James Harden', 'Kris Dunn', 'Kobe Sanders', 'John Collins', 'Ivica Zubac']","['B. Beal', 'D. Jones', 'K. Leonard', 'J. Miller', 'Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'T. da Silva', 'W. Carter']",9,0,James Harden,Kris Dunn,Kobe Sanders,John Collins,Ivica Zubac
,ORL,HOME,EXPECTED,"['Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'T. da Silva', 'W. Carter']","['P. Banchero', 'M. Wagner', 'Tyrese Maxey', 'VJ Edgecombe', 'P. George', 'D. Barlow', 'J. Embiid']",7,0,Jalen Suggs,Desmond Bane,Franz Wagner,T. da Silva,W. Carter
,PHI,AWAY,EXPECTED,"['Tyrese Maxey', 'VJ Edgecombe', 'D. Barlow', 'Tyrese Maxey', 'VJ Edgecombe']","['P. George', 'J. Embiid', 'Adem Bona', 'K. Oubre', 'Ryan Rollins', 'AJ Green', 'Gary Trent', 'Kyle Kuzma', 'Myles Turner']",9,0,Tyrese Maxey,VJ Edgecombe,D. Barlow,Tyrese Maxey,VJ Edgecombe
,MIL,HOME,EXPECTED,"['Ryan Rollins', 'AJ Green', 'Gary Trent', 'Kyle Kuzma', 'Myles Turner']","['G. Harris', 'G. Antetokounmpo', 'K. Porter', 'T. Prince', 'Dyson Daniels', 'N. Alexander-Walker', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']",9,0,Ryan Rollins,AJ Green,Gary Trent,Kyle Kuzma,Myles Turner
,ATL,AWAY,EXPECTED,"['Dyson Daniels', 'N. Alexander-Walker', 'Jalen Johnson', 'Dyson Daniels', 'N. Alexander-Walker']","['K. Porzingis', 'Z. Risacher', 'Trae Young', ""De'Aaron Fox"", 'J. Champagnie', 'Devin Vassell', 'H. Barnes', 'Luke Kornet']",8,0,Dyson Daniels,N. Alexander-Walker,Jalen Johnson,Dyson Daniels,N. Alexander-Walker
,SAS,HOME,EXPECTED,"[""De'Aaron Fox"", 'J. Champagnie', 'Devin Vassell', 'H. Barnes', 'Luke Kornet']","['S. Castle', 'D. Harper', 'J. McLaughlin', 'V. Wembanyama', 'R. Westbrook', 'Zach LaVine', 'DeMar DeRozan', 'K. Murray', 'D. Sabonis']",9,0,De'Aaron Fox,J. Champagnie,Devin Vassell,H. Barnes,Luke Kornet
,SAC,AWAY,EXPECTED,"['R. Westbrook', 'Zach LaVine', 'DeMar DeRozan', 'R. Westbrook', 'Zach LaVine']","['K. Murray', 'D. Sabonis', 'V. Williams', 'Jaylen Wells', 'Cedric Coward', 'Santi Aldama', 'Zach Edey']",7,0,R. Westbrook,Zach LaVine,DeMar DeRozan,R. Westbrook,Zach LaVine
,MEM,HOME,EXPECTED,"['V. Williams', 'Jaylen Wells', 'Cedric Coward', 'Santi Aldama', 'Zach Edey']","['J. Jackson', 'B. Clarke', 'Ty Jerome', 'Ja Morant', 'S. Pippen', 'J. Small']",6,0,V. Williams,Jaylen Wells,Cedric Coward,Santi Aldama,Zach Edey
