game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,TOR,AWAY,EXPECTED,"['I. Quickley', 'RJ Barrett', 'B. Ingram', 'S. Barnes', 'Jakob Poeltl']","['S. Mamukelashvili', 'Egor Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']",6,0,I. Quickley,RJ Barrett,B. Ingram,S. Barnes,Jakob Poeltl
,BKN,HOME,EXPECTED,"['Egor Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']","['D. Sharpe', 'H. Highsmith', 'Cam Thomas', 'Ja Morant', 'K. Caldwell-Pope', 'Jaylen Wells', 'Jaren Jackson', 'Jock Landale']",8,0,Egor Demin,Terance Mann,M. Porter,Noah Clowney,Nic Claxton
,MEM,AWAY,EXPECTED,"['Ja Morant', 'K. Caldwell-Pope', 'Jaylen Wells', 'Jaren Jackson', 'Jock Landale']","['B. Clarke', 'Zach Edey', 'Ty Jerome', 'S. Pippen', 'J. Small', 'Jalen Brunson', 'Mikal Bridges', 'OG Anunoby', 'K. Towns', 'M. Robinson']",10,0,Ja Morant,K. Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale
,NYK,HOME,EXPECTED,"['Jalen Brunson', 'Mikal Bridges', 'OG Anunoby', 'K. Towns', 'Jalen Brunson']","['M. Robinson', 'Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Josh Minott', 'Neemias Queta']",6,0,Jalen Brunson,Mikal Bridges,OG Anunoby,K. Towns,Jalen Brunson
,BOS,AWAY,EXPECTED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Josh Minott', 'Neemias Queta']","['S. Hauser', 'J. Tatum', 'Tyrese Maxey', 'VJ Edgecombe', 'Kelly Oubre', 'T. Watford', 'Joel Embiid']",7,0,Derrick White,P. Pritchard,Jaylen Brown,Josh Minott,Neemias Queta
,PHI,HOME,EXPECTED,"['Tyrese Maxey', 'VJ Edgecombe', 'Kelly Oubre', 'T. Watford', 'Joel Embiid']","['D. Barlow', 'J. Broome', 'P. George', 'Stephen Curry', 'Jimmy Butler', 'J. Kuminga', 'D. Green', 'Quinten Post']",8,0,Tyrese Maxey,VJ Edgecombe,Kelly Oubre,T. Watford,Joel Embiid
,GSW,AWAY,EXPECTED,"['Stephen Curry', 'Jimmy Butler', 'J. Kuminga', 'D. Green', 'Quinten Post']","['A. Horford', 'D. Melton', 'S. Gilgeous-Alexander', 'Ajay Mitchell', 'Cason Wallace', 'Chet Holmgren', 'I. Hartenstein']",7,0,Stephen Curry,Jimmy Butler,J. Kuminga,D. Green,Quinten Post
,OKC,HOME,EXPECTED,"['S. Gilgeous-Alexander', 'Ajay Mitchell', 'Cason Wallace', 'Chet Holmgren', 'I. Hartenstein']","['T. Sorber', 'L. Dort', 'N. Topic', 'A. Wiggins', 'K. Williams', 'J. Williams', 'A. Nembhard', 'Aaron Nesmith', 'Jarace Walker', 'Pascal Siakam', 'I. Jackson']",11,0,S. Gilgeous-Alexander,Ajay Mitchell,Cason Wallace,Chet Holmgren,I. Hartenstein
,IND,AWAY,EXPECTED,"['A. Nembhard', 'Aaron Nesmith', 'Jarace Walker', 'Pascal Siakam', 'I. Jackson']","['T. Haliburton', 'T. McConnell', 'T. Peter', 'J. Furphy', 'Q. Jackson', 'Kam Jones', 'B. Mathurin', 'Obi Toppin', 'I. Collier', 'K. George', 'S. Mykhailiuk', 'L. Markkanen', 'Jusuf Nurkic']",13,0,A. Nembhard,Aaron Nesmith,Jarace Walker,Pascal Siakam,I. Jackson
,UTA,HOME,EXPECTED,"['I. Collier', 'K. George', 'S. Mykhailiuk', 'L. Markkanen', 'Jusuf Nurkic']","['K. Anderson', 'T. Hendricks', 'W. Kessler', 'G. Niang', 'J. Murray', 'C. Braun', 'C. Johnson', 'A. Gordon', 'Nikola Jokic']",9,0,I. Collier,K. George,S. Mykhailiuk,L. Markkanen,Jusuf Nurkic
,DEN,AWAY,EXPECTED,"['C. Braun', 'C. Johnson', 'Nikola Jokic', 'J. Murray', 'C. Braun']","['A. Gordon', 'J. Murray', 'D. Schroder', 'Zach LaVine', 'DeMar DeRozan', 'P. Achiuwa', 'D. Sabonis']",7,0,C. Braun,C. Johnson,Nikola Jokic,J. Murray,C. Braun
,SAC,HOME,EXPECTED,"['D. Schroder', 'Zach LaVine', 'DeMar DeRozan', 'P. Achiuwa', 'D. Schroder']","['D. Sabonis', 'K. Murray']",2,0,D. Schroder,Zach LaVine,DeMar DeRozan,P. Achiuwa,D. Schroder
