player,team,opponent,game_date,market,book,line,over_odds,under_odds
Shai Gilgeous-Alexander,OKC,SAC,2025-11-19,PTS,mgm,31.5,-105.0,-125.0
Tyrese Maxey,PHI,TOR,2025-11-19,PTS,mgm,31.5,-110.0,-120.0
Stephen Curry,GSW,@MIA,2025-11-19,PTS,mgm,29.5,-105.0,-125.0
Anthony Edwards,MIN,WAS,2025-11-19,PTS,mgm,28.5,-120.0,-110.0
Nikola Jokic,DEN,@NOP,2025-11-19,PTS,mgm,29.5,-118.0,-110.0
Donovan Mitchell,CLE,HOU,2025-11-19,PTS,mgm,28.5,-110.0,-120.0
Jalen Brunson,NYK,@DAL,2025-11-19,PTS,mgm,26.5,-110.0,-120.0
Deni Avdija,POR,CHI,2025-11-19,PTS,mgm,25.5,-115.0,-115.0
Kevin Durant,HOU,@CLE,2025-11-19,PTS,mgm,26.5,-115.0,-115.0
Shaedon Sharpe,POR,CHI,2025-11-19,PTS,mgm,25.5,-110.0,-120.0
Pascal Siakam,IND,CHA,2025-11-19,PTS,mgm,25.5,-120.0,-110.0
Jamal Murray,DEN,@NOP,2025-11-19,PTS,mgm,23.5,-115.0,-115.0
Karl-Anthony Towns,NYK,@DAL,2025-11-19,PTS,mgm,24.5,-120.0,-110.0
LaMelo Ball,CHA,@IND,2025-11-19,PTS,mgm,22.5,-125.0,-105.0
Norman Powell,MIA,GSW,2025-11-19,PTS,mgm,23.5,-115.0,-115.0
Julius Randle,MIN,WAS,2025-11-19,PTS,mgm,23.5,-105.0,-130.0
Alperen Sengun,HOU,@CLE,2025-11-19,PTS,mgm,22.5,-110.0,-120.0
Miles Bridges,CHA,@IND,2025-11-19,PTS,mgm,21.5,-120.0,-110.0
Bennedict Mathurin,IND,CHA,2025-11-19,PTS,mgm,20.5,-150.0,110.0
Jimmy Butler,GSW,@MIA,2025-11-19,PTS,mgm,21.5,-130.0,-105.0
Brandon Ingram,TOR,@PHI,2025-11-19,PTS,mgm,20.5,-115.0,-115.0
Josh Giddey,CHI,@POR,2025-11-19,PTS,mgm,19.5,-125.0,-105.0
Bam Adebayo,MIA,GSW,2025-11-19,PTS,mgm,19.5,-105.0,-125.0
Scottie Barnes,TOR,@PHI,2025-11-19,PTS,mgm,18.5,-125.0,-105.0
RJ Barrett,TOR,@PHI,2025-11-19,PTS,mgm,18.5,-125.0,-105.0
DeMar DeRozan,SAC,@OKC,2025-11-19,PTS,mgm,18.5,-118.0,-110.0
Jerami Grant,POR,CHI,2025-11-19,PTS,mgm,19.5,-120.0,-110.0
Zach LaVine,SAC,@OKC,2025-11-19,PTS,mgm,19.5,-110.0,-118.0
Trey Murphy,NOP,DEN,2025-11-19,PTS,mgm,19.5,105.0,-140.0
Zion Williamson,NOP,DEN,2025-11-19,PTS,mgm,19.5,-110.0,-118.0
Aaron Gordon,DEN,@NOP,2025-11-19,PTS,mgm,17.5,-118.0,-110.0
Chet Holmgren,OKC,SAC,2025-11-19,PTS,mgm,17.5,-125.0,-105.0
