game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,BOS,AWAY,CONFIRMED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Josh Minott', 'Neemias Queta']","['J. Tatum', 'X. Tillman', 'Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']",7,1,Derrick White,P. Pritchard,Jaylen Brown,Josh Minott,Neemias Queta
,ORL,HOME,CONFIRMED,"['Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']","['M. Wagner', 'D. Garland', 'D. Mitchell', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen']",6,1,Jalen Suggs,Desmond Bane,Franz Wagner,P. Banchero,W. Carter
,CLE,AWAY,CONFIRMED,"['D. Garland', 'D. Mitchell', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen']","['Lonzo Ball', 'Max Strus', 'Dean Wade', 'B. Carrington', 'CJ McCollum', 'Tre Johnson', 'K. Middleton', 'Alex Sarr']",8,1,D. Garland,D. Mitchell,D. Hunter,Evan Mobley,Jarrett Allen
,WAS,HOME,CONFIRMED,"['B. Carrington', 'CJ McCollum', 'Tre Johnson', 'K. Middleton', 'Alex Sarr']","['B. Coulibaly', 'K. George', 'I. Quickley', 'RJ Barrett', 'B. Ingram', 'S. Barnes', 'Jakob Poeltl']",7,1,B. Carrington,CJ McCollum,Tre Johnson,K. Middleton,Alex Sarr
,TOR,AWAY,CONFIRMED,"['I. Quickley', 'RJ Barrett', 'B. Ingram', 'S. Barnes', 'Jakob Poeltl']","['N. Alexander-Walker', 'Dyson Daniels', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']",5,1,I. Quickley,RJ Barrett,B. Ingram,S. Barnes,Jakob Poeltl
,ATL,HOME,CONFIRMED,"['N. Alexander-Walker', 'Dyson Daniels', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']","['N. Durisic', 'L. Kennard', 'Trae Young', 'C. Cunningham', 'D. Robinson', 'A. Thompson', 'I. Stewart', 'Jalen Duren']",8,1,N. Alexander-Walker,Dyson Daniels,Z. Risacher,Jalen Johnson,K. Porzingis
,DET,AWAY,CONFIRMED,"['C. Cunningham', 'D. Robinson', 'A. Thompson', 'I. Stewart', 'Jalen Duren']","['T. Harris', 'Jaden Ivey', 'M. Sasser', 'Terance Mann', 'Egor Demin', 'M. Porter', 'Noah Clowney', 'Nic Claxton']",8,1,C. Cunningham,D. Robinson,A. Thompson,I. Stewart,Jalen Duren
,BKN,HOME,CONFIRMED,"['Terance Mann', 'Egor Demin', 'M. Porter', 'Noah Clowney', 'Nic Claxton']","['H. Highsmith', 'Cam Thomas', 'Amen Thompson', 'Josh Okogie', 'Kevin Durant', 'Jabari Smith', 'A. Sengun']",7,1,Terance Mann,Egor Demin,M. Porter,Noah Clowney,Nic Claxton
,HOU,AWAY,CONFIRMED,"['Amen Thompson', 'Josh Okogie', 'Kevin Durant', 'Jabari Smith', 'A. Sengun']","['D. Finney-Smith', 'F. VanVleet', 'S. Castle', 'Devin Vassell', 'J. Champagnie', 'H. Barnes', 'V. Wembanyama']",7,1,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith,A. Sengun
,SAS,HOME,CONFIRMED,"['S. Castle', 'Devin Vassell', 'J. Champagnie', 'H. Barnes', 'V. Wembanyama']","['D. Fox', 'D. Harper', 'L. Kornet', 'Tre Mann', 'Sion James', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner']",8,1,S. Castle,Devin Vassell,J. Champagnie,H. Barnes,V. Wembanyama
,CHA,AWAY,CONFIRMED,"['Tre Mann', 'Sion James', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner']","['L. Ball', 'Josh Green', 'B. Miller', 'C. Sexton', 'G. Williams', 'D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]",10,1,Tre Mann,Sion James,Kon Knueppel,Miles Bridges,R. Kalkbrenner
,MIA,HOME,CONFIRMED,"['D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]","['B. Adebayo', 'T. Herro', 'T. Rozier', 'Tre Jones', 'Josh Giddey', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']",8,1,D. Mitchell,Norman Powell,Pelle Larsson,A. Wiggins,Kel'el Ware
,CHI,AWAY,CONFIRMED,"['Tre Jones', 'Josh Giddey', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']","['Z. Collins', 'Coby White', 'Ryan Rollins', 'AJ Green', 'Gary Trent', 'G. Antetokounmpo', 'Myles Turner']",7,1,Tre Jones,Josh Giddey,Isaac Okoro,Matas Buzelis,N. Vucevic
,MIL,HOME,CONFIRMED,"['Ryan Rollins', 'AJ Green', 'Gary Trent', 'G. Antetokounmpo', 'Myles Turner']","['K. Porter', 'T. Prince', 'K. George', 'S. Mykhailiuk', 'I. Collier', 'L. Markkanen', 'Jusuf Nurkic']",7,1,Ryan Rollins,AJ Green,Gary Trent,G. Antetokounmpo,Myles Turner
,UTA,AWAY,CONFIRMED,"['K. George', 'S. Mykhailiuk', 'I. Collier', 'L. Markkanen', 'Jusuf Nurkic']","['W. Kessler', 'G. Niang', 'D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']",7,1,K. George,S. Mykhailiuk,I. Collier,L. Markkanen,Jusuf Nurkic
,MIN,HOME,CONFIRMED,"['D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']","['T. Shannon', 'D. Russell', 'Cooper Flagg', 'Max Christie', 'P. Washington', 'D. Gafford']",6,1,D. DiVincenzo,A. Edwards,J. McDaniels,Julius Randle,Rudy Gobert
