game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,MIL,AWAY,EXPECTED,"['Ryan Rollins', 'AJ Green', 'Gary Trent', 'Myles Turner', 'Ryan Rollins']","['G. Antetokounmpo', 'K. Porter', 'I. Quickley', 'RJ Barrett', 'B. Ingram', 'S. Barnes', 'J. Poeltl']",7,0,Ryan Rollins,AJ Green,Gary Trent,Myles Turner,Ryan Rollins
,TOR,HOME,EXPECTED,"['I. Quickley', 'RJ Barrett', 'B. Ingram', 'S. Barnes', 'I. Quickley']","['J. Poeltl', 'Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']",6,0,I. Quickley,RJ Barrett,B. Ingram,S. Barnes,I. Quickley
,ORL,AWAY,EXPECTED,"['Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']","['M. Wagner', 'N. Alexander-Walker', 'Dyson Daniels', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']",6,0,Jalen Suggs,Desmond Bane,Franz Wagner,P. Banchero,W. Carter
,ATL,HOME,EXPECTED,"['N. Alexander-Walker', 'Dyson Daniels', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']","['Trae Young', 'Collin Sexton', 'Sion James', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner']",6,0,N. Alexander-Walker,Dyson Daniels,Z. Risacher,Jalen Johnson,K. Porzingis
,CHA,AWAY,EXPECTED,"['Collin Sexton', 'Sion James', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner']","['L. Ball', 'Josh Green', 'B. Miller', 'G. Williams', 'J. Fears', 'Trey Murphy', 'Herbert Jones', 'Z. Williamson', 'Y. Missi']",9,0,Collin Sexton,Sion James,Kon Knueppel,Miles Bridges,R. Kalkbrenner
,NOP,HOME,EXPECTED,"['J. Fears', 'Trey Murphy', 'Herbert Jones', 'J. Fears', 'Trey Murphy']","['Y. Missi', 'Z. Williamson', 'D. Murray', 'Tyrese Maxey', 'VJ Edgecombe', 'Kelly Oubre', 'Jabari Walker', 'Joel Embiid']",8,0,J. Fears,Trey Murphy,Herbert Jones,J. Fears,Trey Murphy
,PHI,AWAY,EXPECTED,"['Tyrese Maxey', 'VJ Edgecombe', 'Kelly Oubre', 'Jabari Walker', 'Joel Embiid']","['D. Barlow', 'P. George', 'Josh Giddey', 'Tre Jones', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']",7,0,Tyrese Maxey,VJ Edgecombe,Kelly Oubre,Jabari Walker,Joel Embiid
,CHI,HOME,EXPECTED,"['Josh Giddey', 'Tre Jones', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']","['A. Dosunmu', 'Z. Collins', 'Coby White', 'Devin Booker', 'Grayson Allen', ""Royce O'Neale"", 'R. Dunn', 'Mark Williams']",8,0,Josh Giddey,Tre Jones,Isaac Okoro,Matas Buzelis,N. Vucevic
,PHX,AWAY,EXPECTED,"['Devin Booker', 'Grayson Allen', ""Royce O'Neale"", 'Mark Williams', 'Devin Booker']","['R. Dunn', 'I. Livers', 'D. Brooks', 'J. Green', 'Stephen Curry', 'J. Butler', 'J. Kuminga', 'D. Green', 'Quinten Post']",9,0,Devin Booker,Grayson Allen,Royce O'Neale,Mark Williams,Devin Booker
,GSW,HOME,EXPECTED,"['Stephen Curry', 'J. Kuminga', 'D. Green', 'Quinten Post', 'Stephen Curry']","['J. Butler', 'Al Horford', 'D. Melton', 'A. Toohey', 'S. Gilgeous-Alexander', 'Cason Wallace', 'L. Dort', 'Chet Holmgren', 'I. Hartenstein']",9,0,Stephen Curry,J. Kuminga,D. Green,Quinten Post,Stephen Curry
,OKC,AWAY,EXPECTED,"['S. Gilgeous-Alexander', 'Cason Wallace', 'Chet Holmgren', 'I. Hartenstein', 'S. Gilgeous-Alexander']","['T. Sorber', 'L. Dort', 'A. Mitchell', 'J. Williams', 'N. Topic', 'K. Williams', 'J. Williams', 'James Harden', 'Kris Dunn', 'B. Bogdanovic', 'Derrick Jones', 'Ivica Zubac']",12,0,S. Gilgeous-Alexander,Cason Wallace,Chet Holmgren,I. Hartenstein,S. Gilgeous-Alexander
,LAC,HOME,EXPECTED,"['James Harden', 'Kris Dunn', 'B. Bogdanovic', 'Derrick Jones', 'Ivica Zubac']","['B. Beal', 'K. Leonard', 'J. Miller', 'K. Sanders']",4,0,James Harden,Kris Dunn,B. Bogdanovic,Derrick Jones,Ivica Zubac
