game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,MIL,AWAY,EXPECTED,"['Ryan Rollins', 'AJ Green', 'Kyle Kuzma', 'G. Antetokounmpo', 'Myles Turner']","['K. Porter', 'T. Prince', 'D. Mitchell', 'Sam Merrill', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen']",7,0,Ryan Rollins,AJ Green,Kyle Kuzma,G. Antetokounmpo,Myles Turner
,CLE,HOME,EXPECTED,"['D. Mitchell', 'Sam Merrill', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen']","['D. Garland', 'Max Strus', 'J. Tyson', 'A. Nembhard', 'B. Mathurin', 'Pascal Siakam', 'J. Robinson-Earl', 'Tony Bradley']",8,0,D. Mitchell,Sam Merrill,D. Hunter,Evan Mobley,Jarrett Allen
,IND,AWAY,EXPECTED,"['A. Nembhard', 'B. Mathurin', 'Pascal Siakam', 'J. Robinson-Earl', 'Tony Bradley']","['T. Haliburton', 'J. Furphy', 'Q. Jackson', 'Kam Jones', 'A. Nesmith', 'Obi Toppin', 'C. Cunningham', 'D. Robinson', 'A. Thompson', 'I. Stewart', 'J. Duren']",11,0,A. Nembhard,B. Mathurin,Pascal Siakam,J. Robinson-Earl,Tony Bradley
,DET,HOME,EXPECTED,"['D. Robinson', 'I. Stewart', 'C. Cunningham', 'D. Robinson', 'A. Thompson']","['J. Duren', 'C. Cunningham', 'A. Thompson', 'T. Harris', 'Jaden Ivey', 'B. Klintman', 'M. Sasser', 'James Harden', 'Kris Dunn', 'Kobe Sanders', 'John Collins', 'Ivica Zubac']",12,0,D. Robinson,I. Stewart,C. Cunningham,D. Robinson,A. Thompson
,LAC,AWAY,CONFIRMED,"['James Harden', 'Kris Dunn', 'Kobe Sanders', 'John Collins', 'Ivica Zubac']","['B. Beal', 'D. Jones', 'K. Leonard', 'J. Miller', 'Tyrese Maxey', 'VJ Edgecombe', 'P. George', 'D. Barlow', 'A. Drummond']",9,1,James Harden,Kris Dunn,Kobe Sanders,John Collins,Ivica Zubac
,PHI,HOME,EXPECTED,"['Tyrese Maxey', 'VJ Edgecombe', 'D. Barlow', 'A. Drummond', 'Tyrese Maxey']","['P. George', 'Adem Bona', 'J. Embiid', 'K. Oubre', 'Miles McBride', 'Landry Shamet', 'Mikal Bridges', 'K. Towns', 'M. Robinson']",9,0,Tyrese Maxey,VJ Edgecombe,D. Barlow,A. Drummond,Tyrese Maxey
,NYK,AWAY,EXPECTED,"['Miles McBride', 'Landry Shamet', 'Mikal Bridges', 'K. Towns', 'M. Robinson']","['OG Anunoby', 'J. Brunson', 'D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]",7,0,Miles McBride,Landry Shamet,Mikal Bridges,K. Towns,M. Robinson
,MIA,HOME,EXPECTED,"['D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]","['B. Adebayo', 'T. Herro', 'T. Rozier', 'LaMelo Ball', 'Sion James', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner']",8,0,D. Mitchell,Norman Powell,Pelle Larsson,A. Wiggins,Kel'el Ware
,CHA,AWAY,EXPECTED,"['LaMelo Ball', 'Sion James', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner']","['Josh Green', 'L. McNeeley', 'B. Miller', 'G. Williams', 'I. Quickley', 'B. Ingram', 'RJ Barrett', 'S. Barnes', 'Jakob Poeltl']",9,0,LaMelo Ball,Sion James,Kon Knueppel,Miles Bridges,R. Kalkbrenner
,TOR,HOME,EXPECTED,"['I. Quickley', 'B. Ingram', 'RJ Barrett', 'S. Barnes', 'Jakob Poeltl']","['O. Agbaji', 'S. Gilgeous-Alexander', 'Cason Wallace', 'Luguentz Dort', 'Chet Holmgren', 'I. Hartenstein']",6,0,I. Quickley,B. Ingram,RJ Barrett,S. Barnes,Jakob Poeltl
