game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,GSW,AWAY,EXPECTED,"['Stephen Curry', 'Will Richard', 'Moses Moody', 'Jimmy Butler', 'D. Green']","['B. Hield', 'J. Kuminga', 'D. Melton', 'J. Suggs', 'Desmond Bane', 'Franz Wagner', 'T. da Silva', 'W. Carter']",8,0,Stephen Curry,Will Richard,Moses Moody,Jimmy Butler,D. Green
,ORL,HOME,EXPECTED,"['Desmond Bane', 'Franz Wagner', 'T. da Silva', 'W. Carter', 'J. Suggs']","['J. Suggs', 'P. Banchero', 'M. Wagner', 'C. Cunningham', 'D. Robinson', 'A. Thompson', 'I. Stewart', 'Jalen Duren']",8,0,Desmond Bane,Franz Wagner,T. da Silva,W. Carter,J. Suggs
,DET,AWAY,EXPECTED,"['D. Robinson', 'I. Stewart', 'Jalen Duren', 'C. Cunningham', 'D. Robinson']","['C. Cunningham', 'A. Thompson', 'T. Harris', 'Jaden Ivey', 'B. Klintman', 'M. Sasser', 'Dyson Daniels', 'N. Alexander-Walker', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']",11,0,D. Robinson,I. Stewart,Jalen Duren,C. Cunningham,D. Robinson
,ATL,HOME,EXPECTED,"['Dyson Daniels', 'N. Alexander-Walker', 'Jalen Johnson', 'Dyson Daniels', 'N. Alexander-Walker']","['O. Okongwu', 'K. Porzingis', 'Z. Risacher', 'Trae Young', 'Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Neemias Queta']",9,0,Dyson Daniels,N. Alexander-Walker,Jalen Johnson,Dyson Daniels,N. Alexander-Walker
,BOS,AWAY,EXPECTED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Neemias Queta']","['J. Tatum', 'Egor Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']",6,0,Derrick White,P. Pritchard,Jaylen Brown,Jordan Walsh,Neemias Queta
,BKN,HOME,EXPECTED,"['Egor Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']","['H. Highsmith', 'Ben Saraf', 'Cam Thomas', 'Cam Spencer', 'Jaylen Wells', 'Cedric Coward', 'Jaren Jackson', 'Zach Edey']",8,0,Egor Demin,Terance Mann,M. Porter,Noah Clowney,Nic Claxton
,MEM,AWAY,EXPECTED,"['Cam Spencer', 'Jaylen Wells', 'Cedric Coward', 'Jaren Jackson', 'Zach Edey']","['B. Clarke', 'Ty Jerome', 'Ja Morant', 'S. Pippen', 'J. Small', ""De'Aaron Fox"", 'Devin Vassell', 'J. Champagnie', 'H. Barnes', 'Luke Kornet']",10,0,Cam Spencer,Jaylen Wells,Cedric Coward,Jaren Jackson,Zach Edey
,SAS,HOME,EXPECTED,"[""De'Aaron Fox"", 'Devin Vassell', 'J. Champagnie', 'H. Barnes', 'Luke Kornet']","['S. Castle', 'D. Harper', 'J. McLaughlin', 'V. Wembanyama', 'K. George', 'S. Mykhailiuk', 'Ace Bailey', 'L. Markkanen', 'Jusuf Nurkic']",9,0,De'Aaron Fox,Devin Vassell,J. Champagnie,H. Barnes,Luke Kornet
,UTA,AWAY,EXPECTED,"['K. George', 'S. Mykhailiuk', 'Ace Bailey', 'L. Markkanen', 'Jusuf Nurkic']","['W. Kessler', 'K. Anderson', 'K. Filipowski', 'T. Hendricks', 'G. Niang', 'Luka Doncic', 'Austin Reaves', 'Marcus Smart', 'Rui Hachimura', 'Deandre Ayton']",10,0,K. George,S. Mykhailiuk,Ace Bailey,L. Markkanen,Jusuf Nurkic
,LAL,HOME,EXPECTED,"['Luka Doncic', 'Austin Reaves', 'Marcus Smart', 'Rui Hachimura', 'Deandre Ayton']","['L. James', 'G. Vincent', 'Devin Booker', 'Ryan Dunn', 'Dillon Brooks', ""Royce O'Neale"", 'Mark Williams']",7,0,Luka Doncic,Austin Reaves,Marcus Smart,Rui Hachimura,Deandre Ayton
,PHX,AWAY,EXPECTED,"['Devin Booker', 'Ryan Dunn', 'Dillon Brooks', ""Royce O'Neale"", 'Mark Williams']","['G. Allen', 'J. Green', 'S. Sharpe', 'T. Camara', 'Jerami Grant', 'Deni Avdija', 'D. Clingan']",7,0,Devin Booker,Ryan Dunn,Dillon Brooks,Royce O'Neale,Mark Williams
,POR,HOME,EXPECTED,"['S. Sharpe', 'T. Camara', 'Jerami Grant', 'Deni Avdija', 'D. Clingan']","['D. Lillard', 'J. Holiday', 'S. Henderson', 'M. Thybulle', 'B. Wesley']",5,0,S. Sharpe,T. Camara,Jerami Grant,Deni Avdija,D. Clingan
