game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,HOU,AWAY,EXPECTED,"['Amen Thompson', 'Josh Okogie', 'Kevin Durant', 'A. Sengun', 'Amen Thompson']","['J. Smith', 'Tari Eason', 'D. Finney-Smith', 'F. VanVleet', 'D. Mitchell', 'S. Merrill', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen']",9,0,Amen Thompson,Josh Okogie,Kevin Durant,A. Sengun,Amen Thompson
,CLE,HOME,EXPECTED,"['D. Mitchell', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen', 'D. Mitchell']","['S. Merrill', 'D. Garland', 'Max Strus', 'J. Tyson', 'LaMelo Ball', 'Kon Knueppel', 'Sion James', 'Miles Bridges', 'R. Kalkbrenner']",9,0,D. Mitchell,D. Hunter,Evan Mobley,Jarrett Allen,D. Mitchell
,CHA,AWAY,EXPECTED,"['LaMelo Ball', 'Kon Knueppel', 'Sion James', 'Miles Bridges', 'R. Kalkbrenner']","['T. Mann', 'Josh Green', 'L. McNeeley', 'B. Miller', 'G. Williams', 'A. Nembhard', 'B. Mathurin', 'Jarace Walker', 'Pascal Siakam', 'I. Jackson']",10,0,LaMelo Ball,Kon Knueppel,Sion James,Miles Bridges,R. Kalkbrenner
,IND,HOME,EXPECTED,"['A. Nembhard', 'B. Mathurin', 'Jarace Walker', 'Pascal Siakam', 'I. Jackson']","['T. Haliburton', 'J. Furphy', 'Q. Jackson', 'Kam Jones', 'A. Nesmith', 'Obi Toppin', 'I. Quickley', 'B. Ingram', 'RJ Barrett', 'S. Barnes', 'Jakob Poeltl']",11,0,A. Nembhard,B. Mathurin,Jarace Walker,Pascal Siakam,I. Jackson
,TOR,AWAY,EXPECTED,"['I. Quickley', 'B. Ingram', 'RJ Barrett', 'S. Barnes', 'Jakob Poeltl']","['O. Agbaji', 'C. Murray-Boyles', 'Tyrese Maxey', 'VJ Edgecombe', 'J. Edwards', 'D. Barlow', 'A. Drummond']",7,0,I. Quickley,B. Ingram,RJ Barrett,S. Barnes,Jakob Poeltl
,PHI,HOME,EXPECTED,"['Tyrese Maxey', 'VJ Edgecombe', 'J. Edwards', 'D. Barlow', 'A. Drummond']","['J. Embiid', 'Adem Bona', 'P. George', 'K. Oubre', 'B. Podziemski', 'Will Richard', 'Moses Moody', 'J. Butler', 'D. Green']",9,0,Tyrese Maxey,VJ Edgecombe,J. Edwards,D. Barlow,A. Drummond
,GSW,AWAY,EXPECTED,"['B. Podziemski', 'Will Richard', 'Moses Moody', 'B. Podziemski', 'Will Richard']","['J. Butler', 'D. Green', 'B. Hield', 'S. Curry', 'Al Horford', 'J. Kuminga', 'D. Melton', 'D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', 'B. Adebayo']",12,0,B. Podziemski,Will Richard,Moses Moody,B. Podziemski,Will Richard
,MIA,HOME,EXPECTED,"['D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', 'D. Mitchell']","['B. Adebayo', 'N. Jovic', 'T. Herro', 'T. Rozier', 'Jamal Murray', 'C. Johnson', 'Peyton Watson', 'A. Gordon', 'Nikola Jokic']",9,0,D. Mitchell,Norman Powell,Pelle Larsson,A. Wiggins,D. Mitchell
,DEN,AWAY,EXPECTED,"['Jamal Murray', 'C. Johnson', 'Peyton Watson', 'Nikola Jokic', 'Jamal Murray']","['A. Gordon', 'C. Braun', 'J. Strawther', 'J. Fears', 'Trey Murphy', 'Herbert Jones', 'Z. Williamson', 'Derik Queen']",8,0,Jamal Murray,C. Johnson,Peyton Watson,Nikola Jokic,Jamal Murray
,NOP,HOME,EXPECTED,"['J. Fears', 'Trey Murphy', 'Herbert Jones', 'Derik Queen', 'J. Fears']","['S. Bey', 'Z. Williamson', 'K. Matkovic', 'D. Murray', 'J. Poole', 'CJ McCollum', 'K. George', 'B. Coulibaly', 'K. Middleton', 'A. Sarr']",10,0,J. Fears,Trey Murphy,Herbert Jones,Derik Queen,J. Fears
