game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,WAS,AWAY,EXPECTED,"['CJ McCollum', 'K. George', 'J. Champagnie', 'K. Middleton', 'Alex Sarr']","['B. Coulibaly', 'C. Cunningham', 'D. Robinson', 'A. Thompson', 'R. Holland', 'Jalen Duren']",6,0,CJ McCollum,K. George,J. Champagnie,K. Middleton,Alex Sarr
,DET,HOME,EXPECTED,"['C. Cunningham', 'D. Robinson', 'R. Holland', 'Jalen Duren', 'C. Cunningham']","['C. LeVert', 'A. Thompson', 'T. Harris', 'Jaden Ivey', 'M. Sasser', 'I. Stewart', 'Jrue Holiday', 'S. Sharpe', 'T. Camara', 'Deni Avdija', 'D. Clingan']",11,0,C. Cunningham,D. Robinson,R. Holland,Jalen Duren,C. Cunningham
,POR,AWAY,EXPECTED,"['Jrue Holiday', 'S. Sharpe', 'T. Camara', 'Deni Avdija', 'D. Clingan']","['D. Lillard', 'S. Henderson', 'M. Thybulle', 'B. Wesley', 'Anthony Black', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']",9,0,Jrue Holiday,S. Sharpe,T. Camara,Deni Avdija,D. Clingan
,ORL,HOME,EXPECTED,"['Anthony Black', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']","['J. Suggs', 'M. Wagner', 'Luka Doncic', 'A. Reaves', 'Marcus Smart', 'Rui Hachimura', 'Deandre Ayton']",7,0,Anthony Black,Desmond Bane,Franz Wagner,P. Banchero,W. Carter
,LAL,AWAY,EXPECTED,"['Luka Doncic', 'Marcus Smart', 'Rui Hachimura', 'Deandre Ayton', 'Luka Doncic']","['A. Reaves', 'L. James', 'A. Thiero', 'G. Vincent', 'Collin Sexton', 'Sion James', 'Kon Knueppel', 'M. Bridges', 'R. Kalkbrenner']",9,0,Luka Doncic,Marcus Smart,Rui Hachimura,Deandre Ayton,Luka Doncic
,CHA,HOME,EXPECTED,"['Collin Sexton', 'Sion James', 'Kon Knueppel', 'R. Kalkbrenner', 'Collin Sexton']","['M. Bridges', 'L. Ball', 'Josh Green', 'B. Miller', 'G. Williams', 'D. Garland', 'D. Mitchell', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen']",10,0,Collin Sexton,Sion James,Kon Knueppel,R. Kalkbrenner,Collin Sexton
,CLE,AWAY,EXPECTED,"['D. Garland', 'D. Mitchell', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen']","['L. Nance', 'Max Strus', 'D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]",7,0,D. Garland,D. Mitchell,D. Hunter,Evan Mobley,Jarrett Allen
,MIA,HOME,EXPECTED,"['D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]","['D. Smith', 'B. Adebayo', 'T. Herro', 'T. Rozier', ""De'Aaron Fox"", 'S. Castle', 'Devin Vassell', 'H. Barnes', 'V. Wembanyama']",9,0,D. Mitchell,Norman Powell,Pelle Larsson,A. Wiggins,Kel'el Ware
,SAS,AWAY,EXPECTED,"[""De'Aaron Fox"", 'S. Castle', 'Devin Vassell', 'H. Barnes', 'V. Wembanyama']","['L. Kornet', 'D. Harper', 'Tre Jones', 'J. Giddey', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']",7,0,De'Aaron Fox,S. Castle,Devin Vassell,H. Barnes,V. Wembanyama
,CHI,HOME,EXPECTED,"['Tre Jones', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic', 'Tre Jones']","['P. Williams', 'J. Giddey', 'Z. Collins', 'Coby White', 'Ryan Rollins', 'AJ Green', 'Gary Trent', 'G. Antetokounmpo', 'Myles Turner']",9,0,Tre Jones,Isaac Okoro,Matas Buzelis,N. Vucevic,Tre Jones
