game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,PHI,AWAY,EXPECTED,"['Tyrese Maxey', 'VJ Edgecombe', 'Kelly Oubre', 'Jabari Walker', 'Adem Bona']","['D. Barlow', 'J. Embiid', 'P. George', 'J. McCain', 'D. Garland', 'D. Mitchell', 'D. Hunter', 'Evan Mobley', 'J. Allen']",9,0,Tyrese Maxey,VJ Edgecombe,Kelly Oubre,Jabari Walker,Adem Bona
,CLE,HOME,EXPECTED,"['D. Mitchell', 'Evan Mobley', 'D. Garland', 'D. Mitchell', 'D. Hunter']","['J. Allen', 'D. Garland', 'D. Hunter', 'S. Merrill', 'Max Strus', 'K. George', 'S. Mykhailiuk', 'L. Markkanen', 'T. Hendricks', 'Jusuf Nurkic']",10,0,D. Mitchell,Evan Mobley,D. Garland,D. Mitchell,D. Hunter
,UTA,AWAY,EXPECTED,"['K. George', 'S. Mykhailiuk', 'L. Markkanen', 'T. Hendricks', 'Jusuf Nurkic']","['W. Kessler', 'G. Niang', 'C. Cunningham', 'D. Robinson', 'A. Thompson', 'I. Stewart', 'Jalen Duren']",7,0,K. George,S. Mykhailiuk,L. Markkanen,T. Hendricks,Jusuf Nurkic
,DET,HOME,EXPECTED,"['C. Cunningham', 'D. Robinson', 'A. Thompson', 'I. Stewart', 'Jalen Duren']","['T. Harris', 'Jaden Ivey', 'M. Sasser', 'Tyrese Martin', 'Cam Thomas', 'Terance Mann', 'M. Porter', 'Nic Claxton']",8,0,C. Cunningham,D. Robinson,A. Thompson,I. Stewart,Jalen Duren
,BKN,AWAY,EXPECTED,"['Tyrese Martin', 'Cam Thomas', 'Terance Mann', 'M. Porter', 'Nic Claxton']","['H. Highsmith', 'D. Powell', 'Ben Sheppard', 'Aaron Nesmith', 'Jarace Walker', 'Pascal Siakam', 'I. Jackson']",7,0,Tyrese Martin,Cam Thomas,Terance Mann,M. Porter,Nic Claxton
,IND,HOME,EXPECTED,"['Ben Sheppard', 'Aaron Nesmith', 'Jarace Walker', 'Pascal Siakam', 'I. Jackson']","['T. Haliburton', 'R. Dennis', 'J. Furphy', 'Q. Jackson', 'Kam Jones', 'B. Mathurin', 'T. McConnell', 'A. Nembhard', 'Obi Toppin', 'CJ McCollum', 'K. George', 'J. Champagnie', 'B. Coulibaly', 'Alex Sarr']",14,0,Ben Sheppard,Aaron Nesmith,Jarace Walker,Pascal Siakam,I. Jackson
,WAS,AWAY,EXPECTED,"['CJ McCollum', 'K. George', 'J. Champagnie', 'B. Coulibaly', 'Alex Sarr']","['K. Middleton', 'Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Josh Minott', 'Neemias Queta']",6,0,CJ McCollum,K. George,J. Champagnie,B. Coulibaly,Alex Sarr
,BOS,HOME,EXPECTED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Josh Minott', 'Neemias Queta']","['J. Tatum', 'D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']",6,0,Derrick White,P. Pritchard,Jaylen Brown,Josh Minott,Neemias Queta
,MIN,AWAY,EXPECTED,"['D. DiVincenzo', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert', 'D. DiVincenzo']","['A. Edwards', 'Jalen Brunson', 'Mikal Bridges', 'OG Anunoby', 'K. Towns', 'M. Robinson']",6,0,D. DiVincenzo,J. McDaniels,Julius Randle,Rudy Gobert,D. DiVincenzo
,NYK,HOME,EXPECTED,"['Jalen Brunson', 'Mikal Bridges', 'OG Anunoby', 'M. Robinson', 'Jalen Brunson']","['K. Towns', 'Amen Thompson', 'Josh Okogie', 'Kevin Durant', 'J. Smith', 'A. Sengun']",6,0,Jalen Brunson,Mikal Bridges,OG Anunoby,M. Robinson,Jalen Brunson
,HOU,AWAY,EXPECTED,"['Amen Thompson', 'Josh Okogie', 'Kevin Durant', 'A. Sengun', 'Amen Thompson']","['S. Adams', 'J. Smith', 'D. Finney-Smith', 'F. VanVleet', 'Ja Morant', 'K. Caldwell-Pope', 'Jaylen Wells', 'Jaren Jackson', 'Jock Landale']",9,0,Amen Thompson,Josh Okogie,Kevin Durant,A. Sengun,Amen Thompson
