player,team,opponent,game_date,market,book,line,over_odds,under_odds
Shai Gilgeous-Alexander,OKC,@UTA,2025-11-22,PTS,mgm,31.5,-105.0,-125.0
Devin Booker,PHX,MIN,2025-11-22,PTS,mgm,28.5,-118.0,-110.0
Anthony Edwards,MIN,@PHX,2025-11-22,PTS,mgm,27.5,-120.0,-110.0
Nikola Jokic,DEN,@HOU,2025-11-22,PTS,mgm,28.5,-110.0,-120.0
Donovan Mitchell,CLE,IND,2025-11-22,PTS,mgm,28.5,-125.0,-105.0
Deni Avdija,POR,@GSW,2025-11-22,PTS,mgm,28.5,-120.0,-110.0
Stephen Curry,GSW,POR,2025-11-22,PTS,mgm,27.5,-110.0,-120.0
Jaylen Brown,BOS,BKN,2025-11-22,PTS,mgm,26.5,-125.0,-110.0
Kevin Durant,HOU,DEN,2025-11-22,PTS,mgm,26.5,-110.0,-120.0
Norman Powell,MIA,@CHI,2025-11-22,PTS,mgm,25.5,-118.0,-110.0
Lauri Markkanen,UTA,OKC,2025-11-22,PTS,mgm,23.5,-125.0,-105.0
Pascal Siakam,IND,@CLE,2025-11-22,PTS,mgm,24.5,105.0,-140.0
Jerami Grant,POR,@GSW,2025-11-22,PTS,mgm,22.5,-110.0,-120.0
Michael Porter,BKN,@BOS,2025-11-22,PTS,mgm,22.5,-125.0,-110.0
Julius Randle,MIN,@PHX,2025-11-22,PTS,mgm,21.5,-120.0,-110.0
Alperen Sengun,HOU,DEN,2025-11-22,PTS,mgm,23.5,-105.0,-130.0
Zion Williamson,NOP,@DAL,2025-11-22,PTS,mgm,22.5,-130.0,-105.0
Brandon Ingram,TOR,WAS,2025-11-22,PTS,mgm,22.5,-105.0,-130.0
Jamal Murray,DEN,@HOU,2025-11-22,PTS,mgm,21.5,-118.0,-110.0
Bam Adebayo,MIA,@CHI,2025-11-22,PTS,mgm,21.5,-110.0,-120.0
Jimmy Butler,GSW,POR,2025-11-22,PTS,mgm,21.5,-115.0,-115.0
Josh Giddey,CHI,MIA,2025-11-22,PTS,mgm,21.5,-120.0,-110.0
Bennedict Mathurin,IND,@CLE,2025-11-22,PTS,mgm,21.5,110.0,-150.0
Scottie Barnes,TOR,WAS,2025-11-22,PTS,mgm,19.5,-115.0,-115.0
RJ Barrett,TOR,WAS,2025-11-22,PTS,mgm,19.5,-110.0,-120.0
Jaime Jaquez,MIA,@CHI,2025-11-22,PTS,mgm,19.5,100.0,-135.0
Dillon Brooks,PHX,MIN,2025-11-22,PTS,mgm,18.5,-115.0,-115.0
Keyonte George,UTA,OKC,2025-11-22,PTS,mgm,18.5,-110.0,-120.0
Chet Holmgren,OKC,@UTA,2025-11-22,PTS,mgm,18.5,-110.0,-118.0
Evan Mobley,CLE,IND,2025-11-22,PTS,mgm,19.5,-120.0,-110.0
Trey Murphy,NOP,@DAL,2025-11-22,PTS,mgm,18.5,-120.0,-110.0
Payton Pritchard,BOS,BKN,2025-11-22,PTS,mgm,17.5,-105.0,-125.0
Immanuel Quickley,TOR,WAS,2025-11-22,PTS,mgm,17.5,-110.0,-120.0
Nikola Vucevic,CHI,MIA,2025-11-22,PTS,mgm,18.5,-125.0,-105.0
Derrick White,BOS,BKN,2025-11-22,PTS,mgm,17.5,-110.0,-118.0
Cooper Flagg,DAL,NOP,2025-11-22,PTS,mgm,17.5,-115.0,-115.0
Aaron Gordon,DEN,@HOU,2025-11-22,PTS,mgm,16.5,-130.0,-105.0
De'Andre Hunter,CLE,IND,2025-11-22,PTS,mgm,17.5,-105.0,-125.0
CJ McCollum,WAS,@TOR,2025-11-22,PTS,mgm,17.5,-115.0,-115.0
Amen Thompson,HOU,DEN,2025-11-22,PTS,mgm,17.5,-105.0,-125.0
P.J. Washington,DAL,NOP,2025-11-22,PTS,mgm,16.5,-118.0,-110.0
Darius Garland,CLE,IND,2025-11-22,PTS,mgm,15.5,-110.0,-118.0
Ajay Mitchell,OKC,@UTA,2025-11-22,PTS,mgm,15.5,-130.0,-105.0
Andrew Nembhard,IND,@CLE,2025-11-22,PTS,mgm,16.5,100.0,-135.0
Jeremiah Fears,NOP,@DAL,2025-11-22,PTS,mgm,14.5,-110.0,-118.0
Kyshawn George,WAS,@TOR,2025-11-22,PTS,mgm,15.5,-120.0,-110.0
Matas Buzelis,CHI,MIA,2025-11-22,PTS,mgm,14.5,-130.0,-105.0
Toumani Camara,POR,@GSW,2025-11-22,PTS,mgm,13.5,-105.0,-125.0
Jaden McDaniels,MIN,@PHX,2025-11-22,PTS,mgm,13.5,-130.0,-105.0
Moses Moody,GSW,POR,2025-11-22,PTS,mgm,12.5,-130.0,100.0
Jakob Poeltl,TOR,WAS,2025-11-22,PTS,mgm,13.5,-120.0,-110.0
Derik Queen,NOP,@DAL,2025-11-22,PTS,mgm,13.5,-125.0,-105.0
Naz Reid,MIN,@PHX,2025-11-22,PTS,mgm,12.5,-115.0,-115.0
Jabari Smith,HOU,DEN,2025-11-22,PTS,mgm,13.5,-105.0,-125.0
Nic Claxton,BKN,@BOS,2025-11-22,PTS,mgm,13.5,-110.0,-118.0
Donte DiVincenzo,MIN,@PHX,2025-11-22,PTS,mgm,12.5,-118.0,-110.0
Ayo Dosunmu,CHI,MIA,2025-11-22,PTS,mgm,13.5,-110.0,-118.0
D'Angelo Russell,DAL,NOP,2025-11-22,PTS,mgm,13.5,-105.0,-130.0
Reed Sheppard,HOU,DEN,2025-11-22,PTS,mgm,12.5,-105.0,-125.0
Anfernee Simons,BOS,BKN,2025-11-22,PTS,mgm,12.5,-130.0,-105.0
Max Christie,DAL,NOP,2025-11-22,PTS,mgm,12.5,-110.0,-118.0
Noah Clowney,BKN,@BOS,2025-11-22,PTS,mgm,11.5,-115.0,-115.0
Collin Gillespie,PHX,MIN,2025-11-22,PTS,mgm,12.5,100.0,-135.0
Isaiah Hartenstein,OKC,@UTA,2025-11-22,PTS,mgm,11.5,-125.0,-105.0
Isaiah Joe,OKC,@UTA,2025-11-22,PTS,mgm,12.5,100.0,-130.0
Cameron Johnson,DEN,@HOU,2025-11-22,PTS,mgm,11.5,-135.0,100.0
Pelle Larsson,MIA,@CHI,2025-11-22,PTS,mgm,11.5,-135.0,100.0
Brandin Podziemski,GSW,POR,2025-11-22,PTS,mgm,12.5,100.0,-130.0
Mark Williams,PHX,MIN,2025-11-22,PTS,mgm,11.5,-135.0,100.0
Bilal Coulibaly,WAS,@TOR,2025-11-22,PTS,mgm,11.5,-105.0,-130.0
Simone Fontecchio,MIA,@CHI,2025-11-22,PTS,mgm,10.5,-120.0,-110.0
Daniel Gafford,DAL,NOP,2025-11-22,PTS,mgm,10.5,-135.0,100.0
Rudy Gobert,MIN,@PHX,2025-11-22,PTS,mgm,10.5,-125.0,-105.0
Naji Marshall,DAL,NOP,2025-11-22,PTS,mgm,11.5,-110.0,-120.0
Davion Mitchell,MIA,@CHI,2025-11-22,PTS,mgm,10.5,-125.0,-105.0
Royce O'Neale,PHX,MIN,2025-11-22,PTS,mgm,10.5,-120.0,-110.0
Kel'el Ware,MIA,@CHI,2025-11-22,PTS,mgm,11.5,-110.0,-120.0
Ziaire Williams,BKN,@BOS,2025-11-22,PTS,mgm,11.5,-110.0,-118.0
Ace Bailey,UTA,OKC,2025-11-22,PTS,mgm,10.5,-105.0,-130.0
Donovan Clingan,POR,@GSW,2025-11-22,PTS,mgm,10.5,-105.0,-125.0
Luguentz Dort,OKC,@UTA,2025-11-22,PTS,mgm,9.5,-110.0,-118.0
Tim Hardaway,DEN,@HOU,2025-11-22,PTS,mgm,8.5,-130.0,-105.0
Tre Jones,CHI,MIA,2025-11-22,PTS,mgm,9.5,-110.0,-118.0
Khris Middleton,WAS,@TOR,2025-11-22,PTS,mgm,10.5,-110.0,-125.0
Neemias Queta,BOS,BKN,2025-11-22,PTS,mgm,9.5,-120.0,-110.0
Cam Whitmore,WAS,@TOR,2025-11-22,PTS,mgm,10.5,100.0,-135.0
Gradey Dick,TOR,WAS,2025-11-22,PTS,mgm,8.5,-110.0,-118.0
Ryan Dunn,PHX,MIN,2025-11-22,PTS,mgm,8.5,-120.0,-110.0
Draymond Green,GSW,POR,2025-11-22,PTS,mgm,8.5,-120.0,-110.0
Tre Johnson,WAS,@TOR,2025-11-22,PTS,mgm,9.5,100.0,-130.0
Herbert Jones,NOP,@DAL,2025-11-22,PTS,mgm,8.5,-118.0,-115.0
Terance Mann,BKN,@BOS,2025-11-22,PTS,mgm,9.5,100.0,-130.0
T.J. McConnell,IND,@CLE,2025-11-22,PTS,mgm,9.5,100.0,-130.0
Jusuf Nurkic,UTA,OKC,2025-11-22,PTS,mgm,8.5,-135.0,100.0
Jalen Smith,CHI,MIA,2025-11-22,PTS,mgm,8.5,-120.0,-110.0
Jaylon Tyson,CLE,IND,2025-11-22,PTS,mgm,8.5,-118.0,-115.0
Jarace Walker,IND,@CLE,2025-11-22,PTS,mgm,8.5,-120.0,-110.0
Cason Wallace,OKC,@UTA,2025-11-22,PTS,mgm,8.5,-120.0,-110.0
Saddiq Bey,NOP,@DAL,2025-11-22,PTS,mgm,8.5,100.0,-130.0
Isaiah Collier,UTA,OKC,2025-11-22,PTS,mgm,7.5,-135.0,100.0
Egor Demin,BKN,@BOS,2025-11-22,PTS,mgm,8.5,-105.0,-125.0
Kyle Filipowski,UTA,OKC,2025-11-22,PTS,mgm,8.5,110.0,-145.0
Sandro Mamukelashvili,TOR,WAS,2025-11-22,PTS,mgm,8.5,-110.0,-118.0
Svi Mykhailiuk,UTA,OKC,2025-11-22,PTS,mgm,8.5,105.0,-140.0
Isaac Okoro,CHI,MIA,2025-11-22,PTS,mgm,7.5,-105.0,-130.0
Jose Alvarado,NOP,@DAL,2025-11-22,PTS,mgm,7.5,-118.0,-115.0
Bruce Brown,DEN,@HOU,2025-11-22,PTS,mgm,7.5,-105.0,-130.0
Jordan Goodwin,PHX,MIN,2025-11-22,PTS,mgm,7.5,-105.0,-130.0
Buddy Hield,GSW,POR,2025-11-22,PTS,mgm,7.5,-115.0,-118.0
Al Horford,GSW,POR,2025-11-22,PTS,mgm,7.5,-118.0,-110.0
Tyrese Martin,BKN,@BOS,2025-11-22,PTS,mgm,7.5,-105.0,-125.0
Kris Murray,POR,@GSW,2025-11-22,PTS,mgm,7.5,-135.0,100.0
Will Richard,GSW,POR,2025-11-22,PTS,mgm,6.5,-135.0,100.0
Ben Sheppard,IND,@CLE,2025-11-22,PTS,mgm,7.5,100.0,-135.0
Dean Wade,CLE,IND,2025-11-22,PTS,mgm,6.5,-118.0,-110.0
Bub Carrington,WAS,@TOR,2025-11-22,PTS,mgm,6.5,-140.0,105.0
Jordan Hawkins,NOP,@DAL,2025-11-22,PTS,mgm,6.5,-105.0,-130.0
Dereck Lively,DAL,NOP,2025-11-22,PTS,mgm,6.5,-115.0,-115.0
Drake Powell,BKN,@BOS,2025-11-22,PTS,mgm,6.5,-105.0,-125.0
Day'Ron Sharpe,BKN,@BOS,2025-11-22,PTS,mgm,5.5,-145.0,105.0
Jamal Shead,TOR,WAS,2025-11-22,PTS,mgm,6.5,-110.0,-120.0
Jonas Valanciunas,DEN,@HOU,2025-11-22,PTS,mgm,6.5,105.0,-140.0
Jordan Walsh,BOS,BKN,2025-11-22,PTS,mgm,4.5,-145.0,110.0
Patrick Williams,CHI,MIA,2025-11-22,PTS,mgm,6.5,-125.0,-110.0
Mike Conley,MIN,@PHX,2025-11-22,PTS,mgm,4.5,-135.0,100.0
Yves Missi,NOP,@DAL,2025-11-22,PTS,mgm,5.5,-140.0,105.0
Dru Smith,MIA,@CHI,2025-11-22,PTS,mgm,5.5,-135.0,100.0
Oso Ighodaro,PHX,MIN,2025-11-22,PTS,mgm,4.5,105.0,-140.0
Jaylen Clark,MIN,@PHX,2025-11-22,PTS,mgm,3.5,-140.0,105.0
Shai Gilgeous-Alexander,OKC,@UTA,2025-11-22,PTS,mgm,31.5,,
Devin Booker,PHX,MIN,2025-11-22,PTS,mgm,28.5,,
Anthony Edwards,MIN,@PHX,2025-11-22,PTS,mgm,27.5,,
Nikola Jokic,DEN,@HOU,2025-11-22,PTS,mgm,28.5,,
Donovan Mitchell,CLE,IND,2025-11-22,PTS,mgm,28.5,,
Deni Avdija,POR,@GSW,2025-11-22,PTS,mgm,28.5,,
Stephen Curry,GSW,POR,2025-11-22,PTS,mgm,27.5,,
Jaylen Brown,BOS,BKN,2025-11-22,PTS,mgm,26.5,,
Kevin Durant,HOU,DEN,2025-11-22,PTS,mgm,26.5,,
Norman Powell,MIA,@CHI,2025-11-22,PTS,mgm,25.5,,
Lauri Markkanen,UTA,OKC,2025-11-22,PTS,mgm,23.5,,
Pascal Siakam,IND,@CLE,2025-11-22,PTS,mgm,24.5,,
Jerami Grant,POR,@GSW,2025-11-22,PTS,mgm,22.5,,
Michael Porter,BKN,@BOS,2025-11-22,PTS,mgm,22.5,,
Julius Randle,MIN,@PHX,2025-11-22,PTS,mgm,21.5,,
Alperen Sengun,HOU,DEN,2025-11-22,PTS,mgm,23.5,,
Zion Williamson,NOP,@DAL,2025-11-22,PTS,mgm,22.5,,
Brandon Ingram,TOR,WAS,2025-11-22,PTS,mgm,22.5,,
Jamal Murray,DEN,@HOU,2025-11-22,PTS,mgm,21.5,,
Bam Adebayo,MIA,@CHI,2025-11-22,PTS,mgm,21.5,,
Jimmy Butler,GSW,POR,2025-11-22,PTS,mgm,21.5,,
Josh Giddey,CHI,MIA,2025-11-22,PTS,mgm,21.5,,
Bennedict Mathurin,IND,@CLE,2025-11-22,PTS,mgm,21.5,,
Scottie Barnes,TOR,WAS,2025-11-22,PTS,mgm,19.5,,
RJ Barrett,TOR,WAS,2025-11-22,PTS,mgm,19.5,,
Jaime Jaquez,MIA,@CHI,2025-11-22,PTS,mgm,19.5,,
Dillon Brooks,PHX,MIN,2025-11-22,PTS,mgm,18.5,,
Keyonte George,UTA,OKC,2025-11-22,PTS,mgm,18.5,,
Chet Holmgren,OKC,@UTA,2025-11-22,PTS,mgm,18.5,,
Evan Mobley,CLE,IND,2025-11-22,PTS,mgm,19.5,,
