game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,MEM,AWAY,EXPECTED,"['Ja Morant', 'K. Caldwell-Pope', 'Jaylen Wells', 'Jaren Jackson', 'Jock Landale']","['Z. Edey', 'O. Prosper', 'C. Coward', 'B. Clarke', 'Ty Jerome', 'S. Pippen', 'J. Small', 'D. Mitchell', 'Sam Merrill', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen']",12,0,Ja Morant,K. Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale
,CLE,HOME,EXPECTED,"['D. Mitchell', 'Sam Merrill', 'D. Hunter', 'Evan Mobley', 'Jarrett Allen']","['D. Garland', 'Max Strus', 'J. Tyson', 'I. Quickley', 'RJ Barrett', 'B. Ingram', 'S. Barnes', 'Jakob Poeltl']",8,0,D. Mitchell,Sam Merrill,D. Hunter,Evan Mobley,Jarrett Allen
,TOR,AWAY,EXPECTED,"['I. Quickley', 'RJ Barrett', 'B. Ingram', 'S. Barnes', 'Jakob Poeltl']","['O. Agbaji', 'C. Murray-Boyles', 'A. Nembhard', 'Ben Sheppard', 'Pascal Siakam', 'J. Robinson-Earl', 'I. Jackson']",7,0,I. Quickley,RJ Barrett,B. Ingram,S. Barnes,Jakob Poeltl
,IND,HOME,EXPECTED,"['A. Nembhard', 'Ben Sheppard', 'Pascal Siakam', 'J. Robinson-Earl', 'I. Jackson']","['T. Haliburton', 'J. Furphy', 'Q. Jackson', 'Kam Jones', 'B. Mathurin', 'A. Nesmith', 'Obi Toppin', 'S. Gilgeous-Alexander', 'Cason Wallace', 'L. Dort', 'Chet Holmgren', 'I. Hartenstein']",12,0,A. Nembhard,Ben Sheppard,Pascal Siakam,J. Robinson-Earl,I. Jackson
,OKC,AWAY,EXPECTED,"['S. Gilgeous-Alexander', 'Cason Wallace', 'Chet Holmgren', 'I. Hartenstein', 'S. Gilgeous-Alexander']","['T. Sorber', 'L. Dort', 'N. Topic', 'A. Wiggins', 'K. Williams', 'J. Williams', 'Collin Sexton', 'Sion James', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner']",11,0,S. Gilgeous-Alexander,Cason Wallace,Chet Holmgren,I. Hartenstein,S. Gilgeous-Alexander
,CHA,HOME,EXPECTED,"['Collin Sexton', 'Sion James', 'Kon Knueppel', 'Miles Bridges', 'Collin Sexton']","['L. Ball', 'R. Kalkbrenner', 'L. McNeeley', 'Josh Green', 'B. Miller', 'G. Williams', 'Luka Doncic', 'Austin Reaves', 'Marcus Smart', 'Rui Hachimura', 'Deandre Ayton']",11,0,Collin Sexton,Sion James,Kon Knueppel,Miles Bridges,Collin Sexton
,LAL,AWAY,EXPECTED,"['Luka Doncic', 'Austin Reaves', 'Marcus Smart', 'Rui Hachimura', 'Deandre Ayton']","['L. James', 'G. Vincent', 'Ryan Rollins', 'AJ Green', 'Kyle Kuzma', 'G. Antetokounmpo', 'Myles Turner']",7,0,Luka Doncic,Austin Reaves,Marcus Smart,Rui Hachimura,Deandre Ayton
,MIL,HOME,EXPECTED,"['Ryan Rollins', 'AJ Green', 'Kyle Kuzma', 'G. Antetokounmpo', 'Myles Turner']","['K. Porter', 'T. Prince', 'Jamal Murray', 'Tim Hardaway', 'Peyton Watson', 'Aaron Gordon', 'N. Jokic']",7,0,Ryan Rollins,AJ Green,Kyle Kuzma,G. Antetokounmpo,Myles Turner
,DEN,AWAY,EXPECTED,"['Jamal Murray', 'Tim Hardaway', 'Peyton Watson', 'Aaron Gordon', 'Jamal Murray']","['N. Jokic', 'C. Braun', 'C. Johnson', 'D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']",8,0,Jamal Murray,Tim Hardaway,Peyton Watson,Aaron Gordon,Jamal Murray
,MIN,HOME,EXPECTED,"['D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']",['T. Shannon'],1,0,D. DiVincenzo,A. Edwards,J. McDaniels,Julius Randle,Rudy Gobert
