game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,DET,AWAY,EXPECTED,"['C. Cunningham', 'D. Robinson', 'A. Thompson', 'Tobias Harris', 'Jalen Duren']","['J. Ivey', 'C. LeVert', 'B. Klintman', 'M. Sasser', 'A. Nembhard', 'B. Mathurin', 'Ben Sheppard', 'Pascal Siakam', 'I. Jackson']",9,0,C. Cunningham,D. Robinson,A. Thompson,Tobias Harris,Jalen Duren
,IND,HOME,EXPECTED,"['A. Nembhard', 'B. Mathurin', 'Ben Sheppard', 'Pascal Siakam', 'I. Jackson']","['T. Haliburton', 'J. Furphy', 'Q. Jackson', 'Kam Jones', 'A. Nesmith', 'Obi Toppin', 'D. Garland', 'D. Mitchell', 'D. Hunter', 'Evan Mobley', 'J. Allen']",11,0,A. Nembhard,B. Mathurin,Ben Sheppard,Pascal Siakam,I. Jackson
,CLE,AWAY,EXPECTED,"['D. Garland', 'D. Mitchell', 'D. Hunter', 'Evan Mobley', 'D. Garland']","['J. Allen', 'L. Ball', 'S. Merrill', 'C. Porter', 'Max Strus', 'I. Quickley', 'B. Ingram', 'Gradey Dick', 'S. Barnes', 'J. Poeltl']",10,0,D. Garland,D. Mitchell,D. Hunter,Evan Mobley,D. Garland
,TOR,HOME,EXPECTED,"['I. Quickley', 'B. Ingram', 'Gradey Dick', 'S. Barnes', 'I. Quickley']","['J. Poeltl', 'R. Barrett', 'B. Williams', 'Max Christie', 'Cooper Flagg', 'P. Washington', 'D. Gafford']",7,0,I. Quickley,B. Ingram,Gradey Dick,S. Barnes,I. Quickley
,DAL,AWAY,EXPECTED,"['Max Christie', 'Cooper Flagg', 'P. Washington', 'D. Gafford', 'B. Williams']","['Dante Exum', 'R. Nembhard', 'B. Williams', 'A. Davis', 'K. Irving', 'D. Lively', 'T. Herro', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', 'Bam Adebayo']",11,0,Max Christie,Cooper Flagg,P. Washington,D. Gafford,B. Williams
,MIA,HOME,EXPECTED,"['Norman Powell', 'Pelle Larsson', 'Bam Adebayo', 'T. Herro', 'Norman Powell']","['T. Herro', 'N. Jovic', 'A. Wiggins', 'T. Rozier', 'Jalen Brunson', 'Miles McBride', 'Mikal Bridges', 'K. Towns', 'M. Robinson']",9,0,Norman Powell,Pelle Larsson,Bam Adebayo,T. Herro,Norman Powell
,NYK,AWAY,EXPECTED,"['Jalen Brunson', 'Miles McBride', 'Mikal Bridges', 'K. Towns', 'M. Robinson']","['OG Anunoby', 'L. Shamet', 'Egor Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']",7,0,Jalen Brunson,Miles McBride,Mikal Bridges,K. Towns,M. Robinson
,BKN,HOME,EXPECTED,"['Terance Mann', 'M. Porter', 'Noah Clowney', 'Egor Demin', 'Terance Mann']","['H. Highsmith', 'Ben Saraf', 'Cam Thomas', 'Josh Giddey', 'Coby White', 'Ayo Dosunmu', 'Matas Buzelis', 'N. Vucevic']",8,0,Terance Mann,M. Porter,Noah Clowney,Egor Demin,Terance Mann
,CHI,AWAY,EXPECTED,"['Josh Giddey', 'Coby White', 'Ayo Dosunmu', 'Matas Buzelis', 'N. Vucevic']","['K. Huerter', 'P. Williams', 'Z. Collins', 'T. Flowers', 'I. Okoro', 'D. Terry', 'J. Fears', 'Trey Murphy', 'Micah Peavy', 'Z. Williamson', 'Derik Queen']",11,0,Josh Giddey,Coby White,Ayo Dosunmu,Matas Buzelis,N. Vucevic
,NOP,HOME,EXPECTED,"['J. Fears', 'Trey Murphy', 'Micah Peavy', 'Z. Williamson', 'Derik Queen']","['K. Looney', 'H. Jones', 'K. Matkovic', 'D. Murray', 'J. Poole', 'S. Sharpe', 'T. Camara', 'Deni Avdija', 'Jerami Grant', 'D. Clingan']",10,0,J. Fears,Trey Murphy,Micah Peavy,Z. Williamson,Derik Queen
,POR,AWAY,EXPECTED,"['T. Camara', 'Deni Avdija', 'Jerami Grant', 'D. Clingan', 'S. Sharpe']","['D. Lillard', 'S. Sharpe', 'R. Williams', 'S. Henderson', 'J. Holiday', 'M. Thybulle', 'B. Wesley', 'Ryan Rollins', 'AJ Green', 'Kyle Kuzma', 'Bobby Portis', 'Myles Turner']",12,0,T. Camara,Deni Avdija,Jerami Grant,D. Clingan,S. Sharpe
,MIL,HOME,EXPECTED,"['Ryan Rollins', 'AJ Green', 'Kyle Kuzma', 'Bobby Portis', 'Myles Turner']","['G. Antetokounmpo', 'K. Porter', 'T. Prince', 'Jamal Murray', 'C. Johnson', 'Spencer Jones', 'Peyton Watson', 'Nikola Jokic']",8,0,Ryan Rollins,AJ Green,Kyle Kuzma,Bobby Portis,Myles Turner
,DEN,AWAY,EXPECTED,"['Jamal Murray', 'C. Johnson', 'Spencer Jones', 'Peyton Watson', 'Nikola Jokic']","['C. Braun', 'A. Gordon', 'J. Strawther', 'V. Williams', 'Jaylen Wells', 'Cedric Coward', 'J. Jackson', 'Zach Edey']",8,0,Jamal Murray,C. Johnson,Spencer Jones,Peyton Watson,Nikola Jokic
,MEM,HOME,EXPECTED,"['V. Williams', 'Jaylen Wells', 'Cedric Coward', 'Zach Edey', 'V. Williams']","['J. Jackson', 'B. Clarke', 'Ty Jerome', 'Ja Morant', 'S. Pippen', 'J. Small', 'Amen Thompson', 'Josh Okogie', 'Jabari Smith', 'A. Sengun', 'S. Adams']",11,0,V. Williams,Jaylen Wells,Cedric Coward,Zach Edey,V. Williams
,HOU,AWAY,EXPECTED,"['Amen Thompson', 'Josh Okogie', 'Jabari Smith', 'A. Sengun', 'Amen Thompson']","['S. Adams', 'K. Durant', 'Tari Eason', 'D. Finney-Smith', 'F. VanVleet', 'Devin Booker', 'G. Allen', 'Dillon Brooks', ""Royce O'Neale"", 'Mark Williams']",10,0,Amen Thompson,Josh Okogie,Jabari Smith,A. Sengun,Amen Thompson
,PHX,HOME,EXPECTED,"['Devin Booker', 'Dillon Brooks', ""Royce O'Neale"", 'Mark Williams', 'Devin Booker']","['G. Allen', 'Ryan Dunn', 'R. Fleming', 'J. Green', 'K. George', 'S. Mykhailiuk', 'Ace Bailey', 'L. Markkanen', 'Jusuf Nurkic']",9,0,Devin Booker,Dillon Brooks,Royce O'Neale,Mark Williams,Devin Booker
,UTA,AWAY,EXPECTED,"['K. George', 'S. Mykhailiuk', 'Ace Bailey', 'L. Markkanen', 'Jusuf Nurkic']","['W. Kessler', 'G. Niang', 'Stephen Curry', 'Will Richard', 'Moses Moody', 'Jimmy Butler', 'D. Green']",7,0,K. George,S. Mykhailiuk,Ace Bailey,L. Markkanen,Jusuf Nurkic
,GSW,HOME,EXPECTED,"['Stephen Curry', 'Will Richard', 'Moses Moody', 'Jimmy Butler', 'Stephen Curry']","['D. Green', 'Al Horford', 'J. Kuminga', 'D. Melton', 'D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']",9,0,Stephen Curry,Will Richard,Moses Moody,Jimmy Butler,Stephen Curry
,MIN,AWAY,EXPECTED,"['D. DiVincenzo', 'A. Edwards', 'J. McDaniels', 'Julius Randle', 'Rudy Gobert']","['T. Shannon', 'R. Westbrook', 'Zach LaVine', 'DeMar DeRozan', 'Keegan Murray', 'Drew Eubanks']",6,0,D. DiVincenzo,A. Edwards,J. McDaniels,Julius Randle,Rudy Gobert
,SAC,HOME,EXPECTED,"['R. Westbrook', 'Zach LaVine', 'DeMar DeRozan', 'Keegan Murray', 'Drew Eubanks']",['D. Sabonis'],1,0,R. Westbrook,Zach LaVine,DeMar DeRozan,Keegan Murray,Drew Eubanks
