Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
S. Vezenkov,,17.5,182.07,241.62,13.807,1
F. Petrusev,,15.3,181.28,229.08,14.973,1
C. Moneke,,16.6,181.68,228.63,13.773,0
T. Luwawu-cabarrot,,12.0,154.06,209.07,17.422,0
T. Shengelia,,16.1,155.09,189.98,11.8,1
J. Nwora,,12.8,151.48,189.29,14.788,0
W. Clyburn,,13.5,132.13,159.06,11.782,0
T. Lyles,,13.6,132.25,158.5,11.654,0
H. Diallo,,11.2,119.24,149.62,13.359,1
C. Osman,,12.3,122.77,147.57,11.997,0
I. Mike,,9.4,122.65,146.35,15.569,0
A. Diallo,,11.6,122.66,144.85,12.487,0
N. Mirotic,,14.0,123.06,140.76,10.055,0
J. Hoard,,14.4,114.03,131.64,9.142,0
E. Osmani,,9.0,110.18,131.47,14.607,0
I. Bonga,,10.0,119.04,128.41,12.841,0
J. Hernangomez,,13.4,115.31,126.62,9.449,1
D. Bacon,,11.9,94.67,121.3,10.193,0
O. Brissett,,11.1,96.87,108.25,9.752,1
R. Sorkin,,11.7,95.12,107.97,9.228,0
A. Smailagic,,9.5,95.68,104.73,11.025,1
T. Leaf,,12.2,96.21,99.55,8.16,0
M. Hezonja,,11.6,79.52,98.11,8.458,0
C. Malcolm,,8.7,96.63,97.94,11.258,1
K. Taylor,,10.1,90.93,97.61,9.664,1
T. Ward,,9.2,86.65,93.78,10.194,0
N. Reuvers,,8.0,87.23,90.11,11.263,0
S. Niang,,8.9,87.39,88.89,9.987,0
C. Okeke,,11.6,87.41,86.9,7.492,0
B. Colson,,9.6,79.42,82.6,8.604,0
S. Shields,,14.1,114.29,81.44,5.776,1
N. Kalinic,,9.9,78.18,80.89,8.171,1
M. Costello,,9.5,77.45,80.14,8.436,0
A. Tubelis,,9.5,76.89,79.42,8.36,1
D. Willis,,8.6,77.02,79.15,9.203,0
O. Da Silva,,7.6,82.13,78.32,10.306,1
A. Butkevicius,,7.2,79.97,77.11,10.709,1
Z. Seljaas,,9.7,71.61,76.62,7.899,0
D. Bertans,,8.2,67.48,75.77,9.24,0
T. Sedekerskis,,10.1,70.33,73.39,7.266,1
V. Lucic,,9.3,71.34,73.19,7.87,1
K. Jallow,,9.0,71.28,71.62,7.958,0
D. Osetkowski,,8.9,70.24,70.69,7.943,1
G. Deck,,9.2,71.51,69.96,7.604,0
J. Parker,,10.1,60.42,66.24,6.559,0
J. Blossomgame,,8.3,62.98,62.94,7.583,1
K. Mitoglou,,8.6,60.3,58.68,6.823,0
R. Smits,,7.4,57.57,57.94,7.83,0
D. Lighty,,5.3,55.95,54.64,10.31,0
S. Ojeleye,,9.6,55.86,54.35,5.662,0
G. Ricci,,5.3,55.53,53.74,10.14,0
A. Dokossi,,6.9,57.24,52.37,7.59,0
E. Ulanovas,,7.6,53.35,51.72,6.806,0
J. Parra,,6.5,50.15,48.01,7.386,0
J. Morgan,,7.1,50.43,47.74,6.724,0
D. Sleva,,7.8,48.02,47.24,6.056,0
J. Jessup,,6.1,47.84,45.71,7.494,0
I. Wainright,,7.1,46.3,44.07,6.207,0
Z. Leday,,14.8,45.6,42.44,2.868,0
M. Jantunen,,7.3,43.34,41.86,5.735,0
A. Traore,,8.8,44.06,41.4,4.705,0
A. M'baye,,7.0,38.36,39.29,5.612,0
D. Hommes,,6.4,42.61,38.91,6.079,1
D. Davidovac,,4.6,38.81,34.82,7.57,0
E. Jackson,,4.1,34.36,32.77,7.993,0
N. Giffey,,5.1,33.79,31.75,6.226,0
M. Diakite,,8.3,34.43,31.44,3.788,0
D. Musa,,12.5,34.16,31.26,2.501,0
D. Alston Jr.,,7.3,31.7,29.9,4.096,1
U. Garuba,,6.6,31.25,28.2,4.273,0
C. Frisch,,6.3,31.42,28.03,4.449,0
A. Peters,,8.5,25.54,24.13,2.839,0
A. Abalde,,5.2,25.59,23.28,4.477,0
M. Cale,,5.7,25.53,23.18,4.066,0
T. Ginat,,7.0,24.75,22.47,3.211,0
L. Cavaliere,,4.5,24.96,21.6,4.801,0
V. Marinkovic,,6.2,42.22,20.42,3.293,0
N. Rogkavopoulos,,6.5,23.04,20.31,3.124,1
M. Norris,,8.3,20.54,17.7,2.133,0
R. Kurucs,,5.8,19.6,17.28,2.979,0
C. Swider,,7.9,19.52,17.07,2.16,0
K. Papanikolaou,,5.9,19.25,16.9,2.864,0
M. Birsen,,4.0,19.49,16.63,4.157,0
T. Biberovic,,5.8,15.0,15.23,2.626,1
M. Ajinca,,4.0,14.52,14.76,3.691,0
I. Brazdeikis,,5.8,14.88,12.98,2.238,0
N. Sestina,,4.4,13.6,12.08,2.746,0
S. Harrison,,6.4,14.1,11.98,1.872,1
A. Samodurov,,4.0,14.36,11.65,2.912,0
O. Dobric,,6.0,10.1,8.71,1.451,0
O. Bitim,,5.1,9.73,8.37,1.642,0
P. Kalaitzakis,,4.0,10.13,8.28,2.071,0
J. Anderson,,6.1,19.61,7.38,1.209,0
O. Diop,,4.1,6.52,5.2,1.269,0
E. Yilmaz,,4.0,5.6,4.53,1.132,0
S. Joksimovic,,4.0,3.23,2.63,0.657,0
G. Procida,,6.3,3.29,2.62,0.416,0
M. Muurinen,,5.3,1.12,0.89,0.168,0
G. Lavi,,5.6,1.11,0.88,0.156,0
W. Rayman,,4.3,0.0,0.0,0.0,0
V. Hrabar,,4.0,-0.04,0.0,0.0,0
I. Almansa,,5.3,-2.99,0.0,0.0,0
N. Akele,,4.0,-0.56,0.0,0.0,0
N. Dangubic,,4.0,-0.01,0.0,0.0,0
G. Grinvalds,,4.0,-0.04,0.0,0.0,0
A. Abass,,5.4,-3.66,0.0,0.0,0
A. Pokusevski,,5.8,-5.02,0.0,0.0,1
