Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
N. Milutinov,,15.9,181.16,206.15,12.965,1
M. Kabengele,,13.8,146.89,177.76,12.881,1
M. Wright,,12.7,150.01,176.52,13.899,0
D. Theis,,13.5,146.89,166.89,12.363,0
T. Jones,,15.0,135.85,160.34,10.689,0
D. Oturu,,11.6,135.66,159.39,13.741,0
W. Tavares,,14.6,119.21,130.2,8.918,1
D. Booker,,12.3,114.15,128.7,10.463,0
D. Hall,,12.0,101.75,101.63,8.469,0
M. Ndiaye,,7.7,87.05,91.24,11.849,0
J. Vesely,,10.7,77.06,85.92,8.03,0
D. Motiejunas,,7.6,74.32,76.85,10.112,1
J. Motley,,11.8,68.02,72.01,6.103,1
J. Pradilla,,8.9,67.17,69.57,7.817,1
E. Izundu,,8.6,67.06,69.11,8.036,0
L. Birutis,,6.3,67.38,67.89,10.776,1
W. Hernangomez,,10.2,63.09,65.91,6.461,0
O. Yurtseven,,9.5,104.17,60.22,6.339,0
N. Melli,,8.9,58.23,57.95,6.512,0
M. Santos,,6.0,54.3,55.96,9.326,0
B. Massa,,6.4,47.93,46.35,7.243,0
K. Diop,,5.6,47.89,45.55,8.134,0
M. Faye,,7.1,45.8,45.02,6.341,0
N. Sako,,8.3,42.43,42.16,5.079,0
B. Fernando,,7.2,43.39,41.12,5.711,0
K. Jones,,8.5,43.98,39.05,4.594,0
M. Diouf,,7.4,38.32,37.87,5.118,1
B. Vautier,,5.7,35.1,35.43,6.216,0
R. Holmes,,11.5,66.59,33.22,2.888,0
J. Nebo,,11.1,33.75,30.26,2.726,0
K. Hayes,,6.3,31.61,29.96,4.756,0
B. Dunston,,5.7,28.12,24.37,4.276,0
A. Bacot Jr.,,9.1,24.77,23.17,2.547,0
A. Diarra,,8.2,22.84,19.99,2.438,0
W. Gabriel,,9.4,34.21,17.18,1.828,0
K. Birch,,5.5,15.03,13.45,2.445,0
I. Bako,,6.4,13.64,12.04,1.881,0
G. Papagiannis,,7.1,28.06,10.54,1.484,0
J. Voigtmann,,8.6,26.3,9.6,1.116,0
D. Mccormack,,6.9,10.3,9.24,1.339,0
Y. Fall,,6.2,6.95,5.82,0.938,0
T. Odiase,,6.6,6.65,5.6,0.849,0
K. Kamenjas,,6.9,6.47,5.44,0.788,0
E. Shahrvin,,4.0,5.43,4.53,1.133,0
K. Antetokounmpo,,4.2,4.31,3.6,0.858,0
U. Plavsic,,5.9,3.31,2.75,0.465,0
S. Sanli,,4.4,3.23,2.67,0.607,0
S. Keita,,4.0,2.29,1.93,0.482,0
B. Dessert,,6.4,2.12,1.77,0.276,0
C. Omoruyi,,8.1,2.1,1.71,0.211,0
I. Kouzeloglou,,4.0,-0.07,0.0,0.0,0
L. Kratzer,,4.0,-4.89,0.0,0.0,0
J. Rivero,,8.6,-0.52,0.0,0.0,0
