Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
N. Milutinov,,16.0,181.05,205.19,12.824,1
M. Kabengele,,13.8,147.01,177.22,12.842,1
M. Wright,,12.5,149.82,175.59,14.048,0
D. Theis,,13.3,146.49,165.76,12.463,0
T. Jones,,15.2,137.72,161.9,10.651,0
D. Oturu,,12.0,137.21,160.58,13.382,0
W. Tavares,,15.1,119.85,130.34,8.632,1
D. Booker,,12.2,113.75,127.72,10.469,0
D. Hall,,12.0,101.22,100.63,8.386,0
M. Ndiaye,,7.5,87.25,91.04,12.139,0
J. Vesely,,11.1,76.79,85.27,7.682,0
D. Motiejunas,,7.5,73.98,76.16,10.155,1
J. Motley,,12.2,68.11,71.79,5.885,0
J. Pradilla,,8.9,66.74,68.82,7.733,1
E. Izundu,,8.5,66.69,68.42,8.049,0
L. Birutis,,6.2,66.97,67.17,10.834,0
W. Hernangomez,,10.4,63.11,65.63,6.311,0
O. Yurtseven,,9.4,104.35,59.84,6.366,0
N. Melli,,9.2,58.13,57.58,6.259,0
M. Santos,,6.5,54.35,55.76,8.578,0
B. Massa,,6.2,47.98,46.18,7.448,0
K. Diop,,5.8,47.97,45.41,7.83,0
M. Faye,,7.3,45.94,44.95,6.157,0
N. Sako,,7.9,42.49,42.01,5.318,0
B. Fernando,,7.2,43.55,41.07,5.705,1
K. Jones,,8.1,44.06,38.91,4.804,0
M. Diouf,,7.8,38.63,38.0,4.872,1
B. Vautier,,5.7,34.56,34.73,6.093,0
W. Gabriel,,8.9,33.91,33.83,3.801,0
R. Holmes,,11.4,66.54,32.88,2.884,0
J. Nebo,,11.0,33.67,30.04,2.731,0
K. Hayes,,6.5,31.57,29.77,4.581,0
B. Dunston,,5.9,27.98,24.12,4.088,0
A. Bacot Jr.,,8.7,24.62,22.92,2.634,0
J. Voigtmann,,8.5,26.3,22.63,2.662,1
A. Diarra,,7.9,22.31,19.43,2.459,0
K. Birch,,5.3,15.14,13.48,2.543,0
I. Bako,,6.3,13.99,12.28,1.95,0
G. Papagiannis,,7.0,27.91,10.35,1.479,0
Y. Fall,,6.2,6.66,5.54,0.894,0
T. Odiase,,6.5,6.55,5.49,0.844,0
K. Kamenjas,,6.6,6.39,5.34,0.809,0
E. Shahrvin,,4.0,5.6,4.65,1.162,0
D. Mccormack,,6.7,10.22,4.0,0.598,0
K. Antetokounmpo,,4.1,4.3,3.58,0.872,0
U. Plavsic,,5.7,3.25,2.68,0.471,0
S. Sanli,,4.3,3.18,2.62,0.609,0
S. Keita,,4.0,2.25,1.89,0.472,0
B. Dessert,,6.6,2.1,1.74,0.263,0
C. Omoruyi,,7.8,2.04,1.66,0.213,0
J. Rivero,,8.5,-0.85,0.0,0.0,0
I. Kouzeloglou,,4.0,-0.02,0.0,0.0,0
L. Kratzer,,4.0,-4.66,0.0,0.0,0
