Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
S. Vezenkov,,17.9,180.27,239.66,13.389,1
F. Petrusev,,15.1,179.89,227.71,15.08,1
C. Moneke,,16.7,179.28,225.99,13.532,0
T. Luwawu-cabarrot,,11.3,155.02,210.75,18.651,0
J. Nwora,,13.1,154.21,193.02,14.735,0
W. Clyburn,,13.3,131.95,159.1,11.962,0
T. Lyles,,12.8,131.99,158.45,12.379,0
H. Diallo,,11.4,119.7,150.47,13.199,1
C. Osman,,13.1,122.45,147.42,11.254,0
I. Mike,,9.5,122.34,146.21,15.391,0
A. Diallo,,11.8,122.33,144.69,12.261,0
N. Mirotic,,14.8,123.17,141.11,9.534,0
S. Shields,,13.6,114.43,138.98,10.219,1
J. Hoard,,13.9,114.06,131.88,9.488,0
E. Osmani,,8.3,109.98,131.44,15.837,0
I. Bonga,,10.2,119.14,128.7,12.618,0
J. Hernangomez,,13.8,115.38,126.88,9.194,1
D. Bacon,,11.3,94.97,121.89,10.787,0
T. Shengelia,,16.4,157.8,114.71,6.994,1
R. Sorkin,,10.5,95.19,108.21,10.305,0
A. Smailagic,,9.7,95.76,104.96,10.821,1
T. Leaf,,11.3,96.06,99.52,8.807,0
C. Malcolm,,8.9,97.04,98.48,11.065,1
M. Hezonja,,12.4,79.1,97.75,7.883,0
K. Taylor,,9.7,90.58,97.37,10.038,1
T. Ward,,9.7,86.76,94.03,9.693,0
N. Reuvers,,7.8,87.17,90.16,11.559,0
S. Niang,,8.1,87.41,89.02,10.99,0
C. Okeke,,12.6,87.35,86.95,6.901,0
B. Colson,,9.2,79.23,82.51,8.969,0
N. Kalinic,,9.6,78.24,81.06,8.444,1
M. Costello,,10.0,77.64,80.44,8.044,0
A. Tubelis,,8.6,76.8,79.43,9.236,1
D. Willis,,8.4,76.97,79.2,9.429,0
O. Da Silva,,7.2,82.1,78.39,10.888,0
A. Butkevicius,,6.8,80.46,77.68,11.423,1
Z. Seljaas,,9.2,71.48,76.59,8.325,0
D. Bertans,,8.8,67.42,75.81,8.615,0
T. Sedekerskis,,10.0,70.28,73.44,7.344,1
V. Lucic,,8.3,71.25,73.19,8.818,1
K. Jallow,,8.8,71.17,71.6,8.136,0
D. Osetkowski,,9.0,69.94,70.48,7.832,1
G. Deck,,9.9,71.3,69.84,7.055,0
J. Parker,,10.9,60.47,66.39,6.091,0
J. Blossomgame,,8.0,63.01,63.06,7.882,1
O. Brissett,,12.0,97.09,60.11,5.009,0
K. Mitoglou,,8.2,60.2,58.65,7.152,1
