Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
N. Hifi,G,,14.0,175.87,268.7,19.193,0,0,91.21,1.62,0.0,172.8,187.0,4.08,13.8245
S. Vezenkov,F,,17.5,182.07,240.47,13.741,1,0,61.71,-3.32,0.0,196.9,225.0,3.06,11.445
F. Petrusev,F,,15.3,181.13,227.75,14.885,1,0,49.91,-3.3,0.0,185.2,210.0,2.7,11.445
C. Moneke,F,,16.6,181.68,227.47,13.703,0,0,49.1,-3.31,0.0,174.9,202.0,2.67,11.445
S. Francisco,G,,15.8,161.35,217.53,13.768,1,0,54.69,1.48,0.0,164.1,203.0,3.06,13.8245
M. James,G,,16.5,151.61,212.66,12.889,0,0,59.66,1.39,0.0,150.6,238.0,3.37,13.8245
K. Nunn,G,,15.0,146.97,211.34,14.09,0,0,63.02,1.35,0.0,144.8,241.0,3.57,13.8245
T. Luwawu-cabarrot,F,,12.0,154.22,208.3,17.358,0,0,56.89,-2.81,0.0,154.3,227.0,3.23,11.445
N. Milutinov,C,,15.9,180.94,205.64,12.933,1,0,21.81,2.89,0.0,184.1,179.0,1.82,14.412
T. Shengelia,F,,16.1,155.16,189.08,11.744,1,0,36.74,-2.83,0.0,155.2,203.0,2.48,11.445
J. Nwora,F,,12.8,151.65,188.54,14.73,0,0,39.65,-2.76,0.0,151.4,182.0,2.62,11.445
W. Baldwin Iv,G,,12.0,135.75,183.96,15.33,0,0,46.97,1.25,0.0,137.6,196.0,3.1,13.8245
T. Dorsey,G,,11.5,132.6,178.77,15.545,0,0,44.95,1.22,0.0,132.7,220.0,3.06,13.8245
M. Kabengele,C,,13.8,146.75,177.38,12.854,1,0,28.29,2.34,0.0,147.0,166.0,2.23,14.412
M. Wright,C,,12.7,150.01,176.3,13.882,0,0,23.9,2.39,0.0,149.3,169.0,2.04,14.412
S. Larkin,G,,14.0,123.27,169.23,12.088,0,0,44.82,1.13,0.0,124.2,263.0,3.2,13.8245
O. Moore,G,,11.3,132.79,168.73,14.932,0,0,34.72,1.22,0.0,132.4,182.0,2.62,13.8245
C. Miller-mcintyre,G,,12.4,123.17,167.58,13.514,1,0,43.27,1.13,0.0,123.4,243.0,3.13,13.8245
D. Theis,C,,13.5,146.75,166.53,12.335,0,0,17.43,2.34,0.0,144.9,181.0,1.81,14.412
T. Jones,C,,15.0,136.0,160.31,10.687,0,0,22.14,2.17,0.0,138.6,202.0,2.06,14.412
V. Micic,G,,14.7,121.91,159.63,10.859,1,0,36.6,1.12,0.0,121.2,201.0,2.84,13.8245
E. Bryant,G,,16.0,132.11,159.49,9.968,0,0,26.16,1.21,0.0,131.4,224.0,2.26,13.8245
D. Oturu,C,,11.6,135.7,159.25,13.728,0,0,21.38,2.17,0.0,137.0,191.0,2.03,14.412
W. Clyburn,F,,13.5,132.13,158.22,11.72,0,0,28.5,-2.41,0.0,130.5,202.0,2.36,11.445
T. Lyles,F,,13.6,132.3,157.72,11.597,0,0,27.83,-2.41,0.0,130.3,165.0,2.33,11.445
D. Thompson,G,,11.8,122.99,150.65,12.767,1,0,26.53,1.13,0.0,124.0,166.0,2.36,13.8245
H. Diallo,F,,11.2,119.58,149.3,13.33,1,0,31.9,-2.18,0.0,119.5,181.0,2.65,11.445
A. Obst,G,,8.2,121.96,147.88,18.035,0,0,24.8,1.12,0.0,121.8,191.0,2.29,13.8245
C. Osman,F,,12.3,122.67,146.68,11.925,0,0,26.24,-2.23,0.0,122.8,213.0,2.35,11.445
I. Mike,F,,9.4,122.64,145.56,15.485,0,0,25.15,-2.23,0.0,122.7,193.0,2.3,11.445
A. Diallo,F,,11.6,122.6,143.99,12.413,0,0,23.63,-2.23,0.0,122.6,237.0,2.23,11.445
N. De Colo,G,,12.7,119.18,143.04,11.263,0,0,22.76,1.1,0.0,118.5,136.0,2.22,13.8245
N. Mirotic,F,,14.0,122.96,139.87,9.991,0,0,19.15,-2.24,0.0,123.5,160.0,2.02,11.445
S. Shields,F,,14.1,114.35,137.93,9.783,1,0,25.67,-2.08,0.0,114.6,214.0,2.41,11.445
C. Edwards,G,,12.6,96.89,135.23,10.732,1,0,37.45,0.89,0.0,96.9,195.0,3.33,13.8245
A. Blakeney,G,,10.0,109.54,134.56,13.456,0,0,24.01,1.01,0.0,108.9,164.0,2.38,13.8245
S. Brown,G,,10.8,104.15,131.6,12.186,1,0,26.5,0.96,0.0,105.3,234.0,2.58,13.8245
J. Hoard,F,,14.4,114.08,130.98,9.096,0,0,18.98,-2.08,0.0,113.6,222.0,2.08,11.445
J. Robinson,G,,11.8,104.02,130.71,11.077,0,0,25.73,0.96,0.0,104.2,127.0,2.54,13.8245
E. Osmani,F,,9.0,110.11,130.69,14.521,0,0,22.58,-2.01,0.0,110.1,197.0,2.3,11.445
W. Tavares,C,,14.6,119.17,129.98,8.903,1,0,8.91,1.9,0.0,119.6,175.0,1.56,14.412
L. Walker Iv,G,,12.8,99.52,129.96,10.153,1,0,29.53,0.91,0.0,99.2,192.0,2.82,13.8245
D. Booker,C,,12.3,114.04,128.41,10.44,0,0,12.54,1.82,0.0,114.5,194.0,1.76,14.412
I. Bonga,F,,10.0,119.12,127.75,12.775,0,0,10.79,-2.17,0.0,119.1,217.0,1.65,11.445
J. Hernangomez,F,,13.4,115.29,125.87,9.394,1,0,12.68,-2.1,0.0,116.4,210.0,1.76,11.445
D. Bacon,F,,11.9,94.69,120.73,10.145,0,0,27.76,-1.72,0.0,93.7,240.0,2.8,11.445
D. Hall,G,,9.6,103.89,120.66,12.568,0,0,15.82,0.95,0.0,104.2,204.0,2.0,13.8245
N. Weiler-babb,G,,11.6,108.41,119.04,10.262,1,0,9.63,1.0,0.0,108.8,218.0,1.64,13.8245
K. Punter,G,,12.3,96.71,117.09,9.52,0,0,19.49,0.89,0.0,96.7,198.0,2.28,13.8245
G. Watson,G,,11.0,94.45,115.69,10.517,0,0,20.37,0.87,0.0,93.2,189.0,2.36,13.8245
I. Cordinier,G,,10.5,96.14,112.68,10.731,1,0,15.65,0.88,0.0,95.9,231.0,2.06,13.8245
O. Brissett,F,,11.1,96.84,107.6,9.694,1,0,12.53,-1.76,0.0,97.3,216.0,1.87,11.445
R. Sorkin,F,,11.7,95.14,107.39,9.179,0,0,13.98,-1.73,0.0,95.0,156.0,1.97,11.445
T. Satoransky,G,,10.9,95.93,105.34,9.664,1,0,8.52,0.88,0.0,95.7,186.0,1.64,13.8245
D. Hall,C,,12.0,101.73,101.47,8.455,0,0,-1.89,1.62,0.0,100.9,125.0,1.03,14.412
L. Bolmaro,G,,9.8,88.13,101.12,10.318,0,0,12.18,0.81,0.0,87.9,185.0,1.92,13.8245
T. Leaf,F,,12.2,96.08,98.81,8.099,0,0,4.48,-1.75,0.0,96.1,139.0,1.4,11.445
K. Sloukas,G,,12.3,87.33,98.51,8.009,0,0,10.37,0.8,0.0,87.0,153.0,1.81,13.8245
M. Hezonja,F,,11.6,79.52,97.6,8.414,0,0,19.53,-1.45,0.0,79.2,168.0,2.53,11.445
C. Malcolm,F,,8.7,96.68,97.38,11.193,0,0,2.46,-1.76,0.0,97.3,198.0,1.28,11.445
K. Taylor,F,,10.1,90.93,97.04,9.608,1,0,7.76,-1.66,0.0,90.9,166.0,1.62,11.445
M. Wright Iv,G,,10.6,82.4,96.29,9.084,1,0,13.13,0.76,0.0,83.6,248.0,2.04,13.8245
T. Blatt,G,,7.7,81.16,94.69,12.297,0,0,12.79,0.75,0.0,81.8,172.0,2.03,13.8245
E. Okobo,G,,11.3,77.61,94.11,8.328,0,0,15.78,0.71,0.0,78.0,198.0,2.29,13.8245
T. Ward,F,,9.2,86.63,93.21,10.132,0,0,8.16,-1.58,0.0,85.7,168.0,1.67,11.445
J. Loyd,G,,8.5,79.44,91.15,10.723,0,0,10.98,0.73,0.0,79.2,176.0,1.92,13.8245
M. Ndiaye,C,,7.7,87.08,91.14,11.837,0,0,2.68,1.39,0.0,87.0,183.0,1.31,14.412
M. Guduric,G,,10.4,81.02,89.67,8.622,0,0,7.91,0.74,0.0,81.1,159.0,1.69,13.8245
N. Reuvers,F,,8.0,87.24,89.56,11.195,0,0,3.91,-1.59,0.0,87.1,159.0,1.39,11.445
S. Niang,F,,8.9,87.39,88.33,9.925,0,0,2.53,-1.59,0.0,87.4,157.0,1.3,11.445
C. Okeke,F,,11.6,87.37,86.31,7.44,0,0,0.53,-1.59,0.0,87.1,127.0,1.17,11.445
J. Vesely,C,,10.7,77.12,85.88,8.026,0,0,7.53,1.23,0.0,76.9,143.0,1.69,14.412
A. Brooks,G,,8.3,77.28,84.99,10.24,0,0,7.0,0.71,0.0,77.3,136.0,1.65,13.8245
M. Lo,G,,8.2,74.9,83.43,10.174,0,0,7.84,0.69,0.0,74.7,149.0,1.73,13.8245
B. Colson,F,,9.6,79.42,82.09,8.551,0,0,4.12,-1.45,0.0,79.5,134.0,1.43,11.445
A. Pajola,G,,7.3,77.37,80.87,11.078,0,0,2.79,0.71,0.0,77.8,154.0,1.34,13.8245
N. Kalinic,F,,9.9,78.22,80.44,8.125,1,0,3.64,-1.42,0.0,78.5,205.0,1.4,11.445
F. Campazzo,G,,12.9,71.7,80.38,6.231,1,0,8.01,0.66,0.0,72.4,183.0,1.77,13.8245
T. Horton Tucker,G,,10.3,70.16,80.13,7.779,0,0,9.32,0.64,0.0,70.1,136.0,1.89,13.8245
